Time (sec), Instant fuel economy (MPG), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Engine oil temperature (°F), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.05812,-92.9546
0.959,0,20.784313,75.2,8.268428,1612,0,5.882353,64.4,0,69.8,66.2,0,-10.442718,9.245465,30.12297,0,0,45.05812,-92.9546
1.998,0,20.392157,75.2,7.973127,1600,0,5.882353,64.4,0,69.8,66.2,0.7414798,-10.587755,9.173141,30.111483,0,0,45.058117,-92.9546
2.957,0,23.921568,75.2,9.449632,1550.5,0,6.6666665,64.4,0,69.8,66.2,0.872249,-9.862566,10.378547,35.155952,0,0,45.05812,-92.954605
3.998,0,26.27451,75.2,10.630836,1496,0,6.6666665,64.4,0,69.8,66.2,0.9509218,-9.282415,11.029466,38.721928,0,0,45.05813,-92.95461
4.959,0,26.27451,75.2,10.630836,1496,0,6.6666665,64.4,0,69.8,66.2,0.9509218,-9.282415,11.029466,38.721928,0,0,45.05812,-92.95462
6.014,0,26.27451,75.2,10.630836,1645.5,0,6.6666665,64.4,0,69.8,66.2,0.9174969,-9.282415,11.318764,36.127274,0,0,45.058086,-92.95459
6.957,0,26.27451,75.2,10.630836,1645.5,0,6.6666665,64.4,0,69.8,66.2,0.9174969,-9.282415,11.318764,36.127274,0,0,45.058105,-92.954605
8.000,0,24.705883,75.2,9.744933,1629.5,0,6.6666665,64.4,0,69.8,66.2,0.9250865,-9.717528,11.318764,36.482006,0,0,45.05811,-92.954605
8.952,0,22.745098,75.2,9.744933,1639.25,0,5.882353,64.4,0,69.8,66.2,0.91609144,-9.717528,10.474979,33.561554,0,0,45.058113,-92.95461
9.998,0,22.745098,75.2,9.744933,1639.25,0,5.882353,64.4,0,69.8,66.2,0.91609144,-9.717528,10.474979,33.561554,0,0,45.058105,-92.95461
10.954,0,22.745098,75.2,9.744933,1639.25,0,5.882353,64.4,0,69.8,66.2,0.91609144,-9.717528,10.474979,33.561554,0,0,45.058105,-92.954605
12.002,0,20.784313,75.2,8.268428,1625.5,0,5.882353,64.4,0,69.8,66.2,0.7819406,-10.442718,9.3298435,30.145428,0,0,45.058094,-92.954605
