Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Mass air flow rate (lb/min), Barometric pressure (inHg), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Intake air temperature bank 1  sensor 2 (°F), Intake air temperature bank 1  sensor 3 (°F), Commanded fuel rail pressure A (inHg), Fuel rail pressure A (inHg), Boost (psi), Acceleration (ft/s²), Acceleration (Avg) (ft/s²), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
7.008,0,10.926137,1613.25,0,1.304478,29.234798,55.4,0,60.8,62.6,0,1674.3567,1686.1687,-8.99234,0,0,11.885304,38.693916,0,0,45.058052,-92.95464,988.04016
7.257,0,10.630836,1625,0,1.291248,29.234798,55.4,0,60.8,62.6,0,1674.3567,1712.7458,-9.137378,0,0,11.764764,38.024536,0,0,45.058052,-92.95464,988.04016
7.507,0,10.335535,1646.75,0,1.267434,29.234798,55.4,0,60.8,62.6,0,1674.3567,1748.1819,-9.282415,0,0,11.547791,36.830303,0,0,45.058052,-92.95464,988.04016
7.763,0,10.335535,1647.25,0,1.267434,29.234798,55.4,0,60.8,62.6,0,1674.3567,1771.806,-9.282415,0,0,11.547791,36.819126,0,0,45.058052,-92.95464,988.04016
8.014,0,10.040234,1648.5,0,1.254204,29.234798,55.4,0,60.8,62.6,0,1674.3567,1689.1217,-9.427453,0,0,11.42725,36.407166,0,0,45.058067,-92.95465,989.4463
8.265,0,10.335535,1650.75,0,1.254204,29.234798,55.4,0,60.8,62.6,0,1674.3567,1759.994,-9.282415,0,0,11.42725,36.35754,0,0,45.058067,-92.95465,989.4463
8.507,0,10.335535,1651.5,0,1.242297,29.234798,55.4,0,60.8,62.6,0,1674.3567,1650.7325,-9.282415,0,0,11.318764,35.99602,0,0,45.058067,-92.95465,989.4463
8.759,0,10.040234,1646.5,0,1.23039,29.234798,55.4,0,60.8,62.6,0,1674.3567,1700.9337,-9.427453,0,0,11.210277,35.759274,0,0,45.058067,-92.95465,989.4463
9.016,0,9.744933,1644,0,1.23039,29.234798,55.4,0,60.8,62.6,0,1674.3567,1647.7795,-9.572491,0,0,11.210277,35.813652,0,0,45.058067,-92.95465,992.54114
9.259,0,9.744933,1640,0,1.210545,29.234798,55.4,0,60.8,62.6,0,1674.3567,1721.6049,-9.572491,0,0,11.029466,35.321953,0,0,45.058067,-92.95465,992.54114
9.508,0,9.744933,1636.25,0,1.1907,29.234798,55.4,0,60.8,62.6,0,1674.3567,1683.2157,-9.572491,0,0,10.848655,34.82253,0,0,45.058067,-92.95465,992.54114
9.758,0,10.040234,1635.5,0,1.1907,29.234798,55.4,0,60.8,62.6,0,1674.3567,1697.9807,-9.427453,0,0,10.848655,34.838497,0,0,45.058067,-92.95465,992.54114
10.012,0,9.744933,1623,0,1.180116,29.234798,55.4,0,60.8,62.6,0,1674.3567,1739.3229,-9.572491,0,0,10.752223,34.794758,0,0,45.05807,-92.95466,994.9851
10.259,0,9.744933,1615.75,0,1.1907,29.234798,55.4,0,60.8,62.6,0,1674.3567,1742.2759,-9.572491,0,0,10.848655,35.264343,0,0,45.05807,-92.95466,994.9851
10.509,0,9.744933,1611.25,0,1.1907,29.234798,55.4,0,60.8,62.6,0,1674.3567,1697.9807,-9.572491,0,0,10.848655,35.36283,0,0,45.05807,-92.95466,994.9851
10.759,0,10.040234,1606,0,1.169532,29.234798,55.4,0,60.8,62.6,0,1674.3567,1703.8867,-9.427453,0,0,10.65579,34.847706,0,0,45.05807,-92.95466,994.9851
11.008,0,9.744933,1600,0,1.169532,29.234798,55.4,0,60.8,62.6,0,1674.3567,1674.3567,-9.572491,0,0,10.65579,34.978386,0,0,45.058075,-92.954666,996.9473
11.259,0,9.449632,1615.25,0,1.033263,29.234798,55.4,0,60.8,62.6,0,1674.3567,1644.8265,-9.717528,0,0,9.414222,30.611088,0,0,45.058075,-92.954666,996.9473
