Time (sec), Instant fuel economy (MPG), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Engine oil temperature (°F), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg)
54.016,32.97611,20.392157,87.8,8.563729,1426.75,21.126621,5.490196,64.4,0,80.6,68,1.2650081,-10.297679,8.784222,32.336235,0.037844345,3.5372567,45.057373,-92.95487
55.003,26.100073,21.960785,87.8,8.563729,1328,15.53428,5.490196,64.4,0,80.6,68,0.70488197,-10.442718,8.1606,32.27439,0.05753252,5.0539246,45.05732,-92.95486
56.019,19.836056,22.745098,87.8,9.154331,1258.75,11.806052,5.490196,64.4,0,80.6,68,0.7013427,-10.152641,8.1606,34.049965,0.0615206,5.3124137,45.057278,-92.95486
57.025,14.61604,25.09804,87.8,9.744933,1152,8.699197,5.490196,64.4,0,80.6,68,0.7076589,-9.862566,8.1606,37.2052,0.06346641,5.4143596,45.05725,-92.954865
58.014,9.01007,27.843138,87.8,14.469749,1332.5,5.592341,68.62745,64.4,13.725491,80.6,68,0.96165454,-7.541962,8.510167,33.543236,0.064718604,5.452282,45.057236,-92.95487
59.022,9.01007,27.843138,87.8,14.469749,1332.5,5.592341,68.62745,64.4,13.725491,80.6,68,0.96165454,-7.541962,8.510167,33.543236,0.064718604,5.452282,45.057205,-92.954895
60.004,2.1342425,55.686275,87.8,17.422758,2097.25,7.4564543,13.725491,64.4,9.019608,80.6,68,1.3393366,-6.091585,47.90284,119.962395,0.06774458,5.1354227,45.05723,-92.95504
61.004,2.1342425,55.686275,87.8,17.422758,2097.25,7.4564543,13.725491,64.4,9.019608,80.6,68,1.3393366,-6.091585,47.90284,119.962395,0.06774458,5.1354227,45.057217,-92.95509
62.000,5.862176,36.07843,87.8,23.62408,2341.25,16.777021,13.725491,64.4,8.235294,80.6,68,3.2245955,-3.0457926,39.23997,88.02681,0.08004694,5.13352,45.05721,-92.955185
63.022,7.154229,38.82353,87.8,23.91938,2289.25,19.262506,14.90196,64.4,8.627451,80.6,68,3.2307498,-2.9007547,36.91668,84.69611,0.08383767,5.1981897,45.05714,-92.95529
64.001,7.154229,38.82353,87.8,23.91938,2289.25,19.262506,14.90196,64.4,8.627451,80.6,68,3.2307498,-2.9007547,36.91668,84.69611,0.08383767,5.1981897,45.057144,-92.95542
65.004,10.312531,32.941177,87.8,20.67107,2153,21.126621,10.980392,64.4,0,80.6,68,2.7299945,-4.49617,28.089073,68.52159,0.08811502,5.3285437,45.057144,-92.95557
66.006,10.312531,32.941177,87.8,20.67107,2153,21.126621,10.980392,64.4,0,80.6,68,2.7299945,-4.49617,28.089073,68.52159,0.08811502,5.3285437,45.05714,-92.95571
67.002,10.312531,32.941177,87.8,20.67107,2153,21.126621,10.980392,64.4,0,80.6,68,2.7299945,-4.49617,28.089073,68.52159,0.08811502,5.3285437,45.05714,-92.95585
67.998,10.312531,32.941177,87.8,20.67107,2153,21.126621,10.980392,64.4,0,80.6,68,2.7299945,-4.49617,28.089073,68.52159,0.08811502,5.3285437,45.05714,-92.95599
69.024,34.907063,48.235294,98.6,12.993244,1632.5,24.233477,5.882353,64.4,2.3529413,82.4,66.2,1.6138651,-8.267151,9.518643,30.623579,0.10369445,6.0859623,45.05714,-92.95614
70.012,23.98166,30.19608,98.6,13.583846,1649.5,24.233477,7.45098,64.4,3.5294118,82.4,66.2,1.3004858,-7.9770756,13.8550825,44.115463,0.13318948,7.2998986,45.057137,-92.956276
70.996,32.363293,21.960785,98.6,10.040234,1593.75,24.233477,5.882353,64.4,0.39215687,82.4,66.2,0.95543635,-9.717528,10.266814,33.833706,0.13796858,7.5003667,45.057137,-92.95641
72.004,36.994514,21.17647,98.6,8.85903,1367.25,23.612104,5.490196,64.4,0,82.4,66.2,0.8145392,-10.297679,8.751248,33.616783,0.14326751,7.728621,45.057137,-92.95655
72.998,36.994514,21.17647,98.6,8.85903,1367.25,23.612104,5.490196,64.4,0,82.4,66.2,0.8145392,-10.297679,8.751248,33.616783,0.14326751,7.728621,45.05714,-92.95668
74.020,35.676983,23.137255,98.6,10.040234,1481.25,22.990734,5.882353,64.4,2.3529413,82.4,66.2,0.7919493,-9.717528,8.835627,31.32875,0.1491842,7.975422,45.05714,-92.9568
74.995,31.116539,22.352942,98.6,9.449632,1455.25,21.747992,5.490196,64.4,0,82.4,66.2,0.8075118,-10.007604,9.582979,34.58573,0.16041678,8.413416,45.057137,-92.95693
