Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Ignition timing advance for #1 cylinder (deg), Mass air flow rate (lb/min), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.252,0,0,0,0,0,2.574558,0,0,0,0,23.457203,0,0,0,0,0,0
0.502,0,0,0,0,0,2.574558,0,0,0,0,23.457203,0,0,0,44.86052,-93.34167,824.0338
0.752,0,0,0,0,0,2.574558,0,0,0,0,23.457203,0,0,0,44.86052,-93.34167,824.0338
1.001,0,21.261671,1597.75,0,-13,2.574558,91.4,0,98.6,-4.0610566,23.457203,77.10836,0,0,44.86052,-93.34167,824.0338
1.251,0,21.261671,1597.75,0,-13,2.574558,91.4,0,98.6,-4.0610566,23.457203,77.10836,0,0,44.86052,-93.34167,824.0338
1.501,0,21.261671,1597.75,0,-13,2.574558,91.4,0,98.6,-4.0610566,23.457203,77.10836,0,0,44.860542,-93.34169,823.9419
1.752,0,21.261671,1577.5,0,-14.5,2.607633,91.4,0,98.6,-4.0610566,23.758554,79.1015,0,0,44.860542,-93.34169,823.9419
2.002,0,21.852274,1551.5,0,-14,2.496501,91.4,0,98.6,-3.770981,22.746014,76.99944,0,0,44.860542,-93.34169,823.9419
2.252,0,20.966372,1584.25,0,-14,2.512377,91.4,0,98.6,-4.2060943,22.890663,75.88723,0,0,44.860542,-93.34169,823.9419
2.501,0,21.261671,1599.25,0,-13.5,2.528253,91.4,0,98.6,-4.0610566,23.03531,75.6505,0,0,44.860546,-93.341705,824.32117
2.751,0,21.261671,1593.75,0,-14,2.623509,91.4,0,98.6,-4.0610566,23.903204,78.77166,0,0,44.860546,-93.341705,824.32117
3.002,0,21.556973,1588.75,0,-14,2.59308,91.4,0,98.6,-3.916019,23.62596,78.10305,0,0,44.860546,-93.341705,824.32117
3.252,0,21.556973,1581.75,0,-14.5,2.575881,91.4,0,98.6,-3.916019,23.469257,77.92837,0,0,44.860546,-93.341705,824.32117
3.501,0,21.261671,1579.25,0,-13.5,2.497824,91.4,0,98.6,-4.0610566,22.758068,75.68652,0,0,44.860565,-93.34175,833.8803
3.751,0,20.966372,1587.25,0,-14,2.529576,91.4,0,98.6,-4.2060943,23.047365,76.26232,0,0,44.860565,-93.34175,833.8803
4.000,0,21.261671,1595.5,0,-14,2.512377,91.4,0,98.6,-4.0610566,22.890663,75.35214,0,0,44.860565,-93.34175,833.8803
4.252,0,20.67107,1588.25,0,-14,2.385369,91.4,0,98.6,-4.351132,21.953896,72.59836,0,0,44.860565,-93.34175,833.8803
4.502,0,20.966372,1593.75,0,-13.5,2.417121,91.4,0,98.6,-4.2060943,22.246128,73.31086,0,0,44.860565,-93.34175,833.8803
4.751,0,20.375769,1579.25,0,-13.5,2.417121,91.4,0,98.6,-4.49617,22.201641,73.83601,0,0,44.86055,-93.34176,831.35443
5.002,0,20.080467,1608.5,0,-13,2.448873,91.4,0,98.6,-4.6412077,22.493288,73.445625,0,0,44.86055,-93.34176,831.35443
5.252,0,21.261671,1605.25,0,-14,2.561328,91.4,0,98.6,-4.0610566,23.526205,76.97386,0,0,44.86055,-93.34176,831.35443
5.500,0,20.67107,1604,0,-14,2.448873,91.4,0,98.6,-4.351132,22.493288,73.65168,0,0,44.86055,-93.34176,831.35443
5.752,0,20.67107,1580,0,-13.5,2.417121,91.4,0,98.6,-4.351132,22.201641,73.800964,0,0,44.860546,-93.34176,827.7826
6.001,0,20.375769,1582,0,-13.5,2.385369,91.4,0,98.6,-4.49617,21.909994,72.73942,0,0,44.860546,-93.34176,827.7826
6.252,0,20.080467,1579.25,0,-13.5,2.385369,91.4,0,98.6,-4.6412077,21.865595,72.71843,0,0,44.860546,-93.34176,827.7826
6.501,0,20.080467,1608.5,0,-13,2.480625,91.4,0,98.6,-4.6412077,22.738764,74.24716,0,0,44.860546,-93.34176,827.7826
6.752,0,20.67107,1565,0,-13.5,2.448873,91.4,0,98.6,-4.351132,22.493288,75.48709,0,0,44.860546,-93.34176,827.579
7.001,0,20.67107,1588.25,0,-14,2.320542,91.4,0,98.6,-4.351132,21.314547,70.48412,0,0,44.860546,-93.34176,827.579
7.251,0,20.375769,1575,0,-13.5,2.336418,91.4,0,98.6,-4.49617,21.416883,71.41834,0,0,44.860546,-93.34176,827.579
7.502,0,20.375769,1583,0,-13.5,2.385369,91.4,0,98.6,-4.49617,21.865595,72.546165,0,0,44.860546,-93.34176,827.579
7.751,0,20.67107,1593.5,0,-13,2.43432,91.4,0,98.6,-4.351132,22.314306,73.54707,0,0,44.860546,-93.34176,825.39526
8.002,0,20.966372,1571.75,0,-13,2.43432,91.4,0,98.6,-4.2060943,22.314306,74.56483,0,0,44.860546,-93.34176,825.39526
8.252,0,20.67107,1579.25,0,-13,2.417121,91.4,0,98.6,-4.351132,22.15665,73.68639,0,0,44.860546,-93.34176,825.39526
8.502,0,20.67107,1578.5,0,-13,2.448873,91.4,0,98.6,-4.351132,22.447708,74.689835,0,0,44.860546,-93.34176,825.39526
8.752,0,20.375769,1588.5,0,-13.5,2.353617,91.4,0,98.6,-4.49617,21.530909,71.18839,0,0,44.860546,-93.34176,825.39526
9.002,0,20.080467,1583.75,0,-13,2.401245,91.4,0,98.6,-4.6412077,21.96661,72.8468,0,0,44.860546,-93.34176,825.39526
9.251,0,20.67107,1562.75,0,-13,2.353617,91.4,0,98.6,-4.351132,21.57454,72.508026,0,0,44.860546,-93.34176,825.39526
9.501,0,20.080467,1564.75,0,-12.5,2.320542,91.4,0,98.6,-4.6412077,21.228338,71.25332,0,0,44.860546,-93.34176,825.39526
9.752,0,20.080467,1575.75,0,-12.5,2.304666,91.4,0,98.6,-4.6412077,21.083105,70.271835,0,0,44.86055,-93.34177,824.53
10.002,0,19.785168,1577.25,0,-12.5,2.320542,91.4,0,98.6,-4.7862453,21.197811,70.58697,0,0,44.86055,-93.34177,824.53
10.252,0,19.194565,1584.25,0,-12.5,2.223963,91.4,0,98.6,-5.0763206,20.315575,67.350296,0,0,44.86055,-93.34177,824.53
10.501,0,19.785168,1590,0,-12.5,2.353617,91.4,0,98.6,-4.7862453,21.499947,71.01896,0,0,44.86055,-93.34177,824.53
10.752,0,19.785168,1586.5,0,-13,2.320542,91.4,0,98.6,-4.7862453,21.197811,70.175415,0,0,44.860554,-93.341774,823.6974
11.002,0,19.785168,1592.5,0,-13,2.369493,91.4,0,98.6,-4.7862453,21.64497,71.385765,0,0,44.860554,-93.341774,823.6974
11.252,0,19.785168,1554.25,0,-13,2.272914,91.4,0,98.6,-4.7862453,20.762735,70.16132,0,0,44.860554,-93.341774,823.6974
11.501,0,19.194565,1520.25,0,-12,2.223963,91.4,0,98.6,-5.0763206,20.315575,70.18563,0,0,44.860554,-93.341774,823.6974
11.751,0,19.785168,1510.5,0,-10.5,2.190888,91.4,0,98.6,-4.7862453,20.010992,69.579605,0,0,44.860558,-93.34178,823.0618
12.002,0,19.489866,1552.25,0,-10.5,2.157813,91.4,0,98.6,-4.931283,19.708893,66.686,0,0,44.860558,-93.34178,823.0618
12.252,0,18.899263,1575,0,-10.5,2.239839,91.4,0,98.6,-5.221359,20.456219,68.21484,0,0,44.860558,-93.34178,823.0618
12.502,0,18.899263,1581.75,0,-11,2.208087,91.4,0,98.6,-5.221359,20.166231,66.96085,0,0,44.860558,-93.34178,823.0618
12.751,0,19.194565,1595.25,0,-11,2.223963,91.4,0,98.6,-5.0763206,20.311226,66.87156,0,0,44.860558,-93.34178,823.36255
13.002,0,19.489866,1573,0,-11.5,2.272914,91.4,0,98.6,-4.931283,20.75829,69.310165,0,0,44.860558,-93.34178,823.36255
13.254,0,18.899263,1585,0,-11.5,2.239839,91.4,0,98.6,-5.221359,20.456219,67.78446,0,0,44.860558,-93.34178,823.36255
13.523,0,19.785168,1580,0,-11.5,2.28879,91.4,0,98.6,-4.7862453,20.903284,69.48507,0,0,44.860558,-93.34178,823.36255
13.752,0,19.785168,1582.75,0,-12,2.272914,91.4,0,98.6,-4.7862453,20.75829,68.8832,0,0,44.860554,-93.34178,822.1627
14.001,0,19.194565,1589.25,0,-12,2.239839,91.4,0,98.6,-5.0763206,20.458097,67.6094,0,0,44.860554,-93.34178,822.1627
14.252,0,19.489866,1590,0,-12,2.28879,91.4,0,98.6,-4.931283,20.905203,69.0544,0,0,44.860554,-93.34178,822.1627
14.501,0,19.785168,1575.5,0,-12.5,2.223963,91.4,0,98.6,-4.7862453,20.31309,67.71606,0,0,44.860554,-93.34178,822.1627
14.751,0,19.194565,1552.25,0,-12,2.223963,91.4,0,98.6,-5.0763206,20.31309,68.73032,0,0,44.860558,-93.34179,820.02704
15.001,0,19.194565,1570.25,0,-11.5,2.157813,91.4,0,98.6,-5.0763206,19.707085,65.91551,0,0,44.860558,-93.34179,820.02704
15.252,0,18.899263,1558,0,-11.5,2.175012,91.4,0,98.6,-5.221359,19.86416,66.9633,0,0,44.860558,-93.34179,820.02704
15.501,0,19.194565,1566.5,0,-11.5,2.175012,91.4,0,98.6,-5.0763206,19.86416,66.599945,0,0,44.860558,-93.34179,820.02704
15.751,0,18.899263,1565,0,-11,2.110185,91.4,0,98.6,-5.221359,19.270334,64.67091,0,0,44.860558,-93.34179,820.4105
16.002,0,19.194565,1562.5,0,-11,2.223963,91.4,0,98.6,-5.0763206,20.309362,68.26692,0,0,44.860558,-93.34179,820.4105
16.252,0,18.603964,1586,0,-11.5,2.157813,91.4,0,98.6,-5.3663964,19.705276,65.254944,0,0,44.860558,-93.34179,820.4105
16.502,0,18.603964,1588.75,0,-12,2.094309,91.4,0,98.6,-5.3663964,19.125353,63.224876,0,0,44.860558,-93.34179,820.4105
16.751,0,19.194565,1561.25,0,-11.5,2.190888,91.4,0,98.6,-5.0763206,20.007318,67.3055,0,0,44.86056,-93.34179,820.5703
17.001,0,18.899263,1550,0,-11.5,2.094309,91.4,0,100.4,-5.221359,19.125353,64.8055,0,0,44.86056,-93.34179,820.5703
17.251,0,19.489866,1549,0,-11,2.14326,91.4,0,100.4,-4.931283,19.572376,66.36303,0,0,44.86056,-93.34179,820.5703
17.501,0,19.194565,1548.25,0,-10.5,2.14326,91.4,0,100.4,-5.0763206,19.572376,66.39518,0,0,44.86056,-93.34179,820.5703
17.751,0,18.899263,1540.5,0,-11,2.175012,91.4,0,100.4,-5.221359,19.862337,67.71778,0,0,44.860565,-93.34179,817.9419
18.001,0,18.899263,1555.5,0,-11,2.126061,91.4,0,100.4,-5.221359,19.415314,65.555405,0,0,44.860565,-93.34179,817.9419
18.251,0,18.603964,1574,0,-11,2.126061,91.4,0,100.4,-5.3663964,19.415314,64.7849,0,0,44.860565,-93.34179,817.9419
18.501,0,18.603964,1566,0,-11,2.14326,91.4,0,100.4,-5.3663964,19.569983,65.63458,0,0,44.860565,-93.34179,817.9419
18.751,0,18.899263,1578,0,-11.5,2.157813,91.4,0,100.4,-5.221359,19.702866,65.57774,0,0,44.860573,-93.3418,815.34106
19.001,0,18.899263,1575,0,-11.5,2.157813,91.4,0,100.4,-5.221359,19.705276,65.71069,0,0,44.860573,-93.3418,815.34106
19.255,0,19.194565,1571.25,0,-11.5,2.157813,91.4,0,100.4,-5.0763206,19.705276,65.867516,0,0,44.860573,-93.3418,815.34106
19.502,0,18.603964,1571.75,0,-11.5,2.157813,91.4,0,100.4,-5.3663964,19.705276,65.846565,0,0,44.860573,-93.3418,815.34106
19.750,0,18.603964,1575,0,-12,2.14326,91.4,0,100.4,-5.3663964,19.572376,65.26752,0,0,44.860577,-93.3418,814.6695
20.001,0,19.194565,1563.25,0,-11.5,2.223963,91.4,0,100.4,-5.0763206,20.306877,68.22582,0,0,44.860577,-93.3418,814.6695
20.251,0,18.899263,1563.25,0,-11.5,2.110185,91.4,0,100.4,-5.221359,19.270334,64.74331,0,0,44.860577,-93.3418,814.6695
20.501,0,18.899263,1575.75,0,-12,2.157813,91.4,0,100.4,-5.221359,19.705276,65.67941,0,0,44.860577,-93.3418,814.6695
20.752,0,18.899263,1566.75,0,-12,2.190888,91.4,0,100.4,-5.221359,20.007318,67.06922,0,0,44.86058,-93.3418,812.63495
21.002,0,18.899263,1569.5,0,-12,2.14326,91.4,0,100.4,-5.221359,19.572376,65.49623,0,0,44.86058,-93.3418,812.63495
21.251,0,18.899263,1561.5,0,-12,2.14326,91.4,0,100.4,-5.221359,19.572376,65.83179,0,0,44.86058,-93.3418,812.63495
21.502,0,18.603964,1561,0,-12,2.062557,91.4,0,100.4,-5.3663964,18.835392,63.37323,0,0,44.86058,-93.3418,812.63495
21.751,0,18.899263,1571,0,-11.5,2.14326,91.4,0,100.4,-5.221359,19.569983,65.42569,0,0,44.86058,-93.3418,812.26733
22.001,0,18.899263,1571.25,0,-11.5,2.157813,91.4,0,100.4,-5.221359,19.705276,65.867516,0,0,44.86058,-93.3418,812.26733
22.251,0,18.899263,1566.25,0,-11.5,2.126061,91.4,0,100.4,-5.221359,19.41294,65.097496,0,0,44.86058,-93.3418,812.26733
22.502,0,18.308662,1562.5,0,-12,2.157813,91.4,0,100.4,-5.511434,19.70166,66.22422,0,0,44.86058,-93.3418,812.26733
22.751,0,18.899263,1557.25,0,-12,2.175012,91.4,0,100.4,-5.221359,19.85748,66.973015,0,0,44.860584,-93.3418,811.43567
23.001,0,18.603964,1546.75,0,-11.5,2.094309,91.4,0,100.4,-5.3663964,19.12009,64.92379,0,0,44.860584,-93.3418,811.43567
23.251,0,18.899263,1554,0,-11.5,2.062557,91.4,0,100.4,-5.221359,18.827906,63.633392,0,0,44.860584,-93.3418,811.43567
23.501,0,18.899263,1549,0,-11.5,2.094309,91.4,0,100.4,-5.221359,19.117752,64.821556,0,0,44.860584,-93.3418,811.43567
23.752,0,18.603964,1537.25,0,-11.5,2.126061,91.4,0,100.4,-5.3663964,19.40641,66.303246,0,0,44.860588,-93.3418,809.8858
24.002,0,18.899263,1562.5,0,-11,2.046681,91.4,0,100.4,-5.221359,18.681269,62.79433,0,0,44.860588,-93.3418,809.8858
24.251,0,18.308662,1570.5,0,-12.5,1.983177,91.4,0,100.4,-5.511434,18.09997,60.530464,0,0,44.860588,-93.3418,809.8858
24.501,0,18.013361,1549,0,-11.5,2.014929,91.4,0,98.6,-5.6564717,18.38639,62.34177,0,0,44.860588,-93.3418,809.8858
24.752,0,17.71806,1545.75,0,-11.5,1.967301,91.4,0,98.6,-5.8015094,17.94849,60.98496,0,0,44.86059,-93.341805,807.3364
25.001,0,18.013361,1533.5,0,-11,1.999053,91.4,0,98.6,-5.6564717,18.238176,62.464275,0,0,44.86059,-93.341805,807.3364
25.250,0,18.308662,1539.5,0,-10.5,1.920996,91.4,0,98.6,-5.511434,17.524424,59.785812,0,0,44.86059,-93.341805,807.3364
25.501,0,17.71806,1539.25,0,-10.5,1.983177,91.4,0,98.6,-5.8015094,18.091675,61.731052,0,0,44.86059,-93.341805,807.3364
25.754,0,18.308662,1547.5,0,-10.5,1.967301,91.4,0,98.6,-5.511434,17.945747,60.90669,0,0,44.86059,-93.341805,807.3364
26.001,0,18.603964,1539.5,0,-10,2.014929,91.4,0,98.6,-5.3663964,18.379087,62.701557,0,0,44.86059,-93.341805,807.3364
26.252,0,18.013361,1535.75,0,-10,2.046681,91.4,0,98.6,-5.6564717,18.668142,63.8432,0,0,44.86059,-93.341805,807.3364
26.501,0,17.127459,1522.5,0,-10.5,1.935549,91.4,0,98.6,-6.091585,17.653408,60.898327,0,0,44.86059,-93.341805,807.3364
26.752,0,16.536856,1584.25,0,-12,1.889244,91.4,0,98.6,-6.3816605,17.224764,57.10362,0,0,44.86059,-93.341805,807.3364
27.001,0,17.127459,1619,0,-13.5,2.094309,91.4,0,98.6,-6.091585,19.096148,61.948814,0,0,44.86059,-93.341805,807.3364
27.251,0,18.013361,1606,0,-16,2.157813,91.4,0,98.6,-5.6564717,19.676989,64.34979,0,0,44.86059,-93.341805,807.3364
27.502,0,18.899263,1616,0,-15.5,2.157813,91.4,0,98.6,-5.221359,19.676386,63.949635,0,0,44.86059,-93.341805,807.3364
27.752,0,18.603964,1593.75,0,-16,2.126061,91.4,0,98.6,-5.3663964,19.387444,63.890224,0,0,44.86059,-93.341805,807.3364
28.002,0,18.308662,1585.25,0,-16,2.110185,91.4,0,98.6,-5.511434,19.241495,63.749256,0,0,44.86059,-93.341805,807.3364
28.251,0,18.308662,1584.75,0,-15,2.046681,91.4,0,98.6,-5.511434,18.662441,61.850292,0,0,44.86059,-93.341805,807.3364
28.501,0,18.603964,1583,0,-15.5,2.062557,91.4,0,98.6,-5.3663964,18.804907,62.391346,0,0,44.86059,-93.341805,807.3364
