Time (sec), Instant fuel economy (MPG), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Barometric pressure (inHg), Catalyst temperature (Bank 1 Sensor 1) (°F), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Engine oil temperature (°F), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel (gal), Trip Fuel Economy (MPG), Average Trip CO2 Rate (lb/mile), Latitude (deg), Longitude (deg), Bearing (deg)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.860535,-93.341896,-1
1.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.582492,0,0,3.3120035E-05,0,0,44.86054,-93.341896,-1
1.998,0,20.392157,82.4,8.268428,1572.25,0,29.5301,610.16,5.882353,75.2,0,78.8,80.6,0,-10.442718,8.66687,28.951746,0,7.6321034E-05,0,0,44.86054,-93.341896,-1
3.020,0,20.392157,82.4,8.268428,1572.25,0,29.5301,610.16,5.882353,75.2,0,78.8,80.6,0,-10.442718,8.66687,28.951746,0,7.6321034E-05,0,0,44.86054,-93.341896,-1
4.044,0,18.431372,82.4,7.973127,1602.5,0,29.5301,625.28,5.882353,75.2,0,78.8,80.6,0.7231958,-10.587755,8.835627,28.958323,0,0.00034415652,0,0,44.86054,-93.34189,-1
4.999,0,18.431372,82.4,7.973127,1602.5,0,29.5301,625.28,5.882353,75.2,0,78.8,80.6,0.7231958,-10.587755,8.835627,28.958323,0,0.00034415652,0,0,44.860542,-93.341896,-1
6.021,0,18.431372,82.4,7.973127,1602.5,0,29.5301,625.28,5.882353,75.2,0,78.8,80.6,0.7231958,-10.587755,8.835627,28.958323,0,0.00034415652,0,0,44.860542,-93.341896,-1
7.004,0,20,82.4,7.677826,1603.25,0,29.5301,635.9,5.882353,75.2,0,78.8,80.6,0.70980966,-10.732793,8.835627,28.944777,0,0.00081533013,0,0,44.860542,-93.341896,256.57828
9.007,0,20,82.4,8.268428,1431.25,0,29.5301,643.46,6.6666665,75.2,0,78.8,80.6,0.7647682,-10.442718,8.751248,32.11357,0,0.0012592889,0,0,44.860554,-93.34189,-1
10.000,0,20,82.4,8.268428,1431.25,0,29.5301,643.46,6.6666665,75.2,0,78.8,80.6,0.7647682,-10.442718,8.751248,32.11357,0,0.0012592889,0,0,44.860558,-93.341896,-1
