Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Ignition timing advance for #1 cylinder (deg), Mass air flow rate (lb/min), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.251,0,0,0,0,0,1.66698,0,0,0,0,15.280449,0,0,0,0,0,0
1.501,0,21.261671,1107.25,0,-6.5,1.652427,91.4,0,96.8,-4.0610566,15.147048,71.84828,0,0,0,0,0
1.751,0,20.966372,1117,0,-6.5,1.69344,91.4,0,96.8,-4.2060943,15.522996,72.98884,0,0,0,0,0
2.001,0,20.67107,1105.5,0,-7.5,1.652427,91.4,0,96.8,-4.351132,15.147048,71.96202,0,0,0,0,0
2.251,0,20.966372,1085,0,-6,1.69344,91.4,0,96.8,-4.2060943,15.522996,75.1415,0,0,0,0,0
2.502,0,21.261671,1102.5,0,-6,1.652427,91.4,0,96.8,-4.0610566,15.116416,72.01191,0,0,0,0,0
2.751,0,21.261671,1094.5,0,-6.5,1.66698,91.4,0,96.8,-4.0610566,15.249547,73.17711,0,0,0,0,0
3.001,0,20.67107,1090.25,0,-6.5,1.652427,91.4,0,96.8,-4.351132,15.116416,72.82103,0,0,0,0,0
3.251,0,20.67107,1082.25,0,-5.5,1.625967,91.4,0,96.8,-4.351132,14.87436,72.18464,0,0,44.860573,-93.34195,813.08875
3.501,0,21.261671,1102.25,0,-6,1.602153,91.4,0,96.8,-4.0610566,14.68621,69.97835,0,0,44.860573,-93.34195,813.08875
3.752,0,20.966372,1098,0,-6.5,1.652427,91.4,0,96.8,-4.2060943,15.116416,72.30704,0,0,44.860573,-93.34195,813.08875
4.000,0,20.67107,1089.25,0,-6,1.639197,91.4,0,96.8,-4.351132,14.995388,72.30431,0,0,44.860573,-93.34195,813.08875
4.251,0,20.966372,1097,0,-6.5,1.639197,91.4,0,96.8,-4.2060943,14.995388,71.7935,0,0,44.860573,-93.34195,812.333
4.502,0,20.966372,1099,0,-6.5,1.66698,91.4,0,96.8,-4.2060943,15.249547,72.87748,0,0,44.860573,-93.34195,812.333
4.752,0,20.67107,1080.25,0,-5,1.66698,91.4,0,96.8,-4.351132,15.249547,74.14242,0,0,44.860573,-93.34195,812.333
5.001,0,20.67107,1092.75,0,-6,1.625967,91.4,0,96.8,-4.351132,14.87436,71.49103,0,0,44.860573,-93.34195,812.333
5.250,0,21.261671,1096.5,0,-5.5,1.61406,91.4,0,96.8,-4.0610566,14.765434,70.72479,0,0,44.860573,-93.34195,811.0953
5.501,0,20.67107,1091,0,-6,1.639197,91.4,0,96.8,-4.351132,14.995388,72.18834,0,0,44.860573,-93.34195,811.0953
5.752,0,20.375769,1100.25,0,-6.5,1.602153,91.4,0,96.8,-4.49617,14.656509,69.963776,0,0,44.860573,-93.34195,811.0953
