Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Barometric pressure (inHg), Catalyst temperature (Bank 1 Sensor 1) (°F), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Intake air temperature bank 2  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Acceleration (ft/s²), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Bearing (deg)
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.86,-93.34,-1.00
6.981,0.00,13.58,999.00,0.00,29.53,698.18,5.88,71.60,0.00,75.20,0.00,0.78,-7.83,0.00,9.08,47.75,0.00,0.00,44.86,-93.34,174.73
7.985,2.65,20.67,1204.75,3.11,29.53,708.80,14.90,71.60,6.67,75.20,0.00,1.19,-4.35,0.81,16.05,69.98,0.00,1.23,44.86,-93.34,187.73
8.995,2.71,17.13,1704.25,4.97,29.53,711.86,9.80,71.60,4.31,75.20,0.00,1.19,-6.09,2.68,25.14,77.47,0.00,1.47,44.86,-93.34,190.55
9.978,6.08,15.36,1608.50,7.46,29.53,715.10,5.10,71.60,0.00,75.20,0.00,1.51,-6.96,4.01,16.80,54.87,0.01,1.98,44.86,-93.34,197.23
10.980,17.74,8.56,1355.25,8.08,29.53,716.54,3.53,71.60,1.57,75.20,0.00,0.79,-10.30,2.65,6.24,24.20,0.01,2.62,44.86,-93.34,206.72
11.995,15.16,9.15,1171.25,8.08,29.53,719.06,6.67,71.60,5.10,75.20,0.00,0.72,-10.01,0.52,7.30,32.76,0.01,3.16,44.86,-93.34,210.59
12.974,7.61,17.42,1434.00,7.46,29.53,721.58,5.88,71.60,5.10,75.20,0.00,1.18,-5.95,-0.61,13.43,49.18,0.01,3.44,44.86,-93.34,224.65
13.993,7.61,17.42,1434.00,7.46,29.53,721.58,5.88,71.60,5.10,75.20,0.00,1.18,-5.95,-0.61,13.43,49.18,0.01,3.44,44.86,-93.34,233.79
14.983,6.54,16.24,1787.25,9.32,29.53,728.60,10.59,71.60,5.10,75.20,0.00,1.34,-6.53,0.14,19.53,57.38,0.02,3.98,44.86,-93.34,247.50
15.985,9.70,11.52,1734.25,11.18,29.53,730.04,5.49,71.60,1.57,75.20,0.00,1.19,-8.85,1.51,15.81,47.89,0.02,4.77,44.86,-93.34,255.59
16.985,17.60,9.15,1421.50,11.81,29.53,732.74,6.27,71.60,3.14,75.20,0.00,0.92,-10.01,1.35,9.20,33.97,0.02,5.18,44.86,-93.34,261.56
17.983,6.62,21.56,1827.50,11.81,29.53,736.34,8.24,71.60,0.00,75.20,0.00,1.81,-3.92,-0.00,24.43,70.22,0.03,5.60,44.86,-93.34,265.78
19.003,15.69,10.34,1649.50,12.43,29.53,737.60,6.27,71.60,4.71,75.20,0.00,1.09,-9.43,0.65,10.86,34.58,0.03,5.90,44.86,-93.34,267.54
20.007,7.64,18.01,1788.00,12.43,29.53,739.76,10.98,71.60,6.67,75.20,0.00,1.71,-5.66,0.65,22.31,65.54,0.03,5.98,44.86,-93.34,268.60
20.990,12.31,12.70,1832.25,14.29,29.53,743.54,6.27,71.60,0.00,75.20,0.00,1.49,-8.27,1.77,15.92,45.63,0.04,6.32,44.86,-93.34,268.64
21.991,19.94,9.74,1421.75,14.29,29.53,744.62,5.49,71.60,0.00,75.20,0.00,1.03,-9.72,1.16,9.83,36.31,0.04,6.60,44.86,-93.34,268.54
22.988,20.22,10.34,1236.75,12.43,29.53,746.42,5.49,71.60,0.00,75.20,0.00,0.85,-9.43,-1.54,8.43,35.78,0.04,6.91,44.86,-93.34,269.33
23.982,18.79,10.63,1297.25,11.18,29.53,748.04,10.20,71.60,1.96,75.20,0.00,0.76,-9.28,-2.62,8.16,33.04,0.05,7.17,44.86,-93.34,269.62
24.995,8.38,13.29,1706.25,10.56,29.53,749.84,5.88,71.60,0.00,75.20,0.00,0.99,-7.98,-1.67,17.28,53.19,0.05,7.21,44.86,-93.34,270.06
25.992,8.38,13.29,1706.25,10.56,29.53,749.84,5.88,71.60,0.00,75.20,0.00,0.99,-7.98,-1.67,17.28,53.19,0.05,7.21,44.86,-93.34,270.45
26.985,8.38,13.29,1706.25,10.56,29.53,749.84,5.88,71.60,0.00,75.20,0.00,0.99,-7.98,-1.67,17.28,53.19,0.05,7.21,44.86,-93.34,271.95
27.978,16.26,10.63,1323.00,10.56,29.53,751.82,6.27,71.60,0.00,75.20,0.00,1.05,-9.28,-0.59,8.91,35.37,0.05,7.39,44.86,-93.34,272.73
28.984,16.26,10.63,1323.00,10.56,29.53,751.82,6.27,71.60,0.00,75.20,0.00,1.05,-9.28,-0.59,8.91,35.37,0.05,7.39,44.86,-93.34,271.76
29.987,18.96,9.15,1260.50,11.18,29.53,755.42,5.49,71.60,0.00,75.20,0.00,0.70,-10.01,0.15,8.09,33.70,0.06,8.14,44.86,-93.34,270.66
30.979,13.69,10.34,1173.00,8.08,29.53,756.50,5.49,71.60,0.00,75.20,0.00,0.75,-9.43,-0.65,8.09,36.22,0.07,8.49,44.86,-93.34,270.40
31.996,11.35,10.63,1154.50,6.84,29.53,756.86,5.49,71.60,8.63,75.20,0.00,0.72,-9.28,-1.87,8.26,37.56,0.07,8.55,44.86,-93.34,270.17
32.989,5.52,25.69,1293.50,6.21,29.53,757.22,20.78,71.60,7.84,75.20,0.00,1.71,-1.89,-1.71,15.43,62.65,0.07,8.47,44.86,-93.34,269.75
33.988,4.01,18.60,1840.50,7.46,29.53,758.30,9.02,71.60,4.71,75.20,0.00,1.39,-5.37,0.56,25.48,72.72,0.07,8.26,44.86,-93.34,269.66
34.983,5.11,23.03,1873.75,9.94,29.53,760.28,16.08,71.60,9.41,75.20,0.00,2.35,-3.19,2.15,26.69,74.81,0.08,8.06,44.86,-93.34,269.11
36.008,3.94,22.15,2379.75,10.56,29.53,761.18,12.16,71.60,7.84,75.20,0.00,2.39,-3.63,1.16,36.75,81.11,0.08,7.87,44.86,-93.34,268.92
36.989,5.45,22.15,2299.25,13.05,29.53,762.98,14.90,71.60,8.24,75.20,0.00,3.04,-3.63,2.99,32.85,75.04,0.08,7.72,44.86,-93.34,269.18
37.999,21.02,10.34,1848.00,17.40,29.53,766.22,12.55,71.60,5.88,75.20,0.00,1.37,-9.43,4.33,11.35,32.26,0.09,7.87,44.86,-93.34,270.34
38.984,10.52,19.49,1949.75,18.02,29.53,767.30,10.59,71.60,0.00,75.20,0.00,2.08,-4.93,2.92,23.48,63.24,0.09,7.95,44.86,-93.34,270.64
40.001,20.45,10.93,1686.00,19.26,29.53,769.46,6.27,71.60,1.96,75.20,0.00,1.23,-9.14,1.78,12.92,40.24,0.10,8.14,44.86,-93.34,270.73
40.999,29.33,9.45,1471.00,19.26,29.53,771.98,5.10,71.60,0.39,75.20,0.00,0.81,-9.86,-0.00,9.00,32.15,0.11,8.65,44.86,-93.34,270.78
41.992,31.35,9.45,1432.00,19.26,29.53,772.70,8.24,71.60,4.31,75.20,0.00,0.80,-9.86,-0.00,8.43,30.90,0.11,8.89,44.86,-93.34,270.18
42.986,24.91,11.22,1602.75,19.26,29.53,774.50,5.88,71.60,0.00,75.20,0.00,0.93,-8.99,-0.00,10.60,34.75,0.11,9.15,44.86,-93.34,269.92
43.984,24.91,11.22,1602.75,19.26,29.53,774.50,5.88,71.60,0.00,75.20,0.00,0.93,-8.99,-0.00,10.60,34.75,0.11,9.15,44.86,-93.34,269.67
44.997,32.36,8.86,1301.00,19.26,29.53,775.40,5.10,71.60,0.39,75.20,0.00,0.82,-10.15,-0.00,8.16,32.94,0.12,9.39,44.86,-93.34,265.54
45.993,32.36,8.86,1301.00,19.26,29.53,775.40,5.10,71.60,0.39,75.20,0.00,0.82,-10.15,-0.00,8.16,32.94,0.12,9.39,44.86,-93.34,261.47
47.000,34.62,24.51,1963.25,18.02,29.53,777.20,5.88,71.60,0.00,75.20,0.00,1.84,-2.47,-0.48,7.14,19.09,0.13,9.90,44.86,-93.34,256.79
48.000,34.62,24.51,1963.25,18.02,29.53,777.20,5.88,71.60,0.00,75.20,0.00,1.84,-2.47,-0.48,7.14,19.09,0.13,9.90,44.86,-93.34,253.86
48.990,34.62,24.51,1963.25,18.02,29.53,777.20,5.88,71.60,0.00,75.20,0.00,1.84,-2.47,-0.48,7.14,19.09,0.13,9.90,44.86,-93.34,252.63
