Time (sec), Instant fuel economy (MPG), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Barometric pressure (inHg), Catalyst temperature (Bank 1 Sensor 1) (°F), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Engine oil temperature (°F), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel (gal), Trip Fuel Economy (MPG), Average Trip CO2 Rate (lb/mile), Latitude (deg), Longitude (deg), Bearing (deg)
0.000,45.749897,0,0,0,0,59.030262,0,0,0,0,0,0,0,0,0,17.691198,0,0.01659205,0.00037812922,43.87931,0.44658485,45.415146,-92.132774,200.4514
1.003,45.749897,0,0,0,0,59.030262,0,0,0,0,0,0,0,0,0,17.691198,0,0.01659205,0.00037812922,43.87931,0.44658485,45.414925,-92.1329,201.39058
2.000,45.749897,0,0,0,0,59.030262,0,0,0,0,0,0,0,0,0,17.691198,0,0.01659205,0.00037812922,43.87931,0.44658485,45.414703,-92.133026,203.26727
3.008,55.359406,63.137257,195.8,30.120703,1871,59.030262,28.939499,1137.92,10.196078,77,7.45098,203,77,0,0.29007548,14.620289,41.04084,0.033284202,0.00067982695,48.959816,0.40024322,45.414482,-92.13316,205.84369
4.020,50.798077,36.862743,195.8,20.080467,1808.25,59.030262,28.939499,1138.82,23.137255,77,10.588235,203,77,2.1674707,-4.351132,15.933093,46.27812,0.078138515,0.0014884546,52.496407,0.37327957,45.41427,-92.133316,207.64793
5.006,20.805555,60.784313,195.8,25.986488,1856,59.030262,28.939499,1139.18,9.411765,77,6.6666665,203,77,2.7108886,-1.4503773,38.901653,110.083984,0.09026718,0.0020888147,43.214546,0.4534546,45.414055,-92.13348,209.09402
6.009,21.011469,53.72549,195.8,27.758293,1850,59.030262,28.939499,1139.9,9.411765,77,7.45098,203,77,2.9721885,-0.58015096,38.520412,109.35869,0.10440933,0.0027532976,37.92156,0.5167466,45.41385,-92.13365,210.1504
7.007,29.650356,61.568626,195.8,28.644197,1841.25,59.030262,28.939499,1140.26,14.90196,77,2.745098,203,77,3.0571306,-0.14503774,27.29716,77.86437,0.116372764,0.0031931256,36.444782,0.53768563,45.413643,-92.13382,210.1504
8.007,62.242966,16.078432,195.8,10.926137,1793.75,59.030262,28.939499,1140.8,4.7058825,77,0,203,77,1.1601338,-8.847302,13.003406,38.074066,0.14579146,0.0037443342,38.93655,0.5032761,45.413433,-92.133995,210.1504
9.004,126.16242,0,195.8,6.496622,1777.5,59.030262,28.939499,1140.08,7.8431373,77,5.098039,203,77,0.67228764,-11.022868,6.4153056,18.955788,0.15877059,0.0038385547,41.362076,0.47376335,45.413227,-92.13416,210.06302
10.007,34.93976,56.862743,195.8,26.28179,1821,58.408894,28.939499,1137.56,9.411765,77,5.882353,203,77,2.6950705,-1.3053397,22.920902,66.10828,0.17316896,0.004264029,40.611576,0.48251843,45.41302,-92.13433,210.06302
11.006,32.515503,53.333332,195.8,25.395885,1810.25,58.408894,28.939499,1135.22,36.862743,77,10.980392,203,77,2.6679575,-1.7404529,24.629814,71.458954,0.19123335,0.004802176,39.82223,0.4920828,45.41282,-92.1345,210.06302
12.006,20.342026,69.01961,195.8,30.416002,1840.5,58.408894,28.939499,1133.6,26.666666,77,10.980392,203,77,3.1764812,0.7251887,39.369274,112.3455,0.203809,0.005419069,37.609596,0.52103287,45.412613,-92.134674,210.06302
13.006,18.928312,69.803925,195.8,24.805285,1826.75,59.030262,28.939499,1133.06,8.627451,77,0,203,77,2.6338172,-2.0305283,42.75978,122.93922,0.22139426,0.0063607423,34.806355,0.5629959,45.412407,-92.13484,210.49887
14.004,69.78077,26.666666,195.8,13.288545,1799,59.030262,28.939499,1132.34,12.941176,77,1.5686275,203,77,1.4004325,-7.6870003,11.598762,33.862152,0.23521098,0.0065590246,35.860664,0.54644376,45.4122,-92.13502,210.49887
15.003,38.790844,55.294117,195.8,21.852274,1793.5,59.030262,28.939499,1131.08,10.588235,77,8.627451,203,77,2.2679496,-3.4809058,20.864988,61.101353,0.24997619,0.006936081,36.039974,0.543725,45.41199,-92.135185,210.14967
16.006,52.316193,19.607843,195.8,12.107341,1821,59.030262,28.939499,1129.28,4.7058825,77,5.882353,203,77,1.3079051,-8.267151,15.470746,44.620598,0.27655852,0.007851159,35.225185,0.55630183,45.411785,-92.13536,210.14967
17.006,31.397326,55.294117,195.8,24.805285,1803,58.408894,28.939499,1128.38,7.45098,77,0,203,77,2.605912,-2.0305283,25.506975,74.30145,0.28793094,0.008299245,34.693634,0.5648251,45.41158,-92.13553,210.10463
