Time (sec), Instant fuel economy (MPG), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Engine oil temperature (°F), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.860527,-93.3419
1.014,0,62.7451,89.6,23.91938,1574,0,12.54902,86,0,86,87.8,0,-2.755717,26.95836,89.95449,0,0,44.860523,-93.3419
2.019,0,62.7451,89.6,23.91938,1574,0,12.54902,86,0,86,87.8,0,-2.755717,26.95836,89.95449,0,0,44.860523,-93.3419
3.016,0,61.17647,89.6,23.91938,1595.25,0,12.54902,86,0,86,87.8,2.1720023,-2.9007547,26.081667,85.86984,0,0,44.860523,-93.3419
4.010,0,55.686275,89.6,22.738176,1597.25,0,12.54902,86,0,86,87.8,2.0926182,-3.4809058,28.857866,94.89108,0,0,44.860523,-93.3419
12.008,0,52.941177,89.6,21.261671,1610.5,0,11.764706,86,0,86,87.8,1.9220824,-4.2060943,22.988882,74.970634,0,0,44.860523,-93.3419
13.003,0,52.941177,89.6,21.261671,1610.5,0,11.764706,86,0,86,87.8,1.9220824,-4.2060943,22.988882,74.970634,0,0,44.860523,-93.3419
14.023,0,53.72549,89.6,21.261671,1585.25,0,11.372549,86,0,86,87.8,1.9754395,-4.2060943,22.988882,76.16478,0,0,44.860523,-93.3419
15.012,0,53.72549,89.6,21.261671,1585.25,0,11.372549,86,0,86,87.8,1.9754395,-4.2060943,22.988882,76.16478,0,0,44.860527,-93.3419
16.000,0,54.509804,89.6,20.080467,1561,0,6.27451,86,0,89.6,89.6,1.836442,-4.7862453,22.696651,76.36475,0,0,44.860527,-93.3419
17.002,0,54.509804,89.6,20.080467,1561,0,6.27451,86,0,89.6,89.6,1.836442,-4.7862453,22.696651,76.36475,0,0,44.860527,-93.3419
18.000,0,54.509804,89.6,20.080467,1561,0,6.27451,86,0,89.6,89.6,1.836442,-4.7862453,22.696651,76.36475,0,0,44.860527,-93.3419
19.013,0,35.686275,89.6,13.288545,997.25,0,5.490196,86,0,89.6,89.6,1.1967018,-8.122113,9.509702,50.08376,0,0,44.860527,-93.3419
