Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Ignition timing advance for #1 cylinder (deg), Mass air flow rate (lb/min), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.501,0,0,0,0,0,0.522585,0,0,0,0,4.7709637,0,0,0,0,0,0
0.752,0,0,0,0,0,0.522585,0,0,0,0,4.7709637,0,0,0,45.03617,-92.98506,1038.0044
1.002,0,0,0,0,0,0.522585,0,0,0,0,4.7709637,0,0,0,45.03617,-92.98506,1038.0044
1.251,0,0,0,0,0,0.522585,0,0,0,0,4.7709637,0,0,0,45.03617,-92.98506,1038.0044
1.501,0,0,0,0,0,0.522585,0,0,0,0,4.7709637,0,0,0,45.03617,-92.98506,1038.0044
1.752,0,10.630836,776,0,7,0.510678,73.4,0,78.8,-9.282415,4.662258,31.555035,0,0,45.03617,-92.98506,1038.0044
2.001,0,10.630836,776,0,7,0.510678,73.4,0,78.8,-9.137378,4.662258,31.555035,0,0,45.03617,-92.98506,1038.0044
2.251,0,10.630836,778.75,0,7,0.510678,73.4,0,78.8,-9.137378,4.662258,31.443605,0,0,45.03617,-92.98506,1038.0044
2.501,0,10.630836,778.25,0,7,0.504063,73.4,0,78.8,-9.137378,4.6018662,31.056244,0,0,45.03617,-92.98506,1038.0044
2.751,0,10.630836,778.5,0,7,0.522585,73.4,0,78.8,-9.137378,4.7709637,32.18708,0,0,45.03617,-92.98506,1038.0044
3.001,0,10.335535,781.25,0,7,0.433944,73.4,0,78.8,-9.282415,3.9617116,26.633417,0,0,45.03617,-92.98506,1038.0044
3.251,0,9.449632,724,0,-3.5,0.402192,73.4,0,78.8,-9.717528,3.6718302,26.636559,0,0,45.03617,-92.98506,1038.0044
3.502,0,9.744933,708.5,0,-2.5,0.433944,73.4,0,78.8,-9.572491,3.9617116,29.368183,0,0,45.03617,-92.98506,1038.0044
3.752,0,10.335535,732,0,1,0.445851,73.4,0,78.8,-9.282415,4.070417,29.205317,0,0,45.03617,-92.98506,1038.0044
4.002,0,10.040234,748.75,0,2,0.416745,73.4,0,78.8,-9.427453,3.8046925,26.688047,0,0,45.03617,-92.98506,1038.0044
4.251,0,9.449632,776.25,0,4,0.391608,73.4,0,78.8,-9.717528,3.5752032,24.18985,0,0,45.03617,-92.98506,1038.0044
4.501,0,8.563729,777.5,0,4,0.398223,73.4,0,78.8,-10.152641,3.635595,24.558916,0,0,45.03617,-92.98506,1038.0044
4.751,0,8.563729,775.75,0,4,0.398223,73.4,0,78.8,-10.152641,3.635595,24.614317,0,0,45.03617,-92.98506,1038.0044
5.001,0,8.563729,760.75,0,4,0.406161,73.4,0,78.8,-10.152641,3.7080655,25.599972,0,0,45.03617,-92.98506,1038.0044
5.252,0,8.85903,750.75,0,4,0.41013,73.4,0,78.8,-10.007604,3.7443006,26.19446,0,0,45.03617,-92.98506,1038.0044
5.501,0,8.85903,745.75,0,4,0.41013,73.4,0,78.8,-10.007604,3.7443006,26.370085,0,0,45.03617,-92.98506,1038.0044
