Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Hard Brake Count, Latitude (deg), Longitude (deg), Bearing (deg)
28.034,7.16902,19.489866,2012,13.048795,10.196078,100.4,3.9215686,107.6,1.4687259,-4.931283,24.956476,65.14624,0.039191544,2.8839293,0,44.860188,-93.34262,253.68289
28.992,7.16902,19.489866,2012,13.048795,10.196078,100.4,3.9215686,107.6,1.4687259,-4.931283,24.956476,65.14624,0.039191544,2.8839293,0,44.860188,-93.34273,263.15085
30.011,9.984507,18.013361,1875,16.155651,6.6666665,100.4,0,107.6,2.0908763,-5.6564717,22.185566,62.14459,0.047823496,3.3120594,0,44.860188,-93.34282,267.67148
31.010,23.95094,10.630836,1382.5,16.155651,5.882353,100.4,0,107.6,1.1499376,-9.282415,9.2485695,35.13529,0.05759081,3.8857348,0,44.860195,-93.34292,270.50684
32.008,19.384535,13.583846,1336.25,16.155651,7.0588236,100.4,0,107.6,1.0442286,-7.832038,11.42725,44.914658,0.063854225,4.2208753,0,44.860195,-93.34302,270.5225
32.996,19.384535,13.583846,1336.25,16.155651,7.0588236,100.4,0,107.6,1.0442286,-7.832038,11.42725,44.914658,0.063854225,4.2208753,0,44.860195,-93.34311,270.78888
33.994,19.384535,13.583846,1336.25,16.155651,7.0588236,100.4,0,107.6,1.0442286,-7.832038,11.42725,44.914658,0.063854225,4.2208753,0,44.8602,-93.34319,271.67957
34.995,17.0482,13.879147,1314,14.912909,8.235294,100.4,0,107.6,1.0699319,-7.6870003,11.993791,47.939686,0.0666657,4.3414316,0,44.8602,-93.343254,271.35098
35.996,17.0482,13.879147,1314,14.912909,8.235294,100.4,0,107.6,1.0699319,-7.6870003,11.993791,47.939686,0.0666657,4.3414316,0,44.860207,-93.343285,280.25037
36.999,7.9950047,18.603964,1219,9.320568,11.764706,100.4,12.941176,107.6,1.4102836,-5.3663964,15.984399,68.86946,0.07282621,4.5201716,0,44.860207,-93.34331,272.70065
38.029,7.9950047,18.603964,1219,9.320568,11.764706,100.4,12.941176,107.6,1.4102836,-5.3663964,15.984399,68.86946,0.07282621,4.5201716,0,44.860203,-93.34335,270.63483
39.007,7.9950047,18.603964,1219,9.320568,11.764706,100.4,12.941176,107.6,1.4102836,-5.3663964,15.984399,68.86946,0.07282621,4.5201716,0,44.8602,-93.34344,270.58612
40.028,1.9710574,25.986488,2400,6.835083,6.27451,100.4,0,105.8,1.827498,-1.7404529,47.54635,104.04951,0.0769932,4.2194285,0,44.860203,-93.34352,270.6869
41.018,15.627517,16.241554,1522.5,13.670166,15.686275,100.4,6.27451,105.8,1.4401479,-6.526698,11.993791,41.374546,0.08979316,4.6778383,0,44.860195,-93.3436,267.5472
42.006,6.1316576,22.442877,2011.25,14.291537,13.725491,100.4,2.3529413,105.8,1.9712487,-3.4809058,31.957567,83.45296,0.09221001,4.707414,0,44.86019,-93.34369,266.63788
42.990,7.229119,23.62408,2110.25,17.398394,14.509804,100.4,8.627451,105.8,2.6491156,-2.9007547,32.99867,82.12901,0.09933096,4.8424344,0,44.860184,-93.34378,264.04324
44.003,8.357804,22.442877,2083,19.262506,10.980392,100.4,0,105.8,2.732235,-3.4809058,31.600449,79.67793,0.102951184,4.9128695,0,44.86016,-93.343895,258.61588
45.000,25.01918,12.402642,1404.25,20.505249,6.27451,100.4,0,105.8,1.4904214,-8.412189,11.237369,42.029507,0.10653749,5.0441566,0,44.860184,-93.34402,270.63107
45.994,25.01918,12.402642,1404.25,20.505249,6.27451,100.4,0,105.8,1.4904214,-8.412189,11.237369,42.029507,0.10653749,5.0441566,0,44.860184,-93.34415,270.63107
47.016,29.599072,14.76505,1504.25,20.505249,14.509804,100.4,0,105.8,1.1961482,-7.251887,9.4986,33.164516,0.11311394,5.3034844,0,44.860188,-93.34427,271.1152
47.990,29.599072,14.76505,1504.25,20.505249,14.509804,100.4,0,105.8,1.1961482,-7.251887,9.4986,33.164516,0.11311394,5.3034844,0,44.860188,-93.344406,271.1152
48.992,6.8753886,30.711304,3220.5,21.747992,68.62745,100.4,48.627453,105.8,2.6651638,0.58015096,43.370514,70.73027,0.123910174,5.3840837,0,44.86019,-93.34456,271.1152
49.993,6.8753886,30.711304,3220.5,21.747992,68.62745,100.4,48.627453,105.8,2.6651638,0.58015096,43.370514,70.73027,0.123910174,5.3840837,0,44.860195,-93.34474,271.01062
50.996,1.894871,20.080467,3327.75,27.961704,6.6666665,100.4,0,102.2,3.7308066,-4.6412077,202.3283,319.3302,0.13837324,4.560874,0,44.860195,-93.34494,271.01062
52.010,1.894871,20.080467,3327.75,27.961704,6.6666665,100.4,0,102.2,3.7308066,-4.6412077,202.3283,319.3302,0.13837324,4.560874,0,44.8602,-93.34509,271.01062
53.002,55.539425,6.201321,1753,27.961704,4.3137255,100.4,0,102.2,1.1905304,-11.457981,6.9029527,20.681738,0.15527375,5.0641747,0,44.86019,-93.345215,271.07733
54.000,55.539425,6.201321,1753,27.961704,4.3137255,100.4,0,102.2,1.1905304,-11.457981,6.9029527,20.681738,0.15527375,5.0641747,0,44.860203,-93.34532,271.07733
55.007,50.05165,7.973127,1143.5,20.505249,4.3137255,100.4,0,102.2,0.8063363,-10.587755,5.6171927,25.799852,0.16710822,5.412074,0,44.860207,-93.34541,271.07733
56.007,42.98047,8.268428,1170.5,16.777021,4.3137255,100.4,0,102.2,0.5454623,-10.442718,5.352003,24.014803,0.17395645,5.604529,0,44.860207,-93.34549,271.07733
57.004,38.728218,7.087224,1242.25,14.912909,4.3137255,100.4,0,102.2,0.4785785,-11.022868,5.279679,22.321972,0.1791563,5.7467833,0,44.86021,-93.345566,271.5158
57.994,38.728218,7.087224,1242.25,14.912909,4.3137255,100.4,0,102.2,0.4785785,-11.022868,5.279679,22.321972,0.1791563,5.7467833,0,44.860214,-93.345634,271.5158
58.981,28.963234,7.973127,948.5,12.4274235,3.9215686,100.4,0,102.2,0.57140404,-10.587755,5.8831067,32.576427,0.1834884,5.8573728,0,44.86022,-93.34567,271.5158
60.000,7.524571,28.053595,2097.5,7.4564543,14.509804,100.4,8.235294,102.2,1.5350816,-0.7251887,13.58699,34.02165,0.18663394,5.879669,0,44.860233,-93.345695,271.5158
60.985,7.524571,28.053595,2097.5,7.4564543,14.509804,100.4,8.235294,102.2,1.5350816,-0.7251887,13.58699,34.02165,0.18663394,5.879669,0,44.860226,-93.34574,310.39984
61.984,7.524571,28.053595,2097.5,7.4564543,14.509804,100.4,8.235294,102.2,1.5350816,-0.7251887,13.58699,34.02165,0.18663394,5.879669,0,44.860348,-93.34568,0.46283007
62.997,7.524571,28.053595,2097.5,7.4564543,14.509804,100.4,8.235294,102.2,1.5350816,-0.7251887,13.58699,34.02165,0.18663394,5.879669,0,44.860443,-93.34567,0.46283007
64.008,3.5068007,25.691187,2982.75,10.563311,68.62745,100.4,25.490196,102.2,3.1087925,-1.8854905,41.301098,72.724174,0.19062366,5.796828,0,44.860577,-93.34567,0.46283007
64.993,3.5068007,25.691187,2982.75,10.563311,68.62745,100.4,25.490196,102.2,3.1087925,-1.8854905,41.301098,72.724174,0.19062366,5.796828,0,44.86073,-93.34567,0.46283007
65.992,3.5068007,25.691187,2982.75,10.563311,68.62745,100.4,25.490196,102.2,3.1087925,-1.8854905,41.301098,72.724174,0.19062366,5.796828,0,44.860863,-93.34568,0.49132645
66.997,67.934006,28.348896,2445,31.68993,68.62745,100.4,45.882355,102.2,4.878189,-0.58015096,6.395974,13.739215,0.22973336,6.845541,0,44.86099,-93.34568,0.49132645
68.004,67.934006,28.348896,2445,31.68993,68.62745,100.4,45.882355,102.2,4.878189,-0.58015096,6.395974,13.739215,0.22973336,6.845541,0,44.86112,-93.34568,0.5777363
69.001,4.157588,51.382374,3859.5,31.06856,68.62745,100.4,48.235294,102.2,7.247674,10.732793,102.45952,139.42972,0.2523714,6.7080503,0,44.861298,-93.34568,0.6164592
69.988,4.157588,51.382374,3859.5,31.06856,68.62745,100.4,48.235294,102.2,7.247674,10.732793,102.45952,139.42972,0.2523714,6.7080503,0,44.86148,-93.34567,0.6164592
70.990,2.9711957,53.74478,4095.5,38.525013,63.137257,98.6,0,100.4,11.9666605,11.893094,177.78052,227.98766,0.26948413,6.296659,0,44.861652,-93.34567,0.69467694
72.001,2.9711957,53.74478,4095.5,38.525013,63.137257,98.6,0,100.4,11.9666605,11.893094,177.78052,227.98766,0.26948413,6.296659,0,44.861805,-93.34567,0.69467694
73.000,2.9711957,53.74478,4095.5,38.525013,63.137257,98.6,0,100.4,11.9666605,11.893094,177.78052,227.98766,0.26948413,6.296659,0,44.861946,-93.345665,0.9660851
73.995,60.09095,8.268428,1593.75,41.63187,4.3137255,98.6,0,100.4,1.9535993,-10.442718,9.499254,31.304256,0.29662323,6.846702,0,44.862083,-93.345665,0.43552306
74.988,60.09095,8.268428,1593.75,41.63187,4.3137255,98.6,0,100.4,1.9535993,-10.442718,9.499254,31.304256,0.29662323,6.846702,0,44.86221,-93.345665,0.43552306
75.995,115.21341,5.315418,1413.75,32.311302,3.137255,98.6,0,100.4,0.48872352,-11.893094,3.8452456,14.285174,0.32784027,7.5245137,0,44.86233,-93.345665,0.43552306
76.991,115.21341,5.315418,1413.75,32.311302,3.137255,98.6,0,100.4,0.48872352,-11.893094,3.8452456,14.285174,0.32784027,7.5245137,0,44.862446,-93.345665,0.67234683
78.007,131.4958,5.020117,995.75,29.825817,2.745098,98.6,0,100.4,0.4094417,-12.038133,3.109948,16.403513,0.34273276,7.8459272,0,44.862553,-93.345665,0.67234683
78.991,120.53782,6.201321,921.75,27.340332,2.745098,98.6,0,100.4,0.35623792,-11.457981,3.109948,17.72042,0.3536298,8.079537,0,44.862656,-93.345665,0.67234683
79.994,120.53782,6.201321,921.75,27.340332,2.745098,98.6,0,100.4,0.35623792,-11.457981,3.109948,17.72042,0.3536298,8.079537,0,44.86274,-93.34564,0.5886208
80.991,104.18816,5.315418,1072.75,22.990734,2.745098,98.6,0,100.4,0.28265467,-11.893094,3.0255694,14.812987,0.3640295,8.298273,0,44.862816,-93.34564,0.5886208
81.998,92.31542,5.020117,1029.5,19.883879,2.745098,98.6,0,100.4,0.31068334,-12.038133,2.953245,15.06632,0.37105367,8.443034,0,44.86288,-93.34564,0.36612004
82.991,68.03079,5.610719,906,16.155651,2.745098,98.6,0,100.4,0.3332349,-11.748056,3.256054,18.875456,0.37743104,8.570797,0,44.86294,-93.34564,0.36612004
84.038,68.03079,5.610719,906,16.155651,2.745098,98.6,0,100.4,0.3332349,-11.748056,3.256054,18.875456,0.37743104,8.570797,0,44.86298,-93.34564,0.36612004
85.013,49.669273,6.201321,848.5,11.806052,2.745098,98.6,0,100.4,0.3241291,-11.457981,3.259039,20.17306,0.38183847,8.652187,0,44.863007,-93.34564,0.36612004
85.997,49.669273,6.201321,848.5,11.806052,2.745098,98.6,0,100.4,0.3241291,-11.457981,3.259039,20.17306,0.38183847,8.652187,0,44.863018,-93.34564,0.36612004
86.995,22.945028,7.973127,619.25,5.592341,2.745098,98.6,0,100.4,0.39028883,-10.587755,3.3417785,28.342993,0.38473427,8.692661,0,44.86302,-93.34564,0.36612004
88.003,5.001453,11.516739,471.75,1.2427424,2.745098,98.6,0,104,0.41143492,-8.847302,3.4068859,37.92973,0.38527733,8.684299,0,44.863026,-93.34564,0.36612004
88.994,5.001453,11.516739,471.75,1.2427424,2.745098,98.6,0,104,0.41143492,-8.847302,3.4068859,37.92973,0.38527733,8.684299,0,44.863026,-93.34564,0.36612004
90.003,0,12.993244,520,0,2.745098,98.6,0,104,0.35361862,-8.122113,3.117559,31.488024,0.38527733,8.66439,0,44.863026,-93.34564,0.36612004
90.999,0,13.583846,686.25,0,18.039215,98.6,19.215687,104,0.40750384,-7.832038,4.773007,36.529507,0.38527733,8.63898,0,44.86303,-93.34564,0.36612004
91.996,0,13.583846,686.25,0,18.039215,98.6,19.215687,104,0.40750384,-7.832038,4.773007,36.529507,0.38527733,8.63898,0,44.863052,-93.345634,4.5076995
92.995,0.990259,30.711304,2295.5,3.1068559,68.62745,98.6,19.215687,104,1.2158674,0.58015096,43.017483,98.42417,0.3868489,8.365521,0,44.863106,-93.345634,4.5076995
93.999,1.7707107,40.751537,2882.75,11.184682,7.45098,98.6,8.235294,104,5.396683,5.511434,86.60613,157.78865,0.39072523,8.095691,0,44.86318,-93.34563,0
94.986,1.7707107,40.751537,2882.75,11.184682,7.45098,98.6,8.235294,104,5.396683,5.511434,86.60613,157.78865,0.39072523,8.095691,0,44.86325,-93.34563,0
95.996,1.7707107,40.751537,2882.75,11.184682,7.45098,98.6,8.235294,104,5.396683,5.511434,86.60613,157.78865,0.39072523,8.095691,0,44.863316,-93.34563,325.8373
96.992,5.8109994,31.006605,2718.75,16.155651,68.62745,98.6,43.52941,104,5.15664,0.7251887,38.11942,73.63954,0.39590448,8.023776,0,44.863365,-93.34588,293.67847
97.994,5.8109994,31.006605,2718.75,16.155651,68.62745,98.6,43.52941,104,5.15664,0.7251887,38.11942,73.63954,0.39590448,8.023776,0,44.863396,-93.34603,296.8499
99.009,2.4648812,59.650803,3441.5,24.233477,68.62745,98.6,33.72549,104,9.356021,14.793849,134.80078,205.72102,0.4173388,7.2895236,0,44.86348,-93.34622,300.71677
99.987,16.422201,8.85903,3005.5,34.175415,10.196078,98.6,4.7058825,104,1.7588935,-10.152641,28.533503,49.862312,0.43184355,7.4270253,0,44.863567,-93.346375,314.24503
100.994,58.46416,15.650953,2107,34.796787,12.156863,98.6,0,104,2.7137082,-6.816774,8.1606,20.341904,0.44528872,7.62713,0,44.863674,-93.3465,322.5014
102.018,58.46416,15.650953,2107,34.796787,12.156863,98.6,0,104,2.7137082,-6.816774,8.1606,20.341904,0.44528872,7.62713,0,44.863792,-93.34663,319.03186
103.003,69.31488,6.496622,1641,34.175415,3.9215686,98.6,0,104,0.789692,-11.312943,6.7602067,21.636423,0.4589528,7.832953,0,44.8639,-93.34673,321.74896
104.009,69.31488,6.496622,1641,34.175415,3.9215686,98.6,0,104,0.789692,-11.312943,6.7602067,21.636423,0.4589528,7.832953,0,44.863995,-93.34686,313.68402
105.010,114.20692,5.020117,1588,32.932674,7.8431373,98.6,2.745098,102.2,0.47525647,-12.038133,3.953732,13.076479,0.4736295,8.066576,0,44.86406,-93.347015,301.2428
105.998,58.803078,7.973127,1580,31.68993,3.9215686,98.6,0,102.2,0.7304404,-10.587755,7.3891397,24.562403,0.48966327,8.301689,0,44.86412,-93.34717,297.89917
106.994,58.803078,7.973127,1580,31.68993,3.9215686,98.6,0,102.2,0.7304404,-10.587755,7.3891397,24.562403,0.48966327,8.301689,0,44.86415,-93.34732,289.64655
108.010,92.13275,5.020117,1538,30.44719,3.5294118,98.6,0,102.2,0.45759,-12.038133,4.531122,15.473321,0.5010282,8.4764185,0,44.864178,-93.34748,280.17014
108.992,97.92873,5.020117,1508.75,28.583075,3.5294118,98.6,0,102.2,0.44542623,-12.038133,4.0019484,13.931191,0.51156723,8.639812,0,44.864193,-93.347626,272.85242
109.995,97.92873,5.020117,1508.75,28.583075,3.5294118,98.6,0,102.2,0.44542623,-12.038133,4.0019484,13.931191,0.51156723,8.639812,0,44.864212,-93.347755,272.00278
110.994,94.39214,4.724816,1451.25,25.47622,3.5294118,98.6,0,102.2,0.41125178,-12.18317,3.7005968,13.39256,0.52185935,8.796746,0,44.864216,-93.34787,272.44586
112.013,81.26853,5.020117,1299,20.505249,3.137255,98.6,0,102.2,0.4203022,-12.038133,3.4595156,13.987504,0.53207517,8.949957,0,44.86422,-93.34796,272.44586
113.003,81.26853,5.020117,1299,20.505249,3.137255,98.6,0,102.2,0.4203022,-12.038133,3.4595156,13.987504,0.53207517,8.949957,0,44.86422,-93.348045,272.63354
113.990,6.0208035,28.053595,2957,14.291537,68.62745,98.6,21.17647,102.2,2.1023417,-0.7251887,32.545967,57.80693,0.537762,8.902886,0,44.86421,-93.34815,272.63354
115.002,6.0208035,28.053595,2957,14.291537,68.62745,98.6,21.17647,102.2,2.1023417,-0.7251887,32.545967,57.80693,0.537762,8.902886,0,44.864212,-93.3483,272.1743
116.000,2.0644953,50.20117,2831.25,19.262506,39.215687,98.6,15.294118,102.2,8.563884,10.152641,127.929756,237.31621,0.54643,8.456832,0,44.86422,-93.34847,272.47223
117.009,2.0644953,50.20117,2831.25,19.262506,39.215687,98.6,15.294118,102.2,8.563884,10.152641,127.929756,237.31621,0.54643,8.456832,0,44.864223,-93.348656,272.47223
117.996,4.3305116,50.79177,2526,30.44719,68.62745,96.8,48.235294,102.2,8.296162,10.442718,96.4008,200.43861,0.5654954,8.182057,0,44.86423,-93.34888,272.37808
119.007,2.8990798,66.14742,3912.5,36.039528,68.62745,96.8,46.666668,102.2,9.6394415,17.98468,170.44788,228.80806,0.5815471,7.8142877,0,44.864235,-93.34911,271.31546
119.996,2.8990798,66.14742,3912.5,36.039528,68.62745,96.8,46.666668,102.2,9.6394415,17.98468,170.44788,228.80806,0.5815471,7.8142877,0,44.864235,-93.34937,270.5214
