Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Ignition timing advance for #1 cylinder (deg), Mass air flow rate (lb/min), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.251,0,0,0,0,0,2.481948,0,0,0,0,22.842768,0,0,0,0,0,0
0.501,0,20.67107,1611.5,0,-12.5,2.497824,87.8,0,96.8,-4.351132,22.942911,74.774284,0,0,0,0,0
0.751,0,20.67107,1611.5,0,-12.5,2.497824,87.8,0,96.8,-4.351132,22.942911,74.774284,0,0,0,0,0
1.001,0,20.67107,1611.5,0,-12.5,2.497824,87.8,0,96.8,-4.351132,22.942911,74.774284,0,0,44.86053,-93.34179,823.55524
1.251,0,21.261671,1576.25,0,-13,2.497824,87.8,0,96.8,-4.0610566,22.942911,76.44648,0,0,44.86053,-93.34179,823.55524
1.502,0,21.261671,1576.25,0,-13,2.497824,87.8,0,96.8,-4.0610566,22.942911,76.44648,0,0,44.86053,-93.34179,823.55524
1.752,0,21.261671,1607,0,-13.5,2.610279,87.8,0,96.8,-4.0610566,24.023869,78.51654,0,0,44.86053,-93.34179,823.55524
2.002,0,21.852274,1580.75,0,-13.5,2.529576,87.8,0,96.8,-3.770981,23.281115,77.352554,0,0,44.860485,-93.34185,823.5126
2.252,0,21.261671,1606.5,0,-13,2.497824,87.8,0,96.8,-4.0610566,22.988882,75.1573,0,0,44.860485,-93.34185,823.5126
2.500,0,21.261671,1608.5,0,-13,2.610279,87.8,0,96.8,-4.0610566,24.023869,78.44332,0,0,44.860485,-93.34185,823.5126
2.751,0,21.556973,1607,0,-13.5,2.577204,87.8,0,96.8,-3.916019,23.719461,77.52165,0,0,44.860485,-93.34185,823.5126
3.001,0,21.852274,1566,0,-14,2.43432,87.8,0,96.8,-3.770981,22.404419,75.14083,0,0,44.86049,-93.34181,823.80273
3.251,0,21.261671,1609.75,0,-13.5,2.561328,87.8,0,96.8,-4.0610566,23.573345,76.91249,0,0,44.86049,-93.34181,823.80273
3.502,0,22.147575,1586.5,0,-14,2.610279,87.8,0,96.8,-3.6259434,24.023869,79.53109,0,0,44.86049,-93.34181,823.80273
3.752,0,21.261671,1577.75,0,-13.5,2.481948,87.8,0,96.8,-4.0610566,22.842768,76.040436,0,0,44.86049,-93.34181,823.80273
