Time (sec), Instant fuel economy (MPG), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Barometric pressure (inHg), Catalyst temperature (Bank 1 Sensor 1) (°F), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Engine oil temperature (°F), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel (gal), Trip Fuel Economy (MPG), Average Trip CO2 Rate (lb/mile), Latitude (deg), Longitude (deg), Bearing (deg)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0581,-92.95468,-1
1.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0581,-92.95469,-1
2.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0581,-92.95469,-1
2.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.058098,-92.95469,-1
4.003,0,20.784313,87.8,7.973127,1603.75,0,29.234798,655.7,5.882353,73.4,0,82.4,77,0,-10.587755,9.004384,29.488413,0,0.00013484455,0,0,45.058094,-92.9547,-1
5.001,0,20.784313,87.8,7.973127,1603.75,0,29.234798,655.7,5.882353,73.4,0,82.4,77,0,-10.587755,9.004384,29.488413,0,0.00013484455,0,0,45.05809,-92.9547,-1
16.012,0,46.27451,87.8,15.060351,1015.75,0,29.234798,684.32,5.882353,73.4,0,82.4,77,1.3530039,-6.9618115,12.668818,65.50634,0,0.0031915242,0,0,45.05809,-92.9547,-1
17.029,0,37.64706,87.8,13.583846,1011.75,0,29.234798,685.76,5.882353,73.4,0,84.2,77,0.7960039,-7.6870003,9.077816,47.124012,0,0.0033631504,0,0,45.058067,-92.95466,-1
18.000,0,37.2549,87.8,13.288545,1020.25,0,29.234798,687.38,5.882353,73.4,0,84.2,77,0.775633,-7.832038,9.176501,47.239426,0,0.0036026703,0,0,45.05808,-92.954666,-1
19.003,0.92116183,37.64706,87.8,13.583846,1018,0.6213712,29.234798,689.18,5.882353,73.4,0,84.2,77,0.7995304,-7.6870003,9.248852,47.71711,0.00016207667,0.0037717943,0.042970706,456.02774,45.058075,-92.954666,-1
20.004,1.8916496,41.17647,87.8,13.583846,997.25,1.2427424,29.234798,691.16,5.882353,73.4,0,84.2,77,0.7977671,-7.6870003,9.007683,47.439827,0.000493522,0.0039507197,0.12491951,156.86769,45.05808,-92.95467,290.87228
20.993,1.8916496,41.17647,87.8,13.583846,997.25,1.2427424,29.234798,691.16,5.882353,73.4,0,84.2,77,0.7977671,-7.6870003,9.007683,47.439827,0.000493522,0.0039507197,0.12491951,156.86769,45.058094,-92.9547,266.7313
22.005,1.8912454,40.784313,87.8,13.288545,971.75,1.2427424,29.234798,695.3,6.27451,73.4,0,84.2,77,0.7645169,-7.832038,9.009608,48.695118,0.0007823204,0.0040983614,0.19088615,102.65719,45.058094,-92.9547,270.90482
23.000,0.8572574,51.764706,87.8,15.946254,952.75,0.6213712,29.234798,697.82,6.27451,73.4,0,84.2,77,0.89396155,-6.526698,9.938309,54.78575,0.0011842684,0.004565184,0.25941306,75.539116,45.058098,-92.9547,-1
24.002,0.85759777,45.490196,87.8,15.355652,995,0.6213712,29.234798,700.52,6.27451,73.4,0,84.2,77,0.8440202,-6.816774,9.934365,52.438606,0.001326469,0.0047404384,0.2798199,70.03017,45.0581,-92.9547,-1
25.013,0.83433545,46.27451,87.8,15.650953,1000.75,0.6213712,29.234798,703.22,6.27451,73.4,0,84.2,77,0.8983995,-6.671736,10.211348,53.59096,0.0015001883,0.0049451245,0.30336714,64.59445,45.058105,-92.954704,-1
26.008,1.6686709,45.882355,87.8,15.060351,996.25,1.2427424,29.234798,706.1,6.27451,73.4,0,84.2,77,0.8694934,-6.9618115,10.211348,53.83303,0.0018043962,0.005122565,0.35224465,55.63132,45.058113,-92.95471,-1
27.002,0.85762393,45.882355,87.8,15.060351,991.25,0.6213712,29.234798,709.16,6.27451,73.4,0,84.2,77,0.86558366,-6.9618115,9.934062,52.63538,0.0019607435,0.005304286,0.3696527,53.01148,45.058105,-92.954704,-1
28.001,1.698755,46.27451,95,15.060351,991.75,1.2427424,29.234798,710.6,6.27451,73.4,0,86,77,0.86123943,-6.9618115,10.03051,53.119606,0.0022329036,0.005474858,0.40784687,48.047043,45.058098,-92.95471,-1
29.002,1.7150908,45.098038,95,15.355652,987,1.2427424,29.234798,715.1,6.27451,73.4,0,86,77,0.8785694,-6.816774,9.934972,52.866867,0.0027135469,0.005743517,0.47245386,41.47672,45.05809,-92.95472,240.44666
29.996,1.7297856,45.490196,95,15.060351,981.5,1.2427424,29.234798,718.16,6.27451,73.4,0,86,77,0.85754687,-6.9618115,9.850573,52.711487,0.0029583476,0.005896962,0.50167316,39.06096,45.05809,-92.95473,260.83795
31.001,3.0026236,31.764706,95,13.288545,1050.5,1.8641136,29.234798,719.78,5.490196,73.4,0,86,77,0.75244254,-7.832038,8.512245,42.558094,0.0034403345,0.006061324,0.567588,34.524754,45.058083,-92.95474,268.6158
32.004,8.408578,37.2549,95,11.81204,931.5,4.3495984,29.234798,725.36,5.098039,73.4,0,86,77,0.65077955,-8.557226,7.092499,39.989914,0.005276672,0.0063281357,0.8338431,23.500626,45.058083,-92.954765,263.0816
33.001,9.611552,32.941177,95,11.81204,943.5,4.9709697,29.234798,727.7,5.098039,73.4,0,86,77,0.63476557,-8.557226,7.091208,39.474113,0.0063674385,0.0064460714,0.9878014,19.83783,45.05808,-92.9548,256.72736
34.000,7.8532095,38.431374,95,12.697943,932,4.3495984,29.234798,728.96,5.098039,73.4,0,86,77,0.69116366,-8.122113,7.5940704,42.794975,0.007389828,0.006568707,1.1250049,17.418444,45.058083,-92.95483,276.93484
34.996,7.8532095,38.431374,95,12.697943,932,4.3495984,29.234798,728.96,5.098039,73.4,0,86,77,0.69116366,-8.122113,7.5940704,42.794975,0.007389828,0.006568707,1.1250049,17.418444,45.058105,-92.95485,301.94894
36.008,8.127416,47.45098,95,14.76505,1051.5,4.3495984,29.234798,732.38,4.7058825,73.4,13.333333,86,77,0.7938829,-7.106849,7.3378587,36.651703,0.008415178,0.0066960915,1.25673,15.592718,45.05811,-92.95486,318.4506
36.994,0,53.333332,95,21.852274,1413,0,29.234798,735.8,47.058823,73.4,12.156863,86,77,1.325597,-3.6259434,16.938124,62.95891,0.008415178,0.0073100124,1.1511853,17.022312,45.0581,-92.95486,-1
38.008,1.3736509,44.313725,95,24.805285,2029.25,3.7282271,29.234798,737.24,15.686275,73.4,8.627451,86,77,2.0220504,-2.175566,37.213337,96.31571,0.009279204,0.007958294,1.165979,16.806335,45.058067,-92.95485,172.06155
38.994,3.7896583,38.039215,95,22.738176,2362.5,9.941939,29.234798,742.1,14.90196,73.4,10.196078,86,77,2.661931,-3.1908302,35.970272,79.96611,0.012494938,0.008789841,1.4215204,13.785125,45.058014,-92.95485,178.53812
40.014,3.7589588,49.80392,95,29.234798,2412.5,13.670166,29.234798,743.9,21.960785,73.4,10.196078,86,77,3.984534,0,49.863052,108.55395,0.01602362,0.009727194,1.6473013,11.89572,45.057938,-92.95486,181.15622
41.028,6.597936,36.862743,95,22.147575,2270.75,19.262506,29.234798,752,10.588235,73.4,5.098039,86,77,3.2904189,-3.4809058,40.02924,92.58531,0.024833392,0.011520531,2.155577,9.090761,45.057854,-92.954865,182.80482
42.010,17.200853,22.745098,95,11.81204,1726.25,21.126621,29.234798,755.96,6.6666665,73.4,3.5294118,86,77,1.5473902,-8.557226,16.84041,51.236927,0.029351195,0.011780249,2.4915597,7.8648868,45.057735,-92.95487,181.03883
43.002,22.32405,34.117645,95,12.993244,1576.25,21.126621,29.234798,759.38,7.0588236,73.4,0,86,77,1.293978,-7.9770756,12.975667,43.235317,0.035391312,0.012055652,2.9356613,6.675101,45.057644,-92.95486,180.56358
44.003,27.126232,27.450981,95,11.81204,1375,21.126621,29.234798,762.26,6.27451,73.4,0,86,77,1.074127,-8.557226,10.678573,40.789143,0.0412115,0.012271421,3.3583317,5.834991,45.057568,-92.954865,180.6459
45.006,28.548431,27.843138,95,11.81204,1327,20.505249,29.234798,763.7,6.27451,73.4,0,86,77,0.93698627,-8.557226,9.848168,38.977913,0.046138685,0.012444698,3.7074974,5.285462,45.057487,-92.954865,180.6459
46.000,27.560364,25.09804,95,10.926137,1422,19.262506,29.234798,765.86,6.27451,73.4,0,86,77,0.8364561,-8.99234,9.582979,35.394436,0.049982026,0.012578594,3.9735782,4.931534,45.057415,-92.95487,180.6459
47.000,27.82367,20.784313,100.4,8.85903,1356.25,18.019764,29.234798,767.84,5.490196,73.4,0,89.6,77,0.7267606,-10.007604,8.879886,34.387585,0.053738866,0.012737472,4.218959,4.6447086,45.057354,-92.95487,180.6459
47.998,22.573427,21.17647,100.4,8.85903,1295.5,13.670166,29.234798,769.28,5.490196,73.4,0,89.6,77,0.6931569,-10.007604,8.303266,33.66244,0.058973864,0.012962894,4.5494366,4.30731,45.057312,-92.95487,180.6459
49.038,22.573427,21.17647,100.4,8.85903,1295.5,13.670166,29.234798,769.28,5.490196,73.4,0,89.6,77,0.6931569,-10.007604,8.303266,33.66244,0.058973864,0.012962894,4.5494366,4.30731,45.057274,-92.95487,180.31242
50.014,22.573427,21.17647,100.4,8.85903,1295.5,13.670166,29.234798,769.28,5.490196,73.4,0,89.6,77,0.6931569,-10.007604,8.303266,33.66244,0.058973864,0.012962894,4.5494366,4.30731,45.057262,-92.95488,180.31242
50.993,22.573427,21.17647,100.4,8.85903,1295.5,13.670166,29.234798,769.28,5.490196,73.4,0,89.6,77,0.6931569,-10.007604,8.303266,33.66244,0.058973864,0.012962894,4.5494366,4.30731,45.057247,-92.95487,180.31242
51.995,17.23878,27.843138,100.4,10.630836,1055.5,9.941939,29.234798,772.16,18.431372,73.4,9.411765,89.6,77,0.7945303,-9.137378,7.907464,39.34713,0.06235878,0.013220112,4.7169633,4.1543326,45.057205,-92.95489,180.31242
52.993,17.23878,27.843138,100.4,10.630836,1055.5,9.941939,29.234798,772.16,18.431372,73.4,9.411765,89.6,77,0.7945303,-9.137378,7.907464,39.34713,0.06235878,0.013220112,4.7169633,4.1543326,45.057213,-92.955055,216.34497
53.999,3.688058,32.941177,100.4,20.966372,2287,8.699197,29.234798,777.38,17.254902,73.4,9.803922,89.6,77,1.2766949,-4.0610566,32.341045,74.27146,0.07019844,0.015145754,4.634859,4.2279243,45.057213,-92.95511,245.84294
55.000,3.688058,32.941177,100.4,20.966372,2287,8.699197,29.234798,777.38,17.254902,73.4,9.803922,89.6,77,1.2766949,-4.0610566,32.341045,74.27146,0.07019844,0.015145754,4.634859,4.2279243,45.05713,-92.95517,261.7778
56.008,3.663291,56.47059,100.4,33.369015,2827,18.019764,29.234798,781.7,18.431372,73.4,10.980392,89.6,77,4.40266,2.0305283,67.44509,125.30218,0.08505358,0.01923083,4.422772,4.4306684,45.05713,-92.95531,268.08286
56.994,7.3659606,34.509804,100.4,23.91938,2482.5,23.612104,29.234798,785.48,11.372549,73.4,3.137255,89.6,77,3.9010487,-2.6106794,43.95193,92.987114,0.092698604,0.020105867,4.610525,4.2502394,45.057133,-92.95547,269.9161
58.005,36.263836,25.882353,100.4,10.630836,1330.75,26.718962,29.234798,791.6,5.882353,73.4,0,89.6,77,1.04537,-9.137378,10.102259,39.870903,0.10576163,0.020512493,5.155962,3.8006167,45.057133,-92.95563,270.08606
59.009,37.339848,26.27451,100.4,11.221438,1443,26.09759,29.234798,793.94,5.882353,73.4,2.745098,89.6,77,0.8614907,-8.847302,9.582979,34.87934,0.110797785,0.020646622,5.3663883,3.6515872,45.057133,-92.95578,269.1335
60.008,33.84855,25.490196,100.4,10.926137,1469.25,26.09759,29.234798,795.92,9.019608,73.4,4.3137255,89.6,77,0.90957516,-8.99234,10.571412,37.78952,0.1194834,0.020914245,5.7130146,3.430034,45.057133,-92.95593,269.37225
61.008,24.39698,25.882353,100.4,13.288545,1613.25,25.47622,29.234798,796.82,6.27451,73.4,0,91.4,75.2,1.126364,-7.832038,14.317643,46.612663,0.1254848,0.021146728,5.9340057,3.3022945,45.05713,-92.95608,269.5209
62.001,24.39698,25.882353,100.4,13.288545,1613.25,25.47622,29.234798,796.82,6.27451,73.4,0,91.4,75.2,1.126364,-7.832038,14.317643,46.612663,0.1254848,0.021146728,5.9340057,3.3022945,45.05713,-92.95622,269.70135
62.991,24.39698,25.882353,100.4,13.288545,1613.25,25.47622,29.234798,796.82,6.27451,73.4,0,91.4,75.2,1.126364,-7.832038,14.317643,46.612663,0.1254848,0.021146728,5.9340057,3.3022945,45.05713,-92.95636,269.5541
63.999,35.515686,26.27451,100.4,10.630836,1513.25,25.47622,29.234798,799.7,7.8431373,73.4,0,91.4,75.2,0.98940635,-9.137378,9.835295,34.135853,0.13342516,0.02137417,6.242355,3.1391735,45.05713,-92.956505,269.39615
64.999,35.515686,26.27451,100.4,10.630836,1513.25,25.47622,29.234798,799.7,7.8431373,73.4,0,91.4,75.2,0.98940635,-9.137378,9.835295,34.135853,0.13342516,0.02137417,6.242355,3.1391735,45.057125,-92.95664,269.13715
66.023,40.445778,18.82353,100.4,8.563729,1128.25,24.854847,29.234798,802.04,10.588235,73.4,0,91.4,75.2,0.74761707,-10.152641,8.425789,39.222862,0.14835066,0.02177936,6.8115253,2.8768644,45.057125,-92.95678,269.28625
67.002,40.445778,18.82353,100.4,8.563729,1128.25,24.854847,29.234798,802.04,10.588235,73.4,0,91.4,75.2,0.74761707,-10.152641,8.425789,39.222862,0.14835066,0.02177936,6.8115253,2.8768644,45.057125,-92.95691,269.28625
67.996,42.661057,18.431372,100.4,7.973127,1091.75,22.990734,29.234798,803.3,4.7058825,73.4,0,91.4,75.2,0.51896685,-10.442718,7.3891397,35.547146,0.16620508,0.022201687,7.4861465,2.617613,45.057125,-92.95704,269.28625
68.994,42.661057,18.431372,100.4,7.973127,1091.75,22.990734,29.234798,803.3,4.7058825,73.4,0,91.4,75.2,0.51896685,-10.442718,7.3891397,35.547146,0.16620508,0.022201687,7.4861465,2.617613,45.05713,-92.95717,269.28625
69.993,42.661057,18.431372,100.4,7.973127,1091.75,22.990734,29.234798,803.3,4.7058825,73.4,0,91.4,75.2,0.51896685,-10.442718,7.3891397,35.547146,0.16620508,0.022201687,7.4861465,2.617613,45.057125,-92.9573,269.28625
