Time (sec), Instant fuel economy (MPG), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Barometric pressure (inHg), Catalyst temperature (Bank 1 Sensor 1) (°F), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Engine oil temperature (°F), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel (gal), Trip Fuel Economy (MPG), Average Trip CO2 Rate (lb/mile), Latitude (deg), Longitude (deg), Bearing (deg)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.860546,-93.34197,-1
1.009,0,43.92157,105.8,18.013361,1579.5,0,29.5301,719.96,9.803922,91.4,0,95,98.6,0,-5.6564717,18.513153,61.559467,0,0.00011609045,0,0,44.860546,-93.34197,-1
2.012,0,59.60784,105.8,22.442877,994,0,29.5301,725,10.588235,91.4,0,95,98.6,2.0450492,-3.4809058,17.512117,92.5308,0,0.0005971895,0,0,44.860546,-93.34197,-1
3.001,1.7759867,50.980392,105.8,20.67107,1107.25,1.8641136,29.5301,730.04,13.333333,91.4,6.27451,95,98.6,1.1853728,-4.351132,14.391475,68.264305,0.00048055343,0.00087137945,0.5514858,35.5328,44.860542,-93.34197,172.96875
4.003,2.8664792,56.862743,105.8,24.509983,1338.5,3.7282271,29.5301,735.08,13.725491,91.4,5.098039,95,98.6,1.5656487,-2.4656415,17.833075,69.97484,0.0013885318,0.0011794249,1.1772956,16.644789,44.860546,-93.341965,172.96875
5.010,5.750575,36.07843,105.8,19.194565,1402.25,4.9709697,29.5301,740.12,15.294118,91.4,0,95,98.6,1.4821845,-5.0763206,11.852296,44.392654,0.0025366943,0.0013803152,1.8377647,10.662864,44.860523,-93.34199,211.28906
6.022,14.337879,15.294118,105.8,10.630836,1309.25,6.835083,29.5301,744.44,5.882353,91.4,3.137255,95,98.6,0.8600001,-9.282415,6.5362935,26.220623,0.0045926156,0.0015258485,3.0098765,6.5105114,44.860477,-93.34204,222.18748
6.998,10.487034,42.7451,105.8,16.536856,1375.75,6.835083,29.5301,746.42,18.039215,91.4,7.8431373,95,98.6,1.2490537,-6.3816605,8.936424,34.116016,0.006218058,0.001675048,3.712167,5.278813,44.86046,-93.34207,223.59372
8.000,3.677715,25.09804,105.8,20.966372,1726,6.835083,29.5301,750.56,8.627451,91.4,6.27451,95,98.6,1.6640577,-4.2060943,25.482286,77.541046,0.00782041,0.0021337527,3.6650963,5.346608,44.860447,-93.34212,238.00778
9.001,5.6730237,41.960785,105.8,15.355652,1742.75,8.699197,29.5301,754.34,7.45098,91.4,5.098039,95,98.6,1.5290253,-6.9618115,21.025059,63.363068,0.010193564,0.0025605909,3.980942,4.922412,44.860424,-93.34217,239.06247
10.005,14.070028,18.039215,105.8,10.630836,1475.75,9.320568,29.5301,757.76,11.764706,91.4,8.627451,95,98.6,1.0688287,-9.282415,9.082807,32.325207,0.012942372,0.0027503588,4.7057033,4.1642733,44.860413,-93.342224,245.3906
