Time (sec), Instant fuel economy (MPG), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Barometric pressure (inHg), Catalyst temperature (Bank 1 Sensor 1) (°F), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Engine oil temperature (°F), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel (gal), Trip Fuel Economy (MPG), Average Trip CO2 Rate (lb/mile), Latitude (deg), Longitude (deg), Bearing (deg)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8046925,0,0,2.8745424E-05,0,0,45.0362,-92.98511,-1
0.980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8046925,0,0,2.8745424E-05,0,0,45.0362,-92.98511,-1
1.982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8046925,0,0,2.8745424E-05,0,0,45.036198,-92.9851,-1
3.010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8046925,0,0,2.8745424E-05,0,0,45.036194,-92.9851,-1
4.000,0,27.843138,167,9.154331,707.25,0,29.5301,432.14,3.137255,68,0,156.2,73.4,0.37786952,-10.007604,3.59936,26.729227,0,0.00032320095,0,0,45.03619,-92.9851,-1
4.997,0,28.235294,167,8.85903,717.75,0,29.5301,434.84,3.137255,68,0,156.2,73.4,0.36146373,-10.152641,3.5752032,26.161438,0,0.00036690093,0,0,45.036186,-92.98509,-1
5.989,0,27.058823,167,8.563729,703.5,0,29.5301,442.76,3.137255,68,0,156.2,73.4,0.3539849,-10.297679,3.5752032,26.69136,0,0.00045431944,0,0,45.036186,-92.98509,-1
7.010,0,27.058823,167,8.563729,703.5,0,29.5301,442.76,3.137255,68,0,156.2,73.4,0.3539849,-10.297679,3.5752032,26.69136,0,0.00045431944,0,0,45.03618,-92.9851,-1
7.993,0,27.058823,167,8.563729,709.75,0,29.5301,450.5,3.137255,68,0,156.2,73.4,0.34756228,-10.297679,3.4302626,25.383764,0,0.00053045014,0,0,45.03618,-92.98511,-1
9.005,0,26.666666,167,8.563729,703.75,0,29.5301,457.88,3.137255,68,0,156.2,73.4,0.35065007,-10.297679,3.538968,26.411453,0,0.00064476806,0,0,45.03618,-92.9851,-1
9.984,0,29.411764,167,8.85903,697,0,29.5301,460.4,3.9215686,68,0,156.2,73.4,0.35967496,-10.152641,3.4302626,25.8481,0,0.0007137211,0,0,45.036175,-92.9851,-1
11.007,0,33.333332,167,10.040234,793.75,0,29.5301,467.96,3.9215686,68,0,156.2,73.4,0.45759,-9.572491,4.72265,31.248999,0,0.0008603259,0,0,45.036175,-92.9851,-1
11.996,0,33.333332,167,10.040234,793.75,0,29.5301,467.96,3.9215686,68,0,156.2,73.4,0.45759,-9.572491,4.72265,31.248999,0,0.0008603259,0,0,45.03618,-92.98511,-1
