Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Mass air flow rate (lb/min), Barometric pressure (inHg), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Intake air temperature bank 1  sensor 2 (°F), Commanded fuel rail pressure A (inHg), Fuel rail pressure A (inHg), Boost (psi), Acceleration (ft/s²), Acceleration (Avg) (ft/s²), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
3.702,9.551215,8.563729,651,2.4854848,0.391608,29.234798,78.8,0,107.6,136.4,891.809,750.0645,-10.152641,-5.043491,-6.5642557,3.5680022,28.785793,0.009452121,34.269367,45.056973,-92.95842,957.743
3.802,9.551215,8.563729,651,2.4854848,0.391608,29.234798,78.8,0,107.6,136.4,891.809,750.0645,-10.152641,-5.043491,-6.5642557,3.5680022,28.785793,0.009452121,34.269367,45.056973,-92.95842,957.743
3.902,8.51634,9.154331,615.5,2.4854848,0.394254,29.234798,78.8,0,107.6,136.4,891.809,785.5007,-9.862566,-2.5229652,-5.5548983,4.001573,34.14576,0.009577032,32.96905,45.056973,-92.95842,957.743
4.002,8.51634,9.154331,615.5,2.4854848,0.394254,29.234798,78.8,0,107.6,136.4,891.809,785.5007,-9.862566,-2.5229652,-5.5548983,4.001573,34.14576,0.009577032,32.96905,45.056973,-92.95842,957.743
4.101,7.9557037,9.449632,593.75,2.4854848,0.422037,29.234798,78.8,9.019608,107.6,136.4,1432.2098,942.0102,-9.717528,1.0927392E-15,-5.0491643,4.283563,37.89096,0.0097015295,31.69043,45.056973,-92.95842,957.743
4.202,7.9557037,9.449632,593.75,2.4854848,0.422037,29.234798,78.8,9.019608,107.6,136.4,1432.2098,942.0102,-9.717528,1.0927392E-15,-5.0491643,4.283563,37.89096,0.0097015295,31.69043,45.056973,-92.95842,957.743
4.302,2.1580522,19.489866,724.5,2.4854848,1.555848,29.234798,78.8,10.196078,107.6,136.4,1836.7722,1901.7384,-4.7862453,1.0927392E-15,-4.545661,15.791442,114.4768,0.009827006,26.97669,45.056965,-92.958435,957.3868
4.402,2.1580522,19.489866,724.5,2.4854848,1.555848,29.234798,78.8,10.196078,107.6,136.4,1836.7722,1901.7384,-4.7862453,1.0927392E-15,-4.545661,15.791442,114.4768,0.009827006,26.97669,45.056965,-92.958435,957.3868
4.502,0.87727445,25.986488,1061.75,2.4854848,3.835377,29.234798,78.8,11.764706,107.6,136.4,3162.6738,2799.4534,-1.5954151,1.0927392E-15,-4.010495,38.846176,192.1587,0.009951393,19.664186,45.056965,-92.958435,957.3868
4.602,1.7184106,27.758293,1423.75,3.1068559,2.43432,29.234798,78.8,11.764706,107.6,136.4,3268.9822,3174.4858,-0.7251887,2.6729233,-2.4656096,24.789446,91.44651,0.010098518,17.067434,45.056965,-92.958435,957.3868
4.702,1.7184106,27.758293,1423.75,3.1068559,2.43432,29.234798,78.8,11.764706,107.6,136.4,3268.9822,3174.4858,-0.7251887,2.6729233,-2.4656096,24.789446,91.44651,0.010098518,17.067434,45.056965,-92.958435,957.3868
4.802,1.4803722,27.462994,1718.75,3.7282271,3.392172,29.234798,78.8,11.764706,107.6,138.2,3268.9822,3165.6267,-0.87022644,5.050697,-1.4837226,34.530598,105.51773,0.010296982,14.188113,45.056965,-92.958435,957.3868
4.902,1.4803722,27.462994,1718.75,3.7282271,3.392172,29.234798,78.8,11.764706,107.6,138.2,3268.9822,3165.6267,-0.87022644,5.050697,-1.4837226,34.530598,105.51773,0.010296982,14.188113,45.056965,-92.958435,957.3868
5.002,1.6309751,27.462994,2037,4.9709697,4.107915,29.234798,78.8,11.372549,107.6,138.2,3378.2434,3310.3242,-0.87022644,7.761307,0.55520445,41.78943,107.74806,0.0105307335,12.117287,45.056965,-92.958435,957.3868
5.103,1.6309751,27.462994,2037,4.9709697,4.107915,29.234798,78.8,11.372549,107.6,138.2,3378.2434,3310.3242,-0.87022644,7.761307,0.55520445,41.78943,107.74806,0.0105307335,12.117287,45.056965,-92.958435,957.3868
5.202,1.9089607,27.462994,2140,6.2137117,4.400298,29.234798,78.8,11.372549,107.6,138.2,3378.2434,3493.411,-0.87022644,10.442106,2.0898626,44.62999,109.53353,0.010841692,10.505909,45.056965,-92.958435,957.3868
5.302,1.9089607,27.462994,2140,6.2137117,4.400298,29.234798,78.8,11.372549,107.6,138.2,3378.2434,3493.411,-0.87022644,10.442106,2.0898626,44.62999,109.53353,0.010841692,10.505909,45.05697,-92.95843,957.2581
5.401,2.2274094,26.87239,2214.5,7.4564543,4.581549,29.234798,78.8,11.372549,107.6,138.2,3487.505,3552.471,-1.1603019,10.073375,3.596928,45.899185,108.85876,0.0112181,9.341019,45.05697,-92.95843,957.2581
5.502,2.4160695,26.87239,2282.5,8.077826,4.631823,29.234798,78.8,11.372549,107.6,138.2,3593.8132,3717.8396,-1.1603019,7.522832,4.603127,45.841385,105.48264,0.011625772,8.487922,45.05697,-92.95843,957.2581
5.602,2.4160695,26.87239,2282.5,8.077826,4.631823,29.234798,78.8,11.372549,107.6,138.2,3593.8132,3717.8396,-1.1603019,7.522832,4.603127,45.841385,105.48264,0.011625772,8.487922,45.05697,-92.95843,957.2581
5.701,3.059902,26.28179,2354.25,9.941939,4.555089,29.234798,78.8,11.372549,107.6,138.2,3487.505,3596.766,-1.4503773,10.05114,6.111749,44.54882,99.384285,0.012126259,7.9088745,45.05697,-92.95843,957.2581
5.801,3.059902,26.28179,2354.25,9.941939,4.555089,29.234798,78.8,11.372549,107.6,138.2,3487.505,3596.766,-1.4503773,10.05114,6.111749,44.54882,99.384285,0.012126259,7.9088745,45.05697,-92.95843,957.2581
5.901,3.272027,26.57709,2393.25,10.563311,4.608009,29.234798,78.8,10.980392,107.6,138.2,3487.505,3552.471,-1.3053397,10.063308,6.6157885,44.264523,97.14083,0.012656796,7.4654174,45.05697,-92.95843,957.2581
6.002,3.272027,26.57709,2393.25,10.563311,4.608009,29.234798,78.8,10.980392,107.6,138.2,3487.505,3552.471,-1.3053397,10.063308,6.6157885,44.264523,97.14083,0.012656796,7.4654174,45.05697,-92.95843,957.2581
6.101,3.4873862,26.28179,2438.5,11.184682,4.631823,29.234798,78.8,10.588235,107.6,138.2,3378.2434,3614.4841,-1.4503773,5.045316,7.1208124,43.974026,94.71255,0.013217445,7.1208725,45.05697,-92.95843,957.2581
6.201,3.4873862,26.28179,2438.5,11.184682,4.631823,29.234798,78.8,10.588235,107.6,138.2,3378.2434,3614.4841,-1.4503773,5.045316,7.1208124,43.974026,94.71255,0.013217445,7.1208725,45.05697,-92.95843,957.2581
6.302,4.008755,25.395885,2441.25,12.4274235,4.529952,29.234798,78.8,10.196078,107.6,138.2,3378.2434,3478.6458,-1.8854905,7.5776,8.131309,42.50541,91.44627,0.013840114,6.880554,45.05696,-92.95846,958.12396
6.402,5.094295,23.033478,2399.25,13.048795,3.786426,29.234798,78.8,9.019608,107.6,138.2,3162.6738,3345.7603,-3.0457926,7.578595,8.101947,35.12036,76.88074,0.014493948,6.773415,45.05696,-92.95846,958.12396
6.502,5.094295,23.033478,2399.25,13.048795,3.786426,29.234798,78.8,9.019608,107.6,138.2,3162.6738,3345.7603,-3.0457926,7.578595,8.101947,35.12036,76.88074,0.014493948,6.773415,45.05696,-92.95846,958.12396
6.602,6.318102,22.147575,2256.75,14.291537,3.392172,29.234798,78.8,7.8431373,104,125.6,3162.6738,3224.687,-3.4809058,7.578562,8.636882,31.014513,72.17979,0.01521002,6.750512,45.05696,-92.95846,958.12396
6.701,6.318102,22.147575,2256.75,14.291537,3.392172,29.234798,78.8,7.8431373,104,125.6,3162.6738,3224.687,-3.4809058,7.578562,8.636882,31.014513,72.17979,0.01521002,6.750512,45.05696,-92.95846,958.12396
6.800,6.099517,22.442877,2118,14.912909,3.66471,29.234798,78.8,7.45098,104,125.6,3162.6738,3230.593,-3.335868,7.5892596,8.067537,33.522743,83.12807,0.015954109,6.7170763,45.05696,-92.95846,958.12396
6.902,6.099517,22.442877,2118,14.912909,3.66471,29.234798,78.8,7.45098,104,125.6,3162.6738,3230.593,-3.335868,7.5892596,8.067537,33.522743,83.12807,0.015954109,6.7170763,45.05696,-92.95846,958.12396
7.002,6.2938294,24.214682,2013,14.912909,3.549609,29.234798,78.8,7.0588236,104,125.6,3162.6738,3236.499,-2.4656415,2.5368114,7.055823,32.48778,84.76379,0.01669597,6.697065,45.05696,-92.95846,958.12396
7.102,6.2938294,24.214682,2013,14.912909,3.549609,29.234798,78.8,7.0588236,104,125.6,3162.6738,3236.499,-2.4656415,2.5368114,7.055823,32.48778,84.76379,0.01669597,6.697065,45.05696,-92.95846,958.12396
7.201,7.183708,25.100586,1888.75,16.155651,3.369681,29.234798,78.8,7.0588236,104,125.6,3162.6738,3127.2375,-2.0305283,5.067132,7.0662885,30.83532,85.74485,0.017503098,6.718051,45.05696,-92.95846,958.12396
7.301,7.720213,24.509983,1795.5,16.155651,3.13551,29.234798,78.8,7.0588236,104,125.6,3162.6738,3109.5195,-2.3206038,5.067132,6.5646825,28.692465,83.92986,0.018305076,6.756477,45.05694,-92.95856,958.40515
7.401,7.720213,24.509983,1795.5,16.155651,3.13551,29.234798,78.8,7.0588236,104,125.6,3162.6738,3109.5195,-2.3206038,5.067132,6.5646825,28.692465,83.92986,0.018305076,6.756477,45.05694,-92.95856,958.40515
7.502,7.8122807,25.100586,1695.5,16.777021,3.217536,29.234798,78.8,7.0588236,104,125.6,3268.9822,3277.841,-2.0305283,2.5235631,5.5607734,29.444874,91.21074,0.019146571,6.796848,45.05694,-92.95856,958.40515
7.602,7.8122807,25.100586,1695.5,16.777021,3.217536,29.234798,78.8,7.0588236,104,125.6,3268.9822,3277.841,-2.0305283,2.5235631,5.5607734,29.444874,91.21074,0.019146571,6.796848,45.05694,-92.95856,958.40515
7.702,7.3903027,27.462994,1628.5,17.398394,3.527118,29.234798,78.8,7.0588236,104,125.6,3593.8132,3325.0894,-0.87022644,5.0728183,5.5665846,32.278965,104.10363,0.020010436,6.8204923,45.05694,-92.95856,958.40515
7.801,7.3903027,27.462994,1628.5,17.398394,3.527118,29.234798,78.8,7.0588236,104,125.6,3593.8132,3325.0894,-0.87022644,5.0728183,5.5665846,32.278965,104.10363,0.020010436,6.8204923,45.05694,-92.95856,958.40515
7.901,8.754285,28.644197,1492.75,17.398394,2.98998,29.234798,78.8,6.27451,104,125.6,3593.8132,3463.8806,-0.29007548,2.5492551,5.061561,27.249662,95.87561,0.020879878,6.883811,45.05694,-92.95856,958.40515
8.002,8.754285,28.644197,1492.75,17.398394,2.98998,29.234798,78.8,6.27451,104,125.6,3593.8132,3463.8806,-0.29007548,2.5492551,5.061561,27.249662,95.87561,0.020879878,6.883811,45.05694,-92.95856,958.40515
8.101,14.938929,26.28179,1445.5,18.019764,1.813833,29.234798,78.8,5.098039,104,125.6,3162.6738,3336.9014,-1.4503773,2.5469654,4.5604577,16.538736,60.092228,0.021775398,7.039921,45.05694,-92.95856,958.40515
8.202,14.938929,26.28179,1445.5,18.019764,1.813833,29.234798,78.8,5.098039,104,125.6,3162.6738,3336.9014,-1.4503773,2.5469654,4.5604577,16.538736,60.092228,0.021775398,7.039921,45.05694,-92.95856,958.40515
8.302,15.461616,23.62408,1414.5,18.641136,1.813833,29.234798,78.8,4.7058825,104,125.6,3053.4124,3115.4255,-2.755717,5.0631194,4.558466,16.530659,61.379208,0.022713145,7.201877,45.056908,-92.95866,957.6204
8.402,16.43246,23.033478,1377,18.641136,1.70667,29.234798,78.8,0,104,122,891.809,2625.2258,-3.0457926,2.516154,3.5479763,15.554011,59.325653,0.023649568,7.365706,45.056908,-92.95866,957.6204
8.501,16.43246,23.033478,1377,18.641136,1.70667,29.234798,78.8,0,104,122,891.809,2625.2258,-3.0457926,2.516154,3.5479763,15.554011,59.325653,0.023649568,7.365706,45.056908,-92.95866,957.6204
8.602,25.478214,18.013361,1332.25,18.641136,1.100736,29.234798,78.8,4.7058825,104,122,1946.0336,1990.3287,-5.511434,1.4569856E-15,3.040614,10.031734,39.547985,0.02457624,7.568584,45.056908,-92.95866,957.6204
8.702,25.478214,18.013361,1332.25,18.641136,1.100736,29.234798,78.8,4.7058825,104,122,1946.0336,1990.3287,-5.511434,1.4569856E-15,3.040614,10.031734,39.547985,0.02457624,7.568584,45.056908,-92.95866,957.6204
8.802,29.593407,15.355652,1290.25,19.262506,0.97902,29.234798,78.8,5.882353,104,122,1836.7722,1913.5505,-6.816774,2.5517507,3.550964,8.924636,36.32877,0.025531726,7.785426,45.056908,-92.95866,957.6204
8.901,29.593407,15.355652,1290.25,19.262506,0.97902,29.234798,78.8,5.882353,104,122,1836.7722,1913.5505,-6.816774,2.5517507,3.550964,8.924636,36.32877,0.025531726,7.785426,45.056908,-92.95866,957.6204
9.001,21.602041,15.060351,1276.5,19.262506,1.341522,29.234798,78.8,5.490196,104,122,1836.7722,1848.5842,-6.9618115,2.5517507,2.5375376,12.226176,50.30416,0.026497273,7.971208,45.056908,-92.95866,957.6204
9.101,16.849592,17.127459,1284.75,19.262506,1.7199,29.234798,78.8,6.6666665,104,122,2241.3345,1934.2216,-5.946547,1.4569856E-15,2.5375376,15.674584,64.07838,0.027450724,8.119814,45.056908,-92.95866,957.6204
9.202,16.849592,17.127459,1284.75,19.262506,1.7199,29.234798,78.8,6.6666665,104,122,2241.3345,1934.2216,-5.946547,1.4569856E-15,2.5375376,15.674584,64.07838,0.027450724,8.119814,45.056908,-92.95866,957.6204
9.304,11.456313,23.91938,1321.5,19.262506,2.529576,29.234798,78.8,6.27451,104,122,3000.258,2834.8896,-2.6106794,1.4569856E-15,2.032825,23.053698,91.62363,0.028465105,8.204968,45.056873,-92.95876,957.20184
9.401,11.456313,23.91938,1321.5,19.262506,2.529576,29.234798,78.8,6.27451,104,122,3000.258,2834.8896,-2.6106794,1.4569856E-15,2.032825,23.053698,91.62363,0.028465105,8.204968,45.056873,-92.95876,957.20184
9.502,13.957449,25.691187,1337.75,19.883879,2.14326,29.234798,78.8,6.27451,104,122,3000.258,2961.8691,-1.7404529,2.2309425,1.9691625,19.532944,76.6879,0.029593244,8.335939,45.056873,-92.95876,957.20184
9.602,13.957449,25.691187,1337.75,19.883879,2.14326,29.234798,78.8,6.27451,104,122,3000.258,2961.8691,-1.7404529,2.2309425,1.9691625,19.532944,76.6879,0.029593244,8.335939,45.056873,-92.95876,957.20184
9.702,14.846399,25.691187,1337,19.883879,2.014929,29.234798,78.8,6.27451,104,122,3000.258,2917.574,-1.7404529,2.2309425,1.9691625,18.363379,72.136536,0.030575272,8.455025,45.056873,-92.95876,957.20184
9.801,14.846399,25.691187,1337,19.883879,2.014929,29.234798,78.8,6.27451,104,122,3000.258,2917.574,-1.7404529,2.2309425,1.9691625,18.363379,72.136536,0.030575272,8.455025,45.056873,-92.95876,957.20184
9.901,13.8713045,25.986488,1357,20.505249,2.223963,29.234798,78.8,6.27451,104,122,3106.5664,3074.0835,-1.5954151,2.5744514,1.9746597,20.268444,78.44669,0.031583436,8.561738,45.056873,-92.95876,957.20184
10.001,13.8713045,25.986488,1357,20.505249,2.223963,29.234798,78.8,6.27451,104,122,3106.5664,3074.0835,-1.5954151,2.5744514,1.9746597,20.268444,78.44669,0.031583436,8.561738,45.056873,-92.95876,957.20184
10.101,13.8713045,25.691187,1358.5,20.505249,2.223963,29.234798,78.8,5.490196,104,122,3106.5664,3204.0159,-1.7404529,2.5744514,1.4714289,20.268444,78.36008,0.0326049,8.665654,45.056873,-92.95876,957.20184
10.202,13.8713045,25.691187,1358.5,20.505249,2.223963,29.234798,78.8,5.490196,104,122,3106.5664,3204.0159,-1.7404529,2.5744514,1.4714289,20.268444,78.36008,0.0326049,8.665654,45.056873,-92.95876,957.20184
10.302,18.200195,23.62408,1353.75,21.126621,1.74636,29.234798,78.8,4.3137255,104,123.8,2864.4197,3023.8823,-2.755717,2.1363654,1.8987019,15.915732,61.747906,0.03385661,8.836805,45.05684,-92.95887,956.64636
10.402,18.200195,23.62408,1353.75,21.126621,1.74636,29.234798,78.8,4.3137255,104,123.8,2864.4197,3023.8823,-2.755717,2.1363654,1.8987019,15.915732,61.747906,0.03385661,8.836805,45.05684,-92.95887,956.64636
10.501,20.746338,21.556973,1342.75,21.126621,1.532034,29.234798,78.8,1.9607843,104,123.8,2513.0115,2766.9705,-3.770981,2.1363654,1.8987019,13.962438,54.613518,0.034921262,8.994216,45.05684,-92.95887,956.64636
10.601,20.746338,21.556973,1342.75,21.126621,1.532034,29.234798,78.8,1.9607843,104,123.8,2513.0115,2766.9705,-3.770981,2.1363654,1.8987019,13.962438,54.613518,0.034921262,8.994216,45.05684,-92.95887,956.64636
10.701,27.478727,19.194565,1308.75,21.747992,1.1907,29.234798,78.8,1.5686275,104,123.8,891.809,2235.4285,-4.931283,2.5314012,1.8946321,10.851636,43.54844,0.036008712,9.18072,45.05684,-92.95887,956.64636
10.801,33.420074,15.946254,1289.75,21.747992,0.97902,29.234798,78.8,2.745098,104,123.8,891.809,1789.524,-6.526698,2.5314012,1.8946321,8.922456,36.333977,0.037091378,9.379287,45.05684,-92.95887,956.64636
10.902,33.420074,15.946254,1289.75,21.747992,0.97902,29.234798,78.8,2.745098,104,123.8,891.809,1789.524,-6.526698,2.5314012,1.8946321,8.922456,36.333977,0.037091378,9.379287,45.05684,-92.95887,956.64636
11.002,51.955574,11.516739,1248.75,21.747992,0.629748,29.234798,78.8,3.9215686,104,123.8,1432.2098,1579.8604,-8.702264,1.4569856E-15,1.8946321,5.7393093,24.13894,0.03817737,9.603143,45.05684,-92.95887,956.64636
11.101,51.955574,11.516739,1248.75,21.747992,0.629748,29.234798,78.8,3.9215686,104,123.8,1432.2098,1579.8604,-8.702264,1.4569856E-15,1.8946321,5.7393093,24.13894,0.03817737,9.603143,45.05684,-92.95887,956.64636
11.201,40.34397,11.221438,1249,21.747992,0.810999,29.234798,78.8,3.9215686,104,123.8,1432.2098,1535.5652,-8.847302,1.4569856E-15,1.8946321,7.3911695,31.08027,0.039270192,9.811182,45.05684,-92.95887,956.64636
11.302,40.34397,11.221438,1249,21.747992,0.810999,29.234798,78.8,3.9215686,104,123.8,1432.2098,1535.5652,-8.847302,1.4569856E-15,1.8946321,7.3911695,31.08027,0.039270192,9.811182,45.056805,-92.958984,955.7773
11.402,36.856712,11.516739,1260.5,21.747992,0.887733,29.234798,78.8,0,104,123.8,891.809,1322.9485,-8.702264,1.4569856E-15,1.4484437,8.090497,33.710598,0.04035509,10.008626,45.056805,-92.958984,955.7773
11.501,57.115135,9.744933,1253.75,21.747992,0.572859,29.234798,78.8,5.882353,104,123.8,1269.7943,1071.9426,-9.572491,1.4569856E-15,1.4484437,5.2208424,21.870752,0.041458603,10.233276,45.056805,-92.958984,955.7773
11.601,57.115135,9.744933,1253.75,21.747992,0.572859,29.234798,78.8,5.882353,104,123.8,1269.7943,1071.9426,-9.572491,1.4569856E-15,1.4484437,5.2208424,21.870752,0.041458603,10.233276,45.056805,-92.958984,955.7773
11.702,42.786945,8.85903,1233.25,21.747992,0.764694,29.234798,78.8,0,104,123.8,891.809,1157.58,-10.007604,1.4569856E-15,0.93355334,6.9691615,29.679972,0.042547017,10.436401,45.056805,-92.958984,955.7773
11.802,42.786945,8.85903,1233.25,21.747992,0.764694,29.234798,78.8,0,104,123.8,891.809,1157.58,-10.007604,1.4569856E-15,0.93355334,6.9691615,29.679972,0.042547017,10.436401,45.056805,-92.958984,955.7773
11.901,53.068882,9.154331,1243,21.747992,0.616518,29.234798,78.8,0,104,123.8,891.809,936.1042,-9.862566,1.4569856E-15,0.93355334,5.6189075,23.741863,0.04363551,10.649818,45.056805,-92.958984,955.7773
12.001,53.068882,9.154331,1243,21.747992,0.616518,29.234798,78.8,0,104,123.8,891.809,936.1042,-9.862566,1.4569856E-15,0.93355334,5.6189075,23.741863,0.04363551,10.649818,45.056805,-92.958984,955.7773
