Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Mass air flow rate (lb/min), Barometric pressure (inHg), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Intake air temperature bank 1  sensor 2 (°F), Commanded fuel rail pressure A (inHg), Fuel rail pressure A (inHg), Boost (psi), Acceleration (ft/s²), Acceleration (Avg) (ft/s²), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.057014,-92.95825,949.3886
0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.057014,-92.95825,949.3886
0.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.057014,-92.95825,949.3886
0.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.057014,-92.95825,949.3886
0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.057014,-92.95825,949.3886
0.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.057014,-92.95825,949.3886
0.902,40.737175,0,0,12.4274235,0.459081,0,0,0,0,0,0,0,0,0,0,4.1827593,0,0.0033052333,40.737175,45.057014,-92.95825,949.3886
1.002,40.737175,0,0,12.4274235,0.459081,0,0,0,0,0,0,0,0,0,0,4.1827593,0,0.0033052333,40.737175,45.057014,-92.95825,949.3886
1.102,42.57771,7.382525,823.25,12.4274235,0.439236,29.234798,78.8,0,107.6,136.4,891.809,850.46686,-10.8778305,0,0,4.0019484,25.531351,0.0038120784,40.97266,45.057014,-92.95825,949.3886
1.201,42.57771,7.382525,823.25,12.4274235,0.439236,29.234798,78.8,0,107.6,136.4,891.809,850.46686,-10.8778305,0,0,4.0019484,25.531351,0.0038120784,40.97266,45.057014,-92.95825,949.3886
1.302,44.614647,7.973127,888,11.806052,0.398223,29.234798,78.8,0,107.6,136.4,891.809,788.4537,-10.442718,-1.7116693,-0.34233385,3.6282725,21.45957,0.0046851197,41.60555,45.056995,-92.95831,949.22076
1.402,44.614647,7.973127,888,11.806052,0.398223,29.234798,78.8,0,107.6,136.4,891.809,788.4537,-10.442718,-1.7116693,-0.34233385,3.6282725,21.45957,0.0046851197,41.60555,45.056995,-92.95831,949.22076
1.501,44.614647,7.973127,888,11.806052,0.398223,29.234798,78.8,0,107.6,136.4,891.809,788.4537,-10.442718,-1.7116693,-0.34233385,3.6282725,21.45957,0.0046851197,41.60555,45.056995,-92.95831,949.22076
1.601,46.772865,6.791923,949.75,11.184682,0.359856,29.234798,78.8,0,107.6,136.4,891.809,782.54767,-11.022868,-3.5610852,-0.71221703,3.2787046,18.131222,0.005450609,42.261253,45.056995,-92.95831,949.22076
1.702,46.772865,6.791923,949.75,11.184682,0.359856,29.234798,78.8,0,107.6,136.4,891.809,782.54767,-11.022868,-3.5610852,-0.71221703,3.2787046,18.131222,0.005450609,42.261253,45.056995,-92.95831,949.22076
1.802,44.50159,6.496622,957,10.563311,0.35721,29.234798,78.8,0,107.6,136.4,891.809,779.59467,-11.167906,-4.3641424,-1.2151624,3.2545965,17.861557,0.0059823003,42.451195,45.056995,-92.95831,949.22076
1.901,45.170788,6.201321,931.25,10.563311,0.351918,29.234798,78.8,0,107.6,136.4,891.809,779.59467,-11.312943,-2.5147266,-1.2151624,3.2063804,18.083513,0.006509236,42.659107,45.056995,-92.95831,949.22076
2.002,45.170788,6.201321,931.25,10.563311,0.351918,29.234798,78.8,0,107.6,136.4,891.809,779.59467,-11.312943,-2.5147266,-1.2151624,3.2063804,18.083513,0.006509236,42.659107,45.056995,-92.95831,949.22076
2.102,39.856575,6.496622,891.25,9.320568,0.351918,29.234798,78.8,0,107.6,136.4,891.809,770.7356,-11.167906,-5.046788,-2.22452,3.2063804,18.895117,0.0069767637,42.45904,45.056995,-92.95831,949.22076
2.202,39.856575,6.496622,891.25,9.320568,0.351918,29.234798,78.8,0,107.6,136.4,891.809,770.7356,-11.167906,-5.046788,-2.22452,3.2063804,18.895117,0.0069767637,42.45904,45.056995,-92.95831,949.22076
2.301,36.64837,6.496622,857.25,8.699197,0.35721,29.234798,78.8,0,107.6,136.4,891.809,791.4067,-11.167906,-7.5754585,-2.730254,3.2545965,19.939936,0.0074122124,42.067207,45.056988,-92.95839,948.1923
2.402,36.64837,6.496622,857.25,8.699197,0.35721,29.234798,78.8,0,107.6,136.4,891.809,791.4067,-11.167906,-7.5754585,-2.730254,3.2545965,19.939936,0.0074122124,42.067207,45.056988,-92.95839,948.1923
2.502,33.780403,6.791923,832.5,8.077826,0.359856,29.234798,78.8,0,107.6,136.4,891.809,770.7356,-11.022868,-5.0461855,-3.233757,3.2787046,20.684837,0.00781835,41.53788,45.056988,-92.95839,948.1923
2.602,33.780403,6.791923,832.5,8.077826,0.359856,29.234798,78.8,0,107.6,136.4,891.809,770.7356,-11.022868,-5.0461855,-3.233757,3.2787046,20.684837,0.00781835,41.53788,45.056988,-92.95839,948.1923
2.702,30.729998,6.791923,803,7.4564543,0.365148,29.234798,78.8,0,107.6,136.4,891.809,761.8766,-11.022868,-5.193345,-3.768923,3.326921,21.760105,0.008171064,40.91669,45.056988,-92.95839,948.1923
2.802,25.608332,7.087224,766,6.2137117,0.365148,29.234798,78.8,0,107.6,136.4,891.809,773.6886,-10.8778305,-7.7273345,-4.779224,3.326921,22.811182,0.008482458,40.038055,45.056988,-92.95839,948.1923
2.902,25.608332,7.087224,766,6.2137117,0.365148,29.234798,78.8,0,107.6,136.4,891.809,773.6886,-10.8778305,-7.7273345,-4.779224,3.326921,22.811182,0.008482458,40.038055,45.056988,-92.95839,948.1923
3.002,22.398273,7.382525,752,5.592341,0.375732,29.234798,78.8,0,107.6,136.4,891.809,785.5007,-10.732793,-7.583166,-5.2855563,3.4233534,23.90936,0.008762059,39.056522,45.056988,-92.95839,948.1923
3.101,22.398273,7.382525,752,5.592341,0.375732,29.234798,78.8,0,107.6,136.4,891.809,785.5007,-10.732793,-7.583166,-5.2855563,3.4233534,23.90936,0.008762059,39.056522,45.056988,-92.95839,948.1923
3.202,17.42088,7.382525,744.5,4.3495984,0.375732,29.234798,78.8,0,107.6,136.4,891.809,782.54767,-10.732793,-7.3427634,-5.9054427,3.4233534,24.15022,0.008990927,37.859627,45.056988,-92.95839,948.1923
3.302,17.42088,7.382525,744.5,4.3495984,0.375732,29.234798,78.8,0,107.6,136.4,891.809,782.54767,-10.732793,-7.3427634,-5.9054427,3.4233534,24.15022,0.008990927,37.859627,45.056973,-92.95842,957.743
3.402,14.776096,7.677826,741.25,3.7282271,0.379701,29.234798,78.8,0,107.6,136.4,891.809,770.7356,-10.587755,-7.425819,-6.058503,3.4595156,24.512333,0.009171406,36.730453,45.056973,-92.95842,957.743
3.502,14.776096,7.677826,741.25,3.7282271,0.379701,29.234798,78.8,0,107.6,136.4,891.809,770.7356,-10.587755,-7.425819,-6.058503,3.4595156,24.512333,0.009171406,36.730453,45.056973,-92.95842,957.743
3.601,11.939019,8.268428,698.75,3.1068559,0.391608,29.234798,78.8,0,107.6,136.4,891.809,755.9706,-10.297679,-5.1352425,-6.059663,3.5680022,26.818678,0.009327426,35.497494,45.056973,-92.95842,957.743
