Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Ignition timing advance for #1 cylinder (deg), Mass air flow rate (lb/min), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.251,0,0,0,0,0,2.110185,0,0,0,0,19.421223,0,0,0,0,0,0
0.501,0,0,0,0,0,2.110185,0,0,0,0,19.421223,0,0,0,45.05808,-92.9546,975.5404
0.751,0,0,0,0,0,2.110185,0,0,0,0,19.421223,0,0,0,45.05808,-92.9546,975.5404
1.002,0,0,0,0,0,2.110185,0,0,0,0,19.421223,0,0,0,45.05808,-92.9546,975.5404
1.250,0,0,0,0,0,2.110185,0,0,0,0,19.421223,0,0,0,45.05808,-92.9546,975.5404
1.501,0,0,0,0,0,2.110185,0,0,0,0,19.421223,0,0,0,45.058125,-92.95461,974.99854
1.751,0,0,0,0,0,2.110185,0,0,0,0,19.421223,0,0,0,45.058125,-92.95461,974.99854
2.001,0,7.677826,1617.75,0,18.5,0.915516,71.6,0,75.2,-10.732793,8.42601,27.355497,0,0,45.058125,-92.95461,974.99854
2.250,0,7.973127,1583.5,0,22,0.934038,71.6,0,75.2,-10.442718,8.510167,28.226309,0,0,45.058125,-92.95461,974.99854
2.501,0,7.677826,1577.75,0,22.5,0.941976,71.6,0,75.2,-10.587755,8.582492,28.569937,0,0,45.058132,-92.95465,975.0894
2.751,0,7.973127,1571.25,0,24,0.951237,71.6,0,75.2,-10.442718,8.66687,28.970171,0,0,45.058132,-92.95465,975.0894
3.001,0,8.268428,1569.75,0,24.5,0.969759,71.6,0,75.2,-10.297679,8.835627,29.562487,0,0,45.058132,-92.95465,975.0894
3.251,0,7.973127,1566,0,25.5,0.960498,71.6,0,75.2,-10.442718,8.751248,29.350285,0,0,45.058132,-92.95465,975.0894
3.501,0,8.268428,1565.5,0,25.5,0.97902,71.6,0,75.2,-10.297679,8.920006,29.925823,0,0,45.058132,-92.95465,975.0894
3.750,0,8.268428,1570.5,0,24.5,0.97902,71.6,0,75.2,-10.297679,8.920006,29.83055,0,0,45.058132,-92.95465,975.0894
4.001,0,8.268428,1572.25,0,24,0.988281,71.6,0,75.2,-10.297679,9.004384,30.079212,0,0,45.058132,-92.95465,975.0894
4.251,0,8.563729,1578.5,0,23,0.996219,71.6,0,75.2,-10.152641,9.076708,30.20076,0,0,45.058132,-92.95465,975.0894
