Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Ignition timing advance for #1 cylinder (deg), Mass air flow rate (lb/min), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.252,0,0,0,0,0,2.815344,0,0,0,0,25.651043,0,0,0,0,0,0
0.503,0,21.852274,1600,0,-15,2.561328,89.6,0,96.8,-3.770981,23.336662,76.60425,0,0,44.860523,-93.3418,824.1239
0.754,0,21.852274,1600,0,-15,2.561328,89.6,0,96.8,-3.770981,23.336662,76.60425,0,0,44.860523,-93.3418,824.1239
1.014,0,21.852274,1600,0,-15,2.561328,89.6,0,96.8,-3.770981,23.336662,76.60425,0,0,44.86055,-93.34181,825.22046
1.256,0,21.852274,1600,0,-15,2.561328,89.6,0,96.8,-3.770981,23.336662,76.60425,0,0,44.86055,-93.34181,825.22046
1.507,0,21.261671,1572,0,-14,2.466072,89.6,0,96.8,-4.0610566,22.468771,75.06904,0,0,44.86055,-93.34181,825.22046
1.757,0,21.261671,1572,0,-14,2.466072,89.6,0,96.8,-4.0610566,22.468771,75.06904,0,0,44.86055,-93.34181,825.22046
2.007,0,20.67107,1609.25,0,-13.5,2.432997,89.6,0,96.8,-4.351132,22.392242,73.08162,0,0,44.860546,-93.34182,823.93506
2.258,0,20.67107,1609.25,0,-13.5,2.432997,89.6,0,96.8,-4.351132,22.392242,73.08162,0,0,44.860546,-93.34182,823.93506
2.509,0,21.556973,1596.5,0,-13.5,2.497824,89.6,0,96.8,-3.916019,22.988882,75.62807,0,0,44.860546,-93.34182,823.93506
2.760,0,21.852274,1583.75,0,-13.5,2.529576,89.6,0,96.8,-3.770981,23.281115,77.206024,0,0,44.860546,-93.34182,823.93506
3.012,0,20.966372,1600.75,0,-14,2.417121,89.6,0,96.8,-4.2060943,22.246128,72.99027,0,0,44.860542,-93.341835,824.17236
3.265,0,21.556973,1579.5,0,-13.5,2.594403,89.6,0,96.8,-3.916019,23.877754,79.3977,0,0,44.860542,-93.341835,824.17236
3.512,0,21.261671,1591.25,0,-14.5,2.466072,89.6,0,96.8,-4.0610566,22.696651,74.91304,0,0,44.860542,-93.341835,824.17236
3.761,0,20.375769,1600.75,0,-13.5,2.448873,89.6,0,96.8,-4.49617,22.538359,73.9491,0,0,44.860542,-93.341835,824.17236
4.014,0,20.375769,1597.25,0,-13,2.385369,89.6,0,96.8,-4.49617,21.909994,72.04493,0,0,44.86055,-93.34182,823.26544
4.263,0,20.67107,1614,0,-13,2.481948,89.6,0,96.8,-4.351132,22.797087,74.18394,0,0,44.86055,-93.34182,823.26544
4.514,0,20.966372,1600.75,0,-14,2.5137,89.6,0,96.8,-4.2060943,23.088734,75.75489,0,0,44.86055,-93.34182,823.26544
4.775,0,20.966372,1596.25,0,-13.5,2.43432,89.6,0,96.8,-4.2060943,22.359615,73.56945,0,0,44.86055,-93.34182,823.26544
5.015,0,20.67107,1603.5,0,-13.5,2.5137,89.6,0,96.8,-4.351132,23.088734,75.62497,0,0,44.860558,-93.341835,824.1173
5.266,0,20.67107,1582.75,0,-13.5,2.401245,89.6,0,96.8,-4.351132,22.055817,73.18884,0,0,44.860558,-93.341835,824.1173
5.516,0,20.375769,1616,0,-13.5,2.417121,89.6,0,96.8,-4.49617,22.201641,72.15688,0,0,44.860558,-93.341835,824.1173
5.767,0,20.966372,1595.5,0,-13.5,2.545452,89.6,0,96.8,-4.2060943,23.333004,76.80826,0,0,44.860558,-93.341835,824.1173
6.017,0,20.67107,1583,0,-14,2.401245,89.6,0,96.8,-4.351132,22.011124,73.029,0,0,44.860554,-93.34183,824.6598
6.269,0,20.67107,1584.25,0,-13,2.401245,89.6,0,96.8,-4.351132,22.011124,72.97138,0,0,44.860554,-93.34183,824.6598
6.519,0,20.080467,1606.5,0,-13,2.369493,89.6,0,96.8,-4.6412077,21.720066,71.00918,0,0,44.860554,-93.34183,824.6598
6.770,0,20.67107,1574,0,-13.5,2.466072,89.6,0,96.8,-4.351132,22.605362,75.42943,0,0,44.860554,-93.34183,824.6598
7.020,0,20.966372,1577.25,0,-13.5,2.417121,89.6,0,96.8,-4.2060943,22.15665,73.77983,0,0,44.860554,-93.34183,824.6598
7.278,0,20.375769,1575.75,0,-13.5,2.304666,89.6,0,96.8,-4.49617,21.125828,70.41424,0,0,44.860554,-93.34183,824.6598
7.521,0,20.375769,1566.25,0,-13,2.28879,89.6,0,96.8,-4.49617,20.980299,70.35333,0,0,44.860554,-93.34183,824.6598
7.772,0,19.785168,1575.75,0,-12.5,2.239839,89.6,0,96.8,-4.7862453,20.490067,68.29519,0,0,44.860554,-93.34183,824.6598
8.022,0,19.785168,1597.25,0,-13,2.28879,89.6,0,96.8,-4.7862453,20.91032,68.75778,0,0,44.860554,-93.34183,825.2145
8.272,0,20.375769,1581.5,0,-13,2.401245,89.6,0,96.8,-4.49617,21.937706,72.85445,0,0,44.860554,-93.34183,825.2145
8.524,0,20.375769,1577.25,0,-13,2.353617,89.6,0,96.8,-4.49617,21.530909,71.69616,0,0,44.860554,-93.34183,825.2145
8.774,0,20.080467,1582.75,0,-13,2.353617,89.6,0,96.8,-4.6412077,21.530909,71.447014,0,0,44.860554,-93.34183,825.2145
9.024,0,20.375769,1581,0,-13,2.336418,89.6,0,96.8,-4.49617,21.373571,71.003426,0,0,44.86055,-93.341835,825.985
9.274,0,19.785168,1585.75,0,-13,2.28879,89.6,0,96.8,-4.7862453,20.93787,69.34767,0,0,44.86055,-93.341835,825.985
9.526,0,20.375769,1579.25,0,-13,2.385369,89.6,0,96.8,-4.49617,21.821377,72.57137,0,0,44.86055,-93.341835,825.985
9.776,0,20.67107,1586.75,0,-13,2.385369,89.6,0,96.8,-4.351132,21.821377,72.22835,0,0,44.86055,-93.341835,825.985
