Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Ignition timing advance for #1 cylinder (deg), Mass air flow rate (lb/min), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.251,0.000,0.000,0.000,0.000,0.000,3.548,0.000,0.000,0.000,0.000,33.217,0.000,0.000,0.000,45.058,-92.954,976.549
0.501,0.000,0.000,0.000,0.000,0.000,3.548,0.000,0.000,0.000,0.000,33.217,0.000,0.000,0.000,45.058,-92.954,976.549
0.752,0.000,0.000,0.000,0.000,0.000,3.548,0.000,0.000,0.000,0.000,33.217,0.000,0.000,0.000,45.058,-92.954,976.549
1.000,0.000,25.986,1722.750,0.000,-17.500,3.368,59.000,0.000,59.000,-1.740,31.533,96.133,0.000,0.000,45.058,-92.954,976.549
1.252,0.000,25.986,1722.750,0.000,-17.500,3.368,59.000,0.000,59.000,-1.740,31.533,96.133,0.000,0.000,45.058,-92.954,976.549
1.501,0.000,25.986,1722.750,0.000,-17.500,3.368,59.000,0.000,59.000,-1.740,31.533,96.133,0.000,0.000,45.058,-92.955,977.135
1.752,0.000,25.986,1722.750,0.000,-17.500,3.368,59.000,0.000,59.000,-1.740,31.533,96.133,0.000,0.000,45.058,-92.955,977.135
2.001,0.000,25.101,1738.500,0.000,-17.500,3.391,59.000,0.000,59.000,-2.176,32.102,96.981,0.000,0.000,45.058,-92.955,977.135
2.254,0.000,23.919,1738.500,0.000,-17.500,3.155,59.000,0.000,59.000,-2.756,29.202,88.220,0.000,0.000,45.058,-92.955,977.680
2.502,0.000,23.624,1751.000,0.000,-17.500,3.237,59.000,0.000,59.000,-2.901,29.961,89.867,0.000,0.000,45.058,-92.955,977.680
2.752,0.000,23.919,1717.750,0.000,-17.500,3.196,59.000,0.000,59.000,-2.756,29.453,90.055,0.000,0.000,45.058,-92.955,977.680
3.001,0.000,24.215,1701.750,0.000,-17.500,3.196,59.000,0.000,59.000,-2.611,29.451,90.894,0.000,0.000,45.058,-92.955,977.680
3.252,0.000,23.329,1697.500,0.000,-17.500,3.114,59.000,0.000,59.000,-3.046,28.695,88.783,0.000,0.000,45.058,-92.955,976.255
3.502,0.000,23.919,1630.250,0.000,-16.500,3.218,59.000,0.000,59.000,-2.756,29.642,95.497,0.000,0.000,45.058,-92.955,976.255
3.752,0.000,23.329,1687.250,0.000,-17.500,2.990,59.000,0.000,59.000,-3.046,27.546,85.745,0.000,0.000,45.058,-92.955,976.255
4.002,0.000,23.624,1635.750,0.000,-15.000,3.093,59.000,0.000,59.000,-2.901,28.493,91.486,0.000,0.000,45.058,-92.955,976.255
4.256,0.000,22.738,1670.500,0.000,-17.500,2.969,59.000,0.000,59.000,-3.336,27.347,85.981,0.000,0.000,45.058,-92.955,983.534
4.501,0.000,22.738,1653.500,0.000,-16.500,3.011,59.000,0.000,59.000,-3.336,27.733,88.090,0.000,0.000,45.058,-92.955,983.534
4.767,0.000,23.033,1666.000,0.000,-16.000,2.990,59.000,0.000,59.000,-3.191,27.538,86.814,0.000,0.000,45.058,-92.955,983.534
5.002,0.000,23.624,1601.250,0.000,-15.000,2.949,59.000,0.000,59.000,-2.901,27.160,89.086,0.000,0.000,45.058,-92.955,983.534
5.251,0.000,22.738,1632.500,0.000,-15.000,2.720,59.000,0.000,59.000,-3.336,25.049,80.589,0.000,0.000,45.058,-92.955,983.534
5.501,0.000,22.738,1596.250,0.000,-14.500,2.911,59.000,0.000,59.000,-3.336,26.800,88.181,0.000,0.000,45.058,-92.955,976.436
5.752,0.000,23.329,1623.750,0.000,-15.500,2.892,59.000,0.000,59.000,-3.046,26.626,86.125,0.000,0.000,45.058,-92.955,976.436
6.002,0.000,22.443,1633.250,0.000,-15.500,2.911,59.000,0.000,59.000,-3.481,26.797,86.172,0.000,0.000,45.058,-92.955,976.436
6.251,0.000,22.148,1663.000,0.000,-16.500,2.872,59.000,0.000,59.000,-3.626,26.444,83.515,0.000,0.000,45.058,-92.955,974.824
6.502,0.000,22.738,1652.500,0.000,-17.500,2.872,59.000,0.000,59.000,-3.336,26.440,84.033,0.000,0.000,45.058,-92.955,974.824
6.752,0.000,22.443,1594.500,0.000,-15.500,3.011,59.000,0.000,59.000,-3.481,27.715,91.290,0.000,0.000,45.058,-92.955,974.824
7.001,0.000,22.443,1632.000,0.000,-15.500,2.777,59.000,0.000,59.000,-3.481,25.560,82.256,0.000,0.000,45.058,-92.955,974.824
7.251,0.000,22.738,1640.000,0.000,-16.000,2.911,59.000,0.000,59.000,-3.336,26.788,85.788,0.000,0.000,45.058,-92.955,975.347
7.502,0.000,22.738,1644.750,0.000,-16.000,2.834,59.000,0.000,59.000,-3.336,26.082,83.286,0.000,0.000,45.058,-92.955,975.347
7.752,0.000,23.033,1589.250,0.000,-15.500,2.990,59.000,0.000,59.000,-3.191,27.518,90.942,0.000,0.000,45.058,-92.955,975.347
8.002,0.000,22.443,1617.000,0.000,-15.500,2.739,59.000,0.000,59.000,-3.481,25.205,81.867,0.000,0.000,45.058,-92.955,975.347
8.252,0.000,22.148,1615.750,0.000,-15.000,2.758,59.000,0.000,60.800,-3.626,25.388,82.524,0.000,0.000,45.058,-92.955,975.637
8.501,0.000,21.852,1620.000,0.000,-15.500,2.720,59.000,0.000,60.800,-3.771,25.035,81.163,0.000,0.000,45.058,-92.955,975.637
8.751,0.000,22.443,1620.000,0.000,-15.000,2.777,59.000,0.000,60.800,-3.481,25.558,82.860,0.000,0.000,45.058,-92.955,975.637
9.001,0.000,21.557,1618.500,0.000,-15.500,2.682,59.000,0.000,60.800,-3.916,24.681,80.092,0.000,0.000,45.058,-92.955,975.637
9.252,0.000,12.993,1627.500,0.000,-7.000,1.150,59.000,0.000,60.800,-8.122,10.483,33.830,0.000,0.000,45.058,-92.955,975.893
9.501,0.000,12.107,1660.750,0.000,-0.500,1.090,59.000,0.000,60.800,-8.557,9.933,31.412,0.000,0.000,45.058,-92.955,975.893
9.752,0.000,7.678,1610.000,0.000,12.000,0.820,59.000,0.000,60.800,-10.733,7.474,24.380,0.000,0.000,45.058,-92.955,975.893
10.002,0.000,7.383,1578.500,0.000,20.500,0.849,59.000,0.000,60.800,-10.878,7.739,25.749,0.000,0.000,45.058,-92.955,975.893
10.251,0.000,7.383,1545.250,0.000,25.500,0.877,59.000,0.000,60.800,-10.878,7.992,27.163,0.000,0.000,45.058,-92.955,975.893
10.502,0.000,7.973,1495.500,0.000,28.500,0.916,59.000,0.000,60.800,-10.588,8.341,29.295,0.000,0.000,45.058,-92.955,975.893
10.752,0.000,8.268,1481.250,0.000,28.000,0.951,59.000,0.000,60.800,-10.443,8.667,30.730,0.000,0.000,45.058,-92.955,975.893
11.007,0.000,8.564,1481.250,0.000,28.000,0.942,59.000,0.000,60.800,-10.298,8.582,30.431,0.000,0.000,45.058,-92.955,975.893
11.259,0.000,9.154,1494.750,0.000,28.000,0.988,59.000,0.000,60.800,-10.008,9.004,31.639,0.000,0.000,45.058,-92.955,975.149
11.502,0.000,9.154,1505.750,0.000,28.500,1.015,59.000,0.000,60.800,-10.008,9.245,32.249,0.000,0.000,45.058,-92.955,975.149
11.758,0.000,8.859,1523.500,0.000,28.500,1.024,59.000,0.000,60.800,-10.153,9.330,32.164,0.000,0.000,45.058,-92.955,975.149
12.010,0.000,8.859,1535.750,0.000,28.500,1.033,59.000,0.000,60.800,-10.153,9.414,32.196,0.000,0.000,45.058,-92.955,975.149
12.251,0.000,8.859,1544.750,0.000,28.500,1.070,59.000,0.000,60.800,-10.153,9.752,33.156,0.000,0.000,45.058,-92.954,974.784
12.501,0.000,9.154,1566.250,0.000,26.500,1.061,59.000,0.000,60.800,-10.008,9.667,32.418,0.000,0.000,45.058,-92.954,974.784
12.752,0.000,8.859,1576.250,0.000,24.000,1.070,59.000,0.000,60.800,-10.153,9.752,32.493,0.000,0.000,45.058,-92.954,974.784
13.006,0.000,8.859,1588.750,0.000,23.500,1.033,59.000,0.000,60.800,-10.153,9.414,31.122,0.000,0.000,45.058,-92.954,974.784
13.251,0.000,9.154,1595.750,0.000,22.500,1.061,59.000,0.000,60.800,-10.008,9.667,31.818,0.000,0.000,45.058,-92.955,978.108
