Time (sec), Instant fuel economy (MPG), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Engine oil temperature (°F), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.03617,-92.98506
0.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.03617,-92.98506
2.004,0,30.19608,163.4,9.449632,721.5,0,3.137255,80.6,0,154.4,87.8,0,-9.862566,3.877163,28.22356,0,0,45.03617,-92.98506
2.968,0,29.019608,163.4,9.154331,716,0,3.137255,80.6,0,154.4,87.8,0.38103825,-9.862566,3.59936,26.402578,0,0,45.036167,-92.985054
4.002,0,27.843138,163.4,9.154331,713.5,0,3.137255,80.6,0,154.4,87.8,0.37483284,-9.862566,3.5752032,26.317268,0,0,45.036167,-92.985054
4.966,0,28.62745,163.4,9.154331,716,0,3.137255,80.6,0,154.4,87.8,0.3768133,-9.862566,3.5752032,26.22538,0,0,45.036167,-92.985054
6.003,0,44.705883,163.4,12.107341,718,0,4.3137255,80.6,0,154.4,87.8,0.5001122,-8.412189,6.848447,50.095844,0,0,45.036167,-92.985054
6.968,0,62.35294,163.4,15.946254,698.25,0,4.7058825,80.6,1.1764706,154.4,87.8,0.6605242,-6.526698,6.800133,51.1494,0,0,45.03615,-92.985054
8.002,0,62.35294,163.4,15.946254,698.25,0,4.7058825,80.6,1.1764706,154.4,87.8,0.6605242,-6.526698,6.800133,51.1494,0,0,45.03614,-92.985054
8.964,0,17.647058,163.4,15.060351,1419.25,0,12.941176,80.6,3.9215686,154.4,87.8,0.6066688,-6.9618115,14.087296,52.13181,0,0,45.03611,-92.985054
10.006,0,17.647058,163.4,15.060351,1419.25,0,12.941176,80.6,3.9215686,154.4,87.8,0.6066688,-6.9618115,14.087296,52.13181,0,0,45.036083,-92.98504
10.964,7.027495,32.941177,163.4,12.402642,1244.75,6.2137117,3.9215686,80.6,0,154.4,87.8,1.0154972,-8.267151,12.123366,51.153477,0.0046082614,3.2955046,45.036053,-92.98501
