Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Ignition timing advance for #1 cylinder (deg), Mass air flow rate (lb/min), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.251,0,0,0,0,0,1.497636,0,0,0,0,13.645197,0,0,0,0,0,0
0.500,0,0,0,0,0,1.497636,0,0,0,0,13.645197,0,0,0,0,0,0
0.750,0,0,0,0,0,1.497636,0,0,0,0,13.645197,0,0,0,45.036198,-92.98508,1045.7365
1.001,0,0,0,0,0,1.497636,0,0,0,0,13.645197,0,0,0,45.036198,-92.98508,1045.7365
1.254,0,0,0,0,0,1.497636,0,0,0,0,13.645197,0,0,0,45.036198,-92.98508,1045.7365
1.501,0,14.469749,1444.25,0,-9,1.50822,68,0,80.6,-7.3969245,13.74163,49.97237,0,0,45.036198,-92.98508,1045.7365
1.750,0,14.174448,1438.5,0,-8.5,1.485729,68,0,80.6,-7.3969245,13.536711,49.42394,0,0,45.036198,-92.98508,1046.2833
2.000,0,14.469749,1445.5,0,-9,1.532034,68,0,80.6,-7.251887,13.958603,50.71751,0,0,45.036198,-92.98508,1046.2833
2.251,0,14.174448,1452.5,0,-9,1.473822,68,0,80.6,-7.3969245,13.428225,48.555286,0,0,45.036198,-92.98508,1046.2833
2.500,0,14.469749,1454,0,-9,1.50822,68,0,80.6,-7.251887,13.74163,49.63727,0,0,45.036198,-92.98508,1046.2833
2.750,0,14.76505,1450.75,0,-9,1.497636,68,0,80.6,-7.106849,13.645197,49.39936,0,0,45.036198,-92.98508,1048.1613
3.000,0,14.174448,1456.5,0,-9,1.50822,68,0,80.6,-7.3969245,13.74163,49.552074,0,0,45.036198,-92.98508,1048.1613
3.250,0,14.174448,1475.5,0,-9.5,1.426194,68,0,80.6,-7.3969245,12.994278,46.253757,0,0,45.036198,-92.98508,1048.1613
3.501,0,13.288545,1519,0,-10.5,1.390473,68,0,80.6,-7.832038,12.668818,43.803864,0,0,45.036198,-92.98508,1048.1613
3.751,0,12.993244,1509.75,0,-11,1.439424,68,0,80.6,-7.9770756,13.114819,45.623787,0,0,45.036198,-92.98508,1049.9984
4.000,0,12.993244,1505.25,0,-11,1.461915,68,0,80.6,-7.9770756,13.319737,46.47518,0,0,45.036198,-92.98508,1049.9984
4.250,0,12.993244,1505.25,0,-11,1.390473,68,0,80.6,-7.9770756,12.668818,44.204,0,0,45.036198,-92.98508,1049.9984
