Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Ignition timing advance for #1 cylinder (deg), Mass air flow rate (lb/min), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.251,0,0,0,0,0,1.889244,0,0,0,0,17.219505,0,0,0,0,0,0
0.501,0,0,0,0,0,1.889244,0,0,0,0,17.219505,0,0,0,44.86057,-93.34297,823.18494
0.753,0,0,0,0,0,1.889244,0,0,0,0,17.219505,0,0,0,44.86057,-93.34297,823.18494
1.011,0,0,0,0,0,1.889244,0,0,0,0,17.219505,0,0,0,44.86057,-93.34297,823.18494
1.251,0,0,0,0,0,1.889244,0,0,0,0,17.219505,0,0,0,44.86057,-93.34297,823.18494
1.508,0,0,0,0,0,1.889244,0,0,0,0,17.219505,0,0,0,44.860565,-93.34297,822.7636
1.752,0,16.832157,1525.75,0,-11.5,1.800603,91.4,0,93.2,-6.236623,16.411587,56.493866,0,0,44.860565,-93.34297,822.7636
2.005,0,16.536856,1527.5,0,-11.5,1.774143,91.4,0,93.2,-6.3816605,16.168444,55.593124,0,0,44.860565,-93.34297,822.7636
2.251,0,16.536856,1513.25,0,-11.5,1.856169,91.4,0,93.2,-6.3816605,16.915977,58.71114,0,0,44.860565,-93.34297,822.7636
2.501,0,16.536856,1546.75,0,-11.5,1.813833,91.4,0,93.2,-6.3816605,16.530153,56.129456,0,0,44.86056,-93.34297,822.96606
2.751,0,16.241554,1543.25,0,-12,1.813833,91.4,0,93.2,-6.526698,16.530153,56.256756,0,0,44.86056,-93.34297,822.96606
3.002,0,16.241554,1534.5,0,-11.5,1.841616,91.4,0,93.2,-6.526698,16.781815,57.438896,0,0,44.86056,-93.34297,822.96606
3.252,0,16.536856,1521,0,-11.5,1.760913,91.4,0,93.2,-6.3816605,16.047874,55.414364,0,0,44.86056,-93.34297,822.96606
3.501,0,16.832157,1529,0,-11.5,1.841616,91.4,0,93.2,-6.236623,16.78335,57.65079,0,0,44.860558,-93.34297,822.48267
3.750,0,16.536856,1540.75,0,-11.5,1.800603,91.4,0,93.2,-6.3816605,16.409584,55.93704,0,0,44.860558,-93.34297,822.48267
4.001,0,16.241554,1547.25,0,-11.5,1.813833,91.4,0,93.2,-6.526698,16.52864,56.106182,0,0,44.860558,-93.34297,822.48267
4.252,0,16.536856,1532,0,-11.5,1.800603,91.4,0,93.2,-6.3816605,16.408081,56.25137,0,0,44.860558,-93.34297,822.48267
4.501,0,16.536856,1538.25,0,-11.5,1.841616,91.4,0,93.2,-6.3816605,16.781815,57.29887,0,0,44.860558,-93.34297,822.48267
4.751,0,16.536856,1533,0,-11.5,1.841616,91.4,0,93.2,-6.3816605,16.781815,57.4951,0,0,44.860558,-93.34297,821.54395
5.002,0,16.536856,1536.5,0,-11.5,1.841616,91.4,0,93.2,-6.3816605,16.78335,57.369385,0,0,44.860558,-93.34297,821.54395
5.251,0,16.536856,1548,0,-12,1.856169,91.4,0,93.2,-6.3816605,16.914429,57.387917,0,0,44.860558,-93.34297,821.54395
5.501,0,16.241554,1545.25,0,-12,1.841616,91.4,0,93.2,-6.526698,16.781815,57.039303,0,0,44.860558,-93.34297,823.6173
5.751,0,16.832157,1533,0,-11.5,1.872045,91.4,0,93.2,-6.236623,17.0591,58.445087,0,0,44.860558,-93.34297,823.6173
6.002,0,16.241554,1538.75,0,-11.5,1.841616,91.4,0,93.2,-6.526698,16.781815,57.28025,0,0,44.860558,-93.34297,823.6173
6.253,0,16.241554,1534,0,-11.5,1.813833,91.4,0,93.2,-6.526698,16.52864,56.5908,0,0,44.860558,-93.34297,823.6173
6.501,0,16.536856,1531,0,-12,1.800603,91.4,0,93.2,-6.3816605,16.408081,56.288113,0,0,44.860558,-93.34297,823.6173
6.755,0,16.241554,1551.5,0,-12,1.760913,91.4,0,93.2,-6.526698,16.046404,54.32003,0,0,44.860558,-93.34297,823.6173
7.001,0,15.946254,1550,0,-12,1.827063,91.4,0,93.2,-6.671736,16.649199,56.415146,0,0,44.860558,-93.34297,823.6173
7.251,0,16.536856,1527.5,0,-12,1.841616,91.4,0,93.2,-6.3816605,16.781815,57.702118,0,0,44.860558,-93.34297,823.6173
7.509,0,16.241554,1517.75,0,-12,1.787373,91.4,0,93.2,-6.526698,16.287521,56.36232,0,0,44.860558,-93.34297,821.22955
7.751,0,16.536856,1514.75,0,-11.5,1.827063,91.4,0,93.2,-6.3816605,16.649199,57.727993,0,0,44.860558,-93.34297,821.22955
8.005,0,16.536856,1514.75,0,-11.5,1.774143,91.4,0,93.2,-6.3816605,16.166964,56.05593,0,0,44.860558,-93.34297,821.22955
8.251,0,16.536856,1502.25,0,-11.5,1.774143,91.4,0,93.2,-6.3816605,16.166964,56.52236,0,0,44.860558,-93.34297,821.22955
8.501,0,16.536856,1497,0,-11,1.774143,91.4,0,93.2,-6.3816605,16.166964,56.72059,0,0,44.860554,-93.34297,821.24414
