# StartTime = 08/08/2024 06:11:38.1792 AM
Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Barometric pressure (inHg), Catalyst temperature (Bank 1 Sensor 1) (°F), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Intake air temperature bank 2  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Acceleration (ft/s²), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Bearing (deg)
110.854,5.266485,43.704548,3004.5,39.146385,29.234798,837.5,10.588235,68,6.6666665,69.8,0,7.484612,7.106849,5.5607347,101.91625,178.15799,0.41166374,8.518973,45.055874,-92.961784,229.77448
111.859,17.70231,20.966372,2198,42.253242,29.234798,846.5,6.27451,68,6.27451,69.8,0,3.6341352,-4.0610566,4.201029,32.726738,78.200424,0.42584804,8.663701,45.055763,-92.96198,230.14394
112.857,17.88678,23.91938,2062.5,42.87461,29.234798,854.78,11.764706,68,7.0588236,69.8,0,3.0330756,-2.6106794,2.3635297,32.865536,83.6914,0.43719497,8.778781,45.05565,-92.96217,229.9928
113.859,17.88678,23.91938,2062.5,42.87461,29.234798,854.78,11.764706,68,7.0588236,69.8,0,3.0330756,-2.6106794,2.3635297,32.865536,83.6914,0.43719497,8.778781,45.05554,-92.962364,230.18987
114.863,18.700436,23.62408,2061.25,43.495983,29.5301,862.52,17.254902,68,10.980392,68,0,2.8109586,-2.755717,0.9014436,31.891142,81.25938,0.45020503,8.915814,45.055424,-92.96256,230.18987
115.865,13.101171,20.966372,2083,44.117355,29.5301,878.54,15.294118,68,9.411765,68,0,2.493214,-4.2060943,0.684847,46.17129,116.417114,0.47154543,9.037839,45.055305,-92.96275,229.76259
116.865,16.77061,26.87239,2231,44.738728,29.5301,886.64,8.627451,68,7.0588236,68,0,3.2292464,-1.3053397,0.60737634,36.576942,86.10768,0.48792598,9.185478,45.055183,-92.96295,229.76259
117.870,18.930815,24.509983,2114.5,45.360096,29.5301,894.2,14.90196,68,9.411765,68,0,3.1546283,-2.4656415,0.7181435,32.853172,81.60255,0.50334185,9.331838,45.055065,-92.96315,229.76259
118.883,16.47457,26.87239,2189.25,45.360096,29.5301,901.58,16.470589,68,9.411765,68,0,3.2780805,-1.3053397,0.3724391,37.751358,90.567276,0.513236,9.419731,45.054947,-92.963356,229.9662
119.865,17.67538,25.100586,2173.5,45.98147,29.5301,908.6,14.90196,68,9.411765,68,0,2.8505251,-2.175566,0.5884727,35.668655,86.19085,0.53181523,9.610718,45.05483,-92.963554,229.9662
120.870,22.444235,19.785168,2023.75,45.98147,29.5301,915.26,17.647058,68,10.588235,68,0,2.4808755,-4.7862453,-2.731848E-16,28.089933,72.90006,0.53978145,9.688173,45.054703,-92.96376,229.9662
121.858,13.5643215,26.28179,2087.5,45.98147,29.5301,924.62,16.078432,68,10.196078,68,0,3.2833617,-1.5954151,-0.02258379,46.47907,116.94051,0.55916363,9.803107,45.054585,-92.96396,230.55667
122.888,16.929033,25.691187,2180,46.60284,29.5301,927.68,7.0588236,68,4.3137255,68,0,3.0939713,-1.8854905,0.04236742,37.74443,90.93487,0.56812066,9.874479,45.054462,-92.964165,230.0956
123.868,21.883999,23.32878,1986.5,46.60284,29.5301,933.08,14.117647,68,8.235294,68,0,2.9339595,-3.0457926,0.65856826,29.198353,77.19761,0.57836187,9.97024,45.054337,-92.96437,230.0956
124.868,19.213879,24.509983,2065.25,46.60284,29.5301,938.48,14.509804,68,0,68,0,2.8481443,-2.4656415,-2.731848E-16,33.255997,84.57294,0.59653634,10.1206455,45.05422,-92.96457,229.98424
125.847,36.493263,12.993244,1735.25,46.60284,29.5301,943.7,14.117647,68,7.8431373,68,0,1.5480887,-8.122113,-2.731848E-16,17.509443,52.996155,0.6052977,10.226908,45.054092,-92.96477,230.03983
126.866,20.52678,23.033478,2053.5,45.98147,29.5301,948.56,14.117647,68,8.235294,68,0,2.3058295,-3.1908302,-0.54849213,30.713879,78.55504,0.6159088,10.319207,45.05397,-92.96497,230.03983
127.861,55.618576,18.308662,1719,45.98147,29.5301,952.88,12.156863,68,6.27451,68,0,2.0644193,-5.511434,0.018190015,11.335368,34.633297,0.63490653,10.550034,45.05385,-92.96517,229.90231
128.868,23.764412,22.738176,1964,45.98147,29.5301,956.66,9.803922,68,0,68,0,2.254951,-3.335868,-0.6078382,26.529459,70.94487,0.6430701,10.625101,45.053734,-92.96537,229.90231
129.860,34.328106,18.013361,1609.5,45.98147,29.5301,959.72,14.509804,68,7.45098,68,0,1.6697392,-5.6564717,-2.731848E-16,18.365622,59.930614,0.6591245,10.816449,45.053608,-92.96557,229.7496
