Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Ignition timing advance for #1 cylinder (deg), Mass air flow rate (lb/min), Barometric pressure (inHg), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.860573,-93.34191,826.42596
0.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.860573,-93.34191,826.42596
0.753,0,0,0,0,0,3.032316,0,0,0,0,0,27.908113,0,0,0,44.860573,-93.34191,826.42596
1.001,0,25.100586,1620.5,0,-15,3.093174,29.5301,78.8,0,82.4,-2.175566,28.468224,92.26679,0,0,44.860573,-93.34191,826.42596
1.252,0,24.805285,1619,0,-15.5,2.98998,29.5301,78.8,0,82.4,-2.3206038,27.518473,89.27123,0,0,44.860577,-93.34191,827.1336
1.508,0,25.395885,1642.25,0,-16,3.093174,29.5301,78.8,0,82.4,-2.0305283,28.468224,91.04481,0,0,44.860577,-93.34191,827.1336
1.752,0,29.234798,1617.75,0,-15.5,2.078433,29.5301,78.8,0,82.4,-0.14503774,19.12899,62.103306,0,0,44.860577,-93.34191,827.1336
2.002,0,29.234798,1617.75,0,-15.5,2.078433,29.5301,78.8,0,82.4,-0.14503774,19.12899,62.103306,0,0,44.860577,-93.34191,827.1336
2.253,0,24.805285,1545.5,0,-14.5,2.776977,29.5301,78.8,0,82.4,-2.3206038,25.558084,86.85471,0,0,44.860577,-93.34191,828.29987
2.502,0,24.805285,1635.75,0,-14,2.9106,29.5301,78.8,0,82.4,-2.3206038,26.787893,86.01134,0,0,44.860577,-93.34191,828.29987
2.752,0,25.100586,1635,0,-14.5,3.155355,29.5301,78.8,0,82.4,-2.175566,29.040512,93.28688,0,0,44.860577,-93.34191,828.29987
3.001,0,24.805285,1617.75,0,-15.5,3.196368,29.5301,78.8,0,82.4,-2.3206038,29.417976,95.50706,0,0,44.860577,-93.34191,828.29987
3.252,0,24.214682,1611.75,0,-15.5,2.948967,29.5301,78.8,0,82.4,-2.6106794,27.141006,88.44277,0,0,44.86058,-93.34191,828.5291
3.505,0,25.395885,1620.5,0,-16,3.093174,29.5301,78.8,0,82.4,-2.0305283,28.468224,92.26679,0,0,44.86058,-93.34191,828.5291
3.752,0,24.509983,1644.5,0,-16,3.074652,29.5301,78.8,0,82.4,-2.4656415,28.297756,90.37581,0,0,44.86058,-93.34191,828.5291
4.002,0,26.87239,1569.75,0,-15,2.796822,29.5301,78.8,0,82.4,-1.3053397,25.74073,86.12405,0,0,44.86058,-93.34191,828.5291
4.251,0,24.805285,1581.75,0,-15,3.032316,29.5301,78.8,0,82.4,-2.3206038,27.908113,92.66734,0,0,44.86058,-93.34191,828.6631
4.501,0,24.805285,1567.75,0,-15.5,2.776977,29.5301,78.8,0,82.4,-2.3206038,25.558084,85.62204,0,0,44.86058,-93.34191,828.6631
4.751,0,25.691187,1572.75,0,-14.5,3.011148,29.5301,78.8,0,82.4,-1.8854905,27.713293,92.547035,0,0,44.86058,-93.34191,828.6631
5.002,0,24.805285,1644.75,0,-15,3.093174,29.5301,78.8,0,82.4,-2.3206038,28.468224,90.90642,0,0,44.86058,-93.34191,828.6631
5.252,0,26.87239,1564.75,0,-14.5,2.720088,29.5301,78.8,0,82.4,-1.3053397,25.034504,84.028786,0,0,44.86058,-93.34191,828.6631
5.501,0,24.805285,1591.5,0,-15,3.032316,29.5301,78.8,0,82.4,-2.3206038,27.908113,92.09964,0,0,44.86058,-93.34191,828.6631
5.752,0,24.805285,1640,0,-15,2.970135,29.5301,78.8,0,82.4,-2.3206038,27.335827,87.543205,0,0,44.86058,-93.34191,828.6631
6.001,0,24.805285,1645.25,0,-16,3.053484,29.5301,78.8,0,82.4,-2.3206038,28.102936,89.712685,0,0,44.86058,-93.34191,828.6631
6.252,0,24.509983,1628.25,0,-16.5,2.98998,29.5301,78.8,0,82.4,-2.4656415,27.518473,88.76409,0,0,44.86058,-93.34191,828.6631
6.502,0,24.509983,1633,0,-16.5,2.98998,29.5301,78.8,0,82.4,-2.4656415,27.518473,88.5059,0,0,44.86058,-93.34191,828.6631
6.751,0,24.805285,1629.25,0,-15.5,3.093174,29.5301,78.8,0,82.4,-2.3206038,28.468224,91.77126,0,0,44.86058,-93.34191,828.6631
7.002,0,23.91938,1633.25,0,-16,2.948967,29.5301,78.8,0,82.4,-2.755717,27.141006,87.27851,0,0,44.86058,-93.34191,828.6631
7.252,0,24.805285,1617.75,0,-15,3.011148,29.5301,78.8,0,82.4,-2.3206038,27.713293,89.97271,0,0,44.860584,-93.3419,829.9299
7.505,0,24.805285,1599,0,-15.5,2.98998,29.5301,78.8,0,82.4,-2.3206038,27.518473,90.387825,0,0,44.860584,-93.3419,829.9299
7.752,0,24.214682,1638,0,-17,2.9106,29.5301,78.8,0,82.4,-2.6106794,26.787893,85.89319,0,0,44.860584,-93.3419,829.9299
8.001,0,24.509983,1624.25,0,-15.5,2.892078,29.5301,78.8,0,82.4,-2.4656415,26.617424,86.06909,0,0,44.860584,-93.3419,829.9299
8.252,0,23.91938,1636.75,0,-16,2.816667,29.5301,78.8,0,82.4,-2.755717,25.923374,83.18466,0,0,44.860584,-93.3419,829.99475
8.502,0,24.214682,1648.25,0,-16,2.948967,29.5301,78.8,0,82.4,-2.6106794,27.141006,86.48423,0,0,44.860584,-93.3419,829.99475
8.752,0,23.62408,1683.5,0,-17.5,2.929122,29.5301,78.8,0,82.4,-2.9007547,26.95836,84.10357,0,0,44.860584,-93.3419,829.99475
9.001,0,23.62408,1667.75,0,-17.5,2.970135,29.5301,78.8,0,82.4,-2.9007547,27.335827,86.086555,0,0,44.860584,-93.3419,829.99475
9.263,0,23.32878,1676.25,0,-17.5,2.872233,29.5301,78.8,0,82.4,-3.0457926,26.43478,82.82682,0,0,44.860584,-93.3419,830.5054
9.502,0,22.738176,1657.25,0,-17.5,2.73861,29.5301,78.8,0,82.4,-3.335868,25.204971,79.87894,0,0,44.860584,-93.3419,830.5054
9.752,0,22.738176,1668.5,0,-17.5,2.816667,29.5301,78.8,0,82.4,-3.335868,25.923374,81.60174,0,0,44.860584,-93.3419,830.5054
10.008,0,19.785168,1666,0,-17.5,1.66698,29.5301,78.8,0,82.4,-4.7862453,15.342156,48.366592,0,0,44.860584,-93.3419,830.5054
10.252,0,11.81204,1700.75,0,-5.5,1.024002,29.5301,78.8,0,82.4,-8.702264,9.332407,28.819553,0,0,44.860584,-93.3419,830.80054
10.502,0,9.744933,1696.5,0,-2.5,0.906255,29.5301,78.8,0,82.4,-9.717528,8.257032,25.56255,0,0,44.860584,-93.3419,830.80054
10.751,0,7.973127,1669.75,0,6.5,0.849366,29.5301,78.8,0,82.4,-10.587755,7.7387075,24.341707,0,0,44.860584,-93.3419,830.80054
11.010,0,7.973127,1639.25,0,15,0.877149,29.5301,78.8,0,82.4,-10.587755,7.9918427,25.60565,0,0,44.860584,-93.3419,830.80054
11.254,0,7.677826,1633,0,16,0.887733,29.5301,78.8,0,82.4,-10.732793,8.088275,26.0138,0,0,44.860584,-93.3419,830.80054
11.501,0,7.677826,1621.5,0,17,0.895671,29.5301,78.8,0,82.4,-10.732793,8.1606,26.432558,0,0,44.860584,-93.3419,830.80054
11.751,0,7.973127,1601.75,0,19.5,0.895671,29.5301,78.8,0,82.4,-10.587755,8.1606,26.758478,0,0,44.860584,-93.3419,830.80054
12.001,0,7.382525,1598.5,0,19.5,0.887733,29.5301,78.8,0,82.4,-10.8778305,8.088275,26.575249,0,0,44.860584,-93.3419,830.80054
12.252,0,7.677826,1595,0,19.5,0.877149,29.5301,78.8,0,82.4,-10.732793,7.9918427,26.316027,0,0,44.860584,-93.3419,830.90344
12.502,0,7.677826,1586.5,0,21,0.887733,29.5301,78.8,0,82.4,-10.732793,8.088275,26.77626,0,0,44.860584,-93.3419,830.90344
12.752,0,7.382525,1583.75,0,20,0.906255,29.5301,78.8,0,82.4,-10.8778305,8.257032,27.382393,0,0,44.860584,-93.3419,830.90344
13.001,0,7.677826,1580.25,0,21.5,0.895671,29.5301,78.8,0,82.4,-10.732793,8.1606,27.12254,0,0,44.860584,-93.3419,830.90344
13.252,0,7.677826,1575.5,0,22,0.906255,29.5301,78.8,0,82.4,-10.732793,8.257032,27.52578,0,0,44.860584,-93.3419,830.90344
13.501,0,7.973127,1575.75,0,21.5,0.915516,29.5301,78.8,0,82.4,-10.587755,8.341411,27.802654,0,0,44.860584,-93.3419,830.90344
13.752,0,7.677826,1577.25,0,21.5,0.895671,29.5301,78.8,0,82.4,-10.732793,8.1606,27.174128,0,0,44.860584,-93.3419,830.90344
14.010,0,7.973127,1578,0,21.5,0.915516,29.5301,78.8,0,82.4,-10.587755,8.341411,27.76301,0,0,44.860584,-93.3419,830.90344
14.252,0,7.677826,1581,0,21.5,0.895671,29.5301,78.8,0,82.4,-10.732793,8.1606,27.109673,0,0,44.860584,-93.3419,830.90344
14.502,0,7.677826,1584.75,0,21,0.924777,29.5301,78.8,0,82.4,-10.732793,8.425789,27.924402,0,0,44.860584,-93.3419,830.90344
14.751,0,8.268428,1584.5,0,20,0.915516,29.5301,78.8,0,82.4,-10.442718,8.341411,27.64912,0,0,44.860584,-93.3419,830.90344
15.002,0,7.973127,1584.5,0,20,0.924777,29.5301,78.8,0,82.4,-10.587755,8.425789,27.928808,0,0,44.860584,-93.3419,830.90344
15.251,0,7.973127,1586,0,20,0.924777,29.5301,78.8,0,82.4,-10.587755,8.425789,27.902393,0,0,44.860584,-93.3419,830.90344
15.504,0,7.973127,1587.75,0,19.5,0.924777,29.5301,78.8,0,82.4,-10.587755,8.425789,27.87164,0,0,44.860584,-93.3419,830.90344
15.752,0,7.973127,1590.75,0,20,0.915516,29.5301,78.8,0,82.4,-10.587755,8.341411,27.540487,0,0,44.860584,-93.3419,830.90344
16.001,0,7.973127,1591.25,0,19.5,0.924777,29.5301,78.8,0,82.4,-10.587755,8.425789,27.810335,0,0,44.860584,-93.3419,830.90344
16.251,0,7.677826,1592.75,0,19,0.906255,29.5301,78.8,0,84.2,-10.732793,8.257032,27.227667,0,0,44.860584,-93.3419,830.90344
16.501,0,7.677826,1589.5,0,19.5,0.915516,29.5301,78.8,0,84.2,-10.732793,8.341411,27.562145,0,0,44.860584,-93.3419,830.90344
16.751,0,7.677826,1587.75,0,19.5,0.915516,29.5301,78.8,0,84.2,-10.732793,8.341411,27.592525,0,0,44.860584,-93.3419,830.90344
17.001,0,7.677826,1591.75,0,19.5,0.915516,29.5301,78.8,0,84.2,-10.732793,8.341411,27.523186,0,0,44.860584,-93.3419,830.90344
17.252,0,7.677826,1592,0,19.5,0.906255,29.5301,78.8,0,84.2,-10.732793,8.257032,27.240494,0,0,44.860584,-93.3419,830.90344
17.502,0,7.973127,1590,0,19.5,0.906255,29.5301,78.8,0,84.2,-10.587755,8.257032,27.27476,0,0,44.860584,-93.3419,830.90344
17.752,0,7.973127,1587.75,0,19.5,0.895671,29.5301,78.8,0,84.2,-10.587755,8.1606,26.994421,0,0,44.860584,-93.3419,830.90344
18.002,0,7.973127,1581,0,20,0.951237,29.5301,78.8,0,84.2,-10.587755,8.66687,28.791513,0,0,44.860584,-93.3419,830.90344
18.251,0,8.268428,1581.25,0,21,1.024002,29.5301,78.8,0,84.2,-10.442718,9.3298435,30.989023,0,0,44.860584,-93.3419,830.90344
18.501,0,8.85903,1560,0,18.5,1.024002,29.5301,78.8,0,84.2,-10.152641,9.3298435,31.41115,0,0,44.860584,-93.3419,830.90344
18.752,0,9.154331,1496,0,27,1.051785,29.5301,78.8,0,84.2,-10.007604,9.582979,33.643642,0,0,44.860584,-93.3419,830.90344
19.002,0,9.449632,1472.25,0,26.5,1.080891,29.5301,78.8,0,84.2,-9.862566,9.848168,35.132412,0,0,44.860584,-93.3419,830.90344
19.251,0,10.040234,1448,0,26.5,1.109997,29.5301,78.8,0,84.2,-9.572491,10.113358,36.682663,0,0,44.860584,-93.3419,830.90344
19.502,0,10.630836,1451.25,0,26.5,1.149687,29.5301,78.8,0,84.2,-9.282415,10.474979,37.909233,0,0,44.860584,-93.3419,830.90344
19.752,0,10.630836,1461.5,0,26.5,1.169532,29.5301,78.8,0,84.2,-9.282415,10.65579,38.293133,0,0,44.860584,-93.3419,830.90344
20.002,0,10.630836,1481.5,0,26.5,1.160271,29.5301,78.8,0,84.2,-9.282415,10.571412,37.47705,0,0,44.860584,-93.3419,830.90344
20.251,0,10.630836,1522.25,0,27,1.1907,29.5301,78.8,0,84.2,-9.282415,10.848655,37.43036,0,0,44.860584,-93.3419,830.90344
20.501,0,10.926137,1542.5,0,26.5,1.210545,29.5301,78.8,0,84.2,-9.137378,11.029466,37.554623,0,0,44.860584,-93.3419,830.90344
20.752,0,10.335535,1590.75,0,18.5,1.1907,29.5301,78.8,0,82.4,-9.427453,10.848655,35.818554,0,0,44.860584,-93.3419,830.90344
21.002,0,10.040234,1620.5,0,16.5,1.1907,29.5301,78.8,0,82.4,-9.572491,10.848655,35.160976,0,0,44.860584,-93.3419,830.90344
21.252,0,10.335535,1636.25,0,12.5,1.210545,29.5301,78.8,0,82.4,-9.427453,11.029466,35.402905,0,0,44.860577,-93.3419,833.96643
21.502,0,10.040234,1636.5,0,13,1.199961,29.5301,78.8,0,82.4,-9.572491,10.933034,35.08801,0,0,44.860577,-93.3419,833.96643
21.752,0,10.630836,1635.75,0,13,1.180116,29.5301,78.8,0,82.4,-9.282415,10.752223,34.523544,0,0,44.860577,-93.3419,833.96643
22.001,0,10.040234,1637.5,0,13,1.1907,29.5301,78.8,0,82.4,-9.572491,10.848655,34.795948,0,0,44.860577,-93.3419,833.96643
22.252,0,10.335535,1635,0,13,1.180116,29.5301,78.8,0,82.4,-9.427453,10.752223,34.539383,0,0,44.860577,-93.3419,832.948
22.502,0,11.81204,1456.5,0,16.5,1.532034,29.5301,78.8,0,82.4,-8.702264,13.958603,50.334473,0,0,44.860577,-93.3419,832.948
22.760,0,13.583846,1261.5,0,20.5,1.50822,29.5301,78.8,0,82.4,-7.832038,13.74163,57.211727,0,0,44.860577,-93.3419,832.948
23.003,0,15.946254,1023.25,0,6.5,1.353429,29.5301,78.8,0,82.4,-6.671736,12.331305,63.293827,0,0,44.860577,-93.3419,832.948
23.251,0,16.241554,1015,0,14,1.139103,29.5301,78.8,0,82.4,-6.526698,10.381715,53.72014,0,0,44.860577,-93.3419,832.948
23.502,0,15.650953,1025,0,9.5,1.109997,29.5301,78.8,0,82.4,-6.816774,10.11521,51.830463,0,0,44.860577,-93.3419,832.948
23.753,0,15.355652,1038.25,0,7.5,1.139103,29.5301,78.8,0,82.4,-6.9618115,10.380447,52.51075,0,0,44.860577,-93.3419,832.948
24.002,0,15.355652,1031.25,0,9,1.131165,29.5301,78.8,0,82.4,-6.9618115,10.30811,52.49877,0,0,44.860577,-93.3419,832.948
24.252,0,15.060351,1023.25,0,8.5,1.120581,29.5301,78.8,0,82.4,-7.106849,10.211659,52.41416,0,0,44.86058,-93.341896,830.7216
24.502,0,15.060351,1023.5,0,9,1.131165,29.5301,78.8,0,82.4,-7.106849,10.307796,52.89468,0,0,44.86058,-93.341896,830.7216
24.754,0,15.060351,1021.75,0,9,1.120581,29.5301,78.8,0,82.4,-7.106849,10.211348,52.48951,0,0,44.86058,-93.341896,830.7216
25.001,0,15.060351,1022.25,0,9.5,1.120581,29.5301,78.8,0,82.4,-7.106849,10.211348,52.463833,0,0,44.86058,-93.341896,830.7216
25.251,0,15.355652,1018,0,9,1.131165,29.5301,78.8,0,82.4,-6.9618115,10.307796,53.180458,0,0,44.86058,-93.341896,830.7216
25.502,0,15.355652,1013.75,0,10,1.131165,29.5301,78.8,0,82.4,-6.9618115,10.307796,53.403408,0,0,44.86058,-93.341896,830.7216
25.752,0,15.355652,1016.25,0,10,1.120581,29.5301,78.8,0,82.4,-6.9618115,10.211348,52.773582,0,0,44.86058,-93.341896,830.7216
26.001,0,15.060351,1009.5,0,10,1.109997,29.5301,78.8,0,82.4,-7.106849,10.114901,52.62467,0,0,44.86058,-93.341896,830.7216
26.252,0,15.355652,1009.75,0,10.5,1.109997,29.5301,78.8,0,82.4,-6.9618115,10.114901,52.61164,0,0,44.860584,-93.341896,823.94696
26.502,0,15.060351,1010.5,0,10.5,1.042524,29.5301,78.8,0,82.4,-7.106849,9.50005,49.37688,0,0,44.860584,-93.341896,823.94696
26.752,0,14.174448,1041,0,6,0.960498,29.5301,78.8,0,82.4,-7.541962,8.752584,44.159042,0,0,44.860584,-93.341896,823.94696
27.002,0,13.583846,1036.25,0,7.5,0.97902,29.5301,78.8,0,82.4,-7.832038,8.920822,45.214153,0,0,44.860584,-93.341896,823.94696
27.252,0,13.288545,1025,0,8.5,0.996219,29.5301,78.8,0,82.4,-7.9770756,9.080033,46.526207,0,0,44.86058,-93.341896,824.0927
27.502,0,13.583846,1023.75,0,9.5,1.006803,29.5301,78.8,0,82.4,-7.832038,9.176501,47.077923,0,0,44.86058,-93.341896,824.0927
27.752,0,12.993244,1024.25,0,9.5,0.988281,29.5301,78.8,0,82.4,-8.122113,9.007683,46.189278,0,0,44.86058,-93.341896,824.0927
28.002,0,12.993244,1020.25,0,9.5,0.996219,29.5301,78.8,0,82.4,-8.122113,9.080033,46.74282,0,0,44.86058,-93.341896,824.0927
28.251,0,12.993244,1016.75,0,10.5,0.988281,29.5301,78.8,0,84.2,-8.122113,9.007683,46.52999,0,0,44.86058,-93.341896,824.0927
28.502,0,13.583846,1018.5,0,10,0.996219,29.5301,78.8,0,84.2,-7.832038,9.080033,46.823135,0,0,44.86058,-93.341896,824.0927
28.752,0,13.288545,1018,0,10,0.97902,29.5301,78.8,0,84.2,-7.9770756,8.923273,46.03737,0,0,44.86058,-93.341896,824.0927
29.002,0,13.288545,1013.25,0,10.5,0.988281,29.5301,78.8,0,84.2,-7.9770756,9.007683,46.690716,0,0,44.86058,-93.341896,824.0927
29.252,0,12.993244,1012.75,0,10.5,0.97902,29.5301,78.8,0,84.2,-8.122113,8.923546,46.277435,0,0,44.860588,-93.3419,821.7189
29.501,0,12.993244,1007,0,11,0.960498,29.5301,78.8,0,84.2,-8.122113,8.754722,45.66116,0,0,44.860588,-93.3419,821.7189
29.753,0,13.288545,1008.75,0,11,0.969759,29.5301,78.8,0,84.2,-7.9770756,8.839133,46.021442,0,0,44.860588,-93.3419,821.7189
30.002,0,12.993244,1003.5,0,11,0.951237,29.5301,78.8,0,84.2,-8.122113,8.67031,45.378624,0,0,44.860588,-93.3419,821.7189
30.252,0,12.993244,1003.75,0,11.5,0.951237,29.5301,78.8,0,84.2,-8.122113,8.67031,45.36732,0,0,44.86058,-93.341896,822.6125
30.501,0,13.288545,1005,0,11.5,0.960498,29.5301,78.8,0,84.2,-7.9770756,8.754722,45.75203,0,0,44.86058,-93.341896,822.6125
30.751,0,12.697943,1005.25,0,11.5,0.960498,29.5301,78.8,0,84.2,-8.267151,8.754722,45.74065,0,0,44.86058,-93.341896,822.6125
31.002,0,12.993244,1000.25,0,12.5,0.951237,29.5301,78.8,0,84.2,-8.122113,8.67031,45.526066,0,0,44.86058,-93.341896,822.6125
31.252,0,12.993244,997.25,0,12.5,0.941976,29.5301,78.8,0,84.2,-8.122113,8.588258,45.230885,0,0,44.860577,-93.341896,823.1319
31.502,0,12.993244,997.75,0,12.5,0.934038,29.5301,78.8,0,84.2,-8.122113,8.515884,44.82725,0,0,44.860577,-93.341896,823.1319
31.752,0,13.288545,996.25,0,12.5,0.934038,29.5301,78.8,0,84.2,-7.9770756,8.515884,44.894745,0,0,44.860577,-93.341896,823.1319
32.001,0,12.993244,992.75,0,13,0.934038,29.5301,78.8,0,84.2,-8.122113,8.515884,45.053024,0,0,44.860577,-93.341896,823.1319
32.251,0,12.993244,991.75,0,13.5,0.941976,29.5301,78.8,0,84.2,-8.122113,8.588258,45.481724,0,0,44.860577,-93.341896,822.42914
32.502,0,13.288545,992.75,0,13,0.941976,29.5301,78.8,0,84.2,-7.9770756,8.588258,45.435913,0,0,44.860577,-93.341896,822.42914
32.752,0,12.993244,994.25,0,13,0.934038,29.5301,78.8,0,84.2,-8.122113,8.515884,44.985054,0,0,44.860577,-93.341896,822.42914
33.002,0,13.288545,995,0,13,0.934038,29.5301,78.8,0,84.2,-7.9770756,8.515884,44.951145,0,0,44.860577,-93.341896,822.42914
33.252,0,12.993244,992.5,0,14,0.941976,29.5301,78.8,0,84.2,-8.122113,8.588258,45.447357,0,0,44.860573,-93.341896,822.5301
33.502,1.0104655,12.993244,997.25,0.6213712,13,0.924777,29.5301,78.8,0,84.2,-8.122113,8.43145,44.40504,2.515131E-05,0.0025286688,44.860573,-93.341896,822.5301
33.752,2.041187,12.993244,993.75,1.2427424,15,0.915516,29.5301,78.8,0,84.2,-8.122113,8.347779,44.119225,0.0001274754,0.012751541,44.860573,-93.341896,822.5301
34.002,3.0520406,13.288545,992.75,1.8641136,14,0.924777,29.5301,78.8,0,84.2,-7.9770756,8.37442,44.304607,0.00028570433,0.028431427,44.860573,-93.341896,822.5301
34.252,2.0747643,15.946254,1005.25,2.4854848,16.5,1.813833,29.5301,78.8,5.882353,84.2,-6.671736,16.425364,85.81733,0.00046812455,0.0462411,44.860577,-93.341896,822.7011
34.502,2.0607402,19.194565,1121.25,2.4854848,16,1.827063,29.5301,78.8,0,84.2,-5.0763206,16.537144,77.46261,0.0005695532,0.05598796,44.860577,-93.341896,822.7011
34.752,6.009224,13.288545,1248,3.1068559,15,0.783216,29.5301,78.8,7.0588236,84.2,-7.9770756,7.0888433,29.832859,0.0008312844,0.081339724,44.860577,-93.341896,822.7011
35.002,1.7315353,24.509983,1429.5,3.7282271,12.5,3.238704,29.5301,78.8,6.6666665,84.2,-2.4656415,29.521856,108.46599,0.0011428486,0.11008015,44.860577,-93.341896,822.7011
35.251,2.3196197,25.395885,1667.25,4.3495984,11,2.816667,29.5301,78.8,5.490196,84.2,-2.0305283,25.710173,80.991295,0.0013193785,0.12615888,44.86057,-93.341896,822.6936
35.503,10.604317,12.993244,1612.5,5.592341,13,0.792477,29.5301,78.8,0,84.2,-8.122113,7.230754,23.551466,0.0017596028,0.16744027,44.86057,-93.341896,822.6936
35.751,6.84874,11.81204,1256.25,6.2137117,24.5,1.365336,29.5301,78.8,4.7058825,84.2,-8.702264,12.439792,52.008114,0.002256686,0.21353437,44.86057,-93.341896,822.6936
36.001,5.609444,14.76505,1276.5,6.2137117,19.5,1.66698,29.5301,78.8,4.7058825,84.2,-7.251887,15.188117,62.49096,0.0025099085,0.2364849,44.86057,-93.341896,822.6936
36.252,3.6064715,20.966372,1536.5,6.2137117,14.5,2.610279,29.5301,78.8,5.490196,84.2,-4.2060943,23.623339,80.750046,0.0030171694,0.28085563,44.860558,-93.34191,823.0261
36.502,8.267879,19.489866,1672.25,6.835083,13.5,1.242297,29.5301,78.8,3.9215686,84.2,-4.931283,11.335022,35.60043,0.0035903913,0.33113667,44.860558,-93.34191,823.0261
36.751,7.0854683,15.355652,1590,6.835083,20.5,1.450008,29.5301,78.8,4.3137255,84.2,-6.9618115,13.226589,43.69028,0.0038852964,0.3569651,44.860558,-93.34191,823.0261
37.002,5.317542,17.71806,1542.75,7.4564543,18,2.110185,29.5301,78.8,5.882353,84.2,-5.8015094,19.226227,65.45346,0.0045070383,0.41006246,44.860558,-93.34191,823.0261
37.252,4.4632554,19.489866,1606,7.4564543,17,2.5137,29.5301,78.8,5.882353,84.2,-4.931283,22.906212,74.91035,0.004807786,0.43475997,44.860535,-93.34194,823.1132
37.502,4.1448836,22.147575,1809.25,8.077826,14,2.929122,29.5301,78.8,5.490196,84.2,-3.6259434,26.721127,77.56937,0.005459179,0.48656073,44.860535,-93.34194,823.1132
37.752,5.039612,20.080467,1876.25,8.699197,16,2.594403,29.5301,78.8,5.490196,84.2,-4.6412077,23.667627,66.25186,0.006160417,0.5419844,44.860535,-93.34194,823.1132
38.002,5.0450473,19.785168,1902.5,9.320568,17,2.776977,29.5301,78.8,5.490196,84.2,-4.7862453,25.33085,69.9293,0.006911096,0.5999087,44.860535,-93.34194,823.1132
38.252,5.0450473,19.785168,1923.25,9.320568,17,2.776977,29.5301,78.8,5.490196,84.2,-4.7862453,25.33085,69.17483,0.0072893463,0.62865096,44.860523,-93.34199,823.353
38.502,5.6119747,19.194565,1930,9.941939,18,2.663199,29.5301,78.8,5.490196,84.2,-5.0763206,24.29003,66.10051,0.008124765,0.69158924,44.860523,-93.34199,823.353
38.752,9.458599,16.536856,1900,10.563311,18.5,1.678887,29.5301,78.8,4.3137255,84.2,-6.3816605,15.312492,42.32786,0.00900954,0.75892365,44.860523,-93.34199,823.353
39.001,9.91252,14.76505,1831.25,10.563311,27.5,1.602153,29.5301,78.8,0,84.2,-7.251887,14.611291,41.905888,0.0094395,0.7922469,44.860523,-93.34199,823.353
39.252,17.192188,10.630836,1601.75,11.184682,20,0.97902,29.5301,78.8,0,84.2,-9.282415,8.920006,29.248558,0.010382637,0.86729515,44.86052,-93.34205,823.94806
39.502,16.752459,9.744933,1446.25,11.184682,20,1.006803,29.5301,78.8,0,84.2,-9.717528,9.154144,33.24363,0.011324336,0.94152045,44.86052,-93.34205,823.94806
39.752,16.586987,10.040234,1357.5,11.184682,18.5,1.014741,29.5301,78.8,0,84.2,-9.572491,9.245465,35.770332,0.0117729595,0.97662354,44.86052,-93.34205,823.94806
40.002,16.586987,10.630836,1276.75,11.184682,18,1.014741,29.5301,78.8,0,84.2,-9.282415,9.245465,38.032684,0.012713343,1.0496961,44.86052,-93.34205,823.94806
40.252,16.586987,10.630836,1297.25,11.184682,17.5,1.014741,29.5301,78.8,0,84.2,-9.282415,9.245465,37.431667,0.013621454,1.119451,44.860516,-93.34213,824.4083
40.502,15.52381,10.630836,1282.75,10.563311,17,1.024002,29.5301,78.8,0,84.2,-9.282415,9.3298435,38.200268,0.014075951,1.1540263,44.860516,-93.34213,824.4083
40.751,15.665488,11.221438,1254.5,10.563311,17,1.014741,29.5301,78.8,0,84.2,-8.99234,9.245465,38.707237,0.014931663,1.2187458,44.860516,-93.34213,824.4083
41.002,14.743989,10.926137,1245.25,9.941939,17,1.014741,29.5301,78.8,0,84.2,-9.137378,9.245465,38.994762,0.01579577,1.2833306,44.860516,-93.34213,824.4083
41.252,14.610645,11.221438,1251.5,9.941939,16,1.024002,29.5301,78.8,0,84.2,-8.99234,9.3298435,39.15413,0.016204158,1.3135273,44.860516,-93.34221,825.27936
41.502,14.743989,11.221438,1258,9.941939,17,1.014741,29.5301,78.8,0,84.2,-8.99234,9.245465,38.599545,0.01704141,1.3750663,44.860516,-93.34221,825.27936
41.752,14.743989,10.926137,1256.25,9.941939,17,1.014741,29.5301,78.8,0.78431374,84.2,-9.137378,9.245465,38.653316,0.017810643,1.4311107,44.860516,-93.34221,825.27936
42.002,14.860235,10.926137,1246.75,9.941939,17,1.006803,29.5301,78.8,4.7058825,84.2,-9.137378,9.173141,38.64317,0.018214913,1.460402,44.860516,-93.34221,825.27936
42.252,9.479161,13.879147,1295,9.941939,19.5,1.578339,29.5301,78.8,4.7058825,84.2,-7.6870003,14.380495,58.32277,0.019049957,1.5174115,44.860516,-93.34227,825.36957
42.502,7.1438026,19.489866,1454.5,9.941939,16,2.094309,29.5301,78.8,4.7058825,84.2,-4.931283,19.08158,68.90245,0.019884555,1.5700259,44.860516,-93.34227,825.36957
