Time (sec), Instant fuel economy (MPG), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Engine oil temperature (°F), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg)
0.000,6.813136,31.37255,158,12.993244,1223,3.1068559,6.6666665,68,0,149,69.8,1.2085248,-8.122113,6.2523994,26.85062,0.0006179539,0.77089405,45.03612,-92.98505
1.000,12.611052,54.901962,158,14.174448,1107.75,4.3495984,10.980392,68,5.882353,149,69.8,1.000088,-7.541962,4.729013,22.421404,0.0014956084,1.7128803,45.036102,-92.98505
2.005,3.674378,11.372549,158,8.268428,1290.75,4.9709697,3.5294118,68,0,149,69.8,0.5284091,-10.442718,18.549402,75.47826,0.002831589,2.2635417,45.03608,-92.98503
3.003,17.625685,21.960785,158,7.677826,935,6.2137117,3.9215686,68,0,149,69.8,0.4905549,-10.732793,4.8336787,27.1519,0.005147267,3.7244706,45.036064,-92.985
4.005,17.625685,21.960785,158,7.677826,935,6.2137117,3.9215686,68,0,149,69.8,0.4905549,-10.732793,4.8336787,27.1519,0.005147267,3.7244706,45.03606,-92.98498
5.010,14.312112,27.450981,158,8.268428,844.5,4.9709697,3.5294118,68,0,150.8,69.8,0.44600546,-10.442718,4.762226,29.61723,0.0061511523,4.251632,45.036064,-92.984955
6.003,14.312112,27.450981,158,8.268428,844.5,4.9709697,3.5294118,68,0,150.8,69.8,0.44600546,-10.442718,4.762226,29.61723,0.0061511523,4.251632,45.036064,-92.98495
7.021,7.413615,45.882355,158,12.993244,733.5,3.1068559,3.9215686,68,0,150.8,69.8,0.6330279,-8.122113,5.7459745,41.14316,0.007862662,4.6416974,45.036068,-92.98494
8.018,7.413615,45.882355,158,12.993244,733.5,3.1068559,3.9215686,68,0,150.8,69.8,0.6330279,-8.122113,5.7459745,41.14316,0.007862662,4.6416974,45.036068,-92.98495
9.011,0,39.60784,158,12.993244,702.5,0,3.9215686,68,0,150.8,69.8,0.5498235,-8.122113,5.556229,41.54013,0.007862662,4.1853504,45.036076,-92.98496
