Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Ignition timing advance for #1 cylinder (deg), Mass air flow rate (lb/min), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.251,0,0,0,0,0,1.678887,0,0,0,0,15.389595,0,0,0,0,0,0
0.502,0,0,0,0,0,1.678887,0,0,0,0,15.389595,0,0,0,0,0,0
0.751,0,0,0,0,0,1.678887,0,0,0,0,15.389595,0,0,0,44.860565,-93.34188,821.2219
1.001,0,0,0,0,0,1.678887,0,0,0,0,15.389595,0,0,0,44.860565,-93.34188,821.2219
1.251,0,0,0,0,0,1.678887,0,0,0,0,15.389595,0,0,0,44.860565,-93.34188,821.2219
1.501,0,0,0,0,0,1.678887,0,0,0,0,15.389595,0,0,0,44.860565,-93.34188,821.2219
1.751,0,20.67107,1089.25,0,-6,1.639197,87.8,0,89.6,-4.2060943,15.025775,72.450836,0,0,44.86057,-93.34187,820.3647
2.001,0,20.67107,1097,0,-6,1.625967,87.8,0,89.6,-4.2060943,14.904502,71.35837,0,0,44.86057,-93.34187,820.3647
2.251,0,21.261671,1092.75,0,-6,1.678887,87.8,0,89.6,-3.916019,15.358473,73.81783,0,0,44.86057,-93.34187,820.3647
2.501,0,20.67107,1090.5,0,-6.5,1.625967,87.8,0,89.6,-4.2060943,14.904502,71.7837,0,0,44.86057,-93.34187,820.3647
2.752,0,20.67107,1087.5,0,-5.5,1.652427,87.8,0,89.6,-4.2060943,15.147048,73.153114,0,0,44.86057,-93.34187,820.3647
3.001,0,20.966372,1085.5,0,-6.5,1.639197,87.8,0,89.6,-4.0610566,15.025775,72.701126,0,0,44.86057,-93.34187,820.3647
3.251,0,21.261671,1088,0,-5.5,1.678887,87.8,0,91.4,-3.916019,15.358473,74.14011,0,0,44.86057,-93.34187,820.3647
3.502,0,20.67107,1087.75,0,-6,1.61406,87.8,0,91.4,-4.2060943,14.795356,71.43818,0,0,44.86057,-93.34187,820.3647
3.750,0,20.966372,1090.25,0,-5.5,1.639197,87.8,0,91.4,-4.0610566,14.995388,72.238,0,0,44.86057,-93.34187,820.3647
4.001,0,21.261671,1090.5,0,-5.5,1.678887,87.8,0,91.4,-3.916019,15.358473,73.97014,0,0,44.86057,-93.34187,820.3647
4.251,0,20.375769,1078.25,0,-5.5,1.590246,87.8,0,91.4,-4.351132,14.547584,70.86071,0,0,44.86057,-93.34187,820.3647
4.501,0,20.67107,1087.25,0,-5.5,1.61406,87.8,0,91.4,-4.2060943,14.765434,71.3265,0,0,44.86057,-93.34187,820.3647
4.751,0,20.966372,1090,0,-6,1.602153,87.8,0,91.4,-4.0610566,14.656509,70.6217,0,0,44.86057,-93.34187,820.3647
5.002,0,20.375769,1096,0,-5.5,1.602153,87.8,0,91.4,-4.351132,14.656509,70.23508,0,0,44.86057,-93.34187,820.3647
5.251,0,20.67107,1091.25,0,-6,1.652427,87.8,0,91.4,-4.2060943,15.116416,72.754295,0,0,44.86057,-93.34187,820.3647
5.505,0,20.966372,1090.25,0,-5.5,1.66698,87.8,0,91.4,-4.0610566,15.249547,73.46237,0,0,44.86057,-93.34187,820.3647
5.752,0,20.375769,1103.75,0,-5.5,1.61406,87.8,0,91.4,-4.351132,14.765434,70.26023,0,0,44.86059,-93.341866,818.94293
6.001,0,20.080467,1075.5,0,-5.5,1.652427,87.8,0,91.4,-4.49617,15.116416,73.81974,0,0,44.86059,-93.341866,818.94293
6.252,0,20.67107,1088.5,0,-6,1.639197,87.8,0,91.4,-4.2060943,15.025775,72.500755,0,0,44.86059,-93.341866,818.94293
6.502,0,20.375769,1098,0,-6.5,1.61406,87.8,0,91.4,-4.351132,14.765434,70.628174,0,0,44.86059,-93.341866,818.94293
6.751,0,20.080467,1088.5,0,-6,1.602153,87.8,0,91.4,-4.49617,14.656509,70.71901,0,0,44.860596,-93.341866,818.56586
7.001,0,20.966372,1091,0,-5,1.625967,87.8,0,91.4,-4.0610566,14.87436,71.605705,0,0,44.860596,-93.341866,818.56586
7.252,0,20.966372,1084.75,0,-6,1.652427,87.8,0,91.4,-4.0610566,15.116416,73.190254,0,0,44.860596,-93.341866,818.56586
7.501,0,20.375769,1081,0,-5.5,1.543941,87.8,0,91.4,-4.351132,14.123985,68.62236,0,0,44.860596,-93.341866,818.56586
7.751,0,20.966372,1091,0,-6,1.602153,87.8,0,91.4,-4.0610566,14.656509,70.55696,0,0,44.860596,-93.34186,818.7523
8.001,0.5770023,20.67107,1068.5,0.6213712,-5,1.61406,87.8,0,91.4,-4.2060943,14.765434,72.57813,2.6917178E-05,0.0109380055,44.860596,-93.34186,818.7523
8.251,0.590061,20.67107,1073.75,0.6213712,-5.5,1.578339,87.8,0,91.4,-4.2060943,14.438659,70.624886,7.732799E-05,0.030364614,44.860596,-93.34186,818.7523
8.501,1.136308,21.261671,1067.75,1.2427424,-5,1.639197,87.8,0,91.4,-3.916019,14.995388,73.76022,0.00018204826,0.06900818,44.860596,-93.34186,818.7523
8.752,1.162581,20.966372,1058.5,1.2427424,-4.5,1.602153,87.8,0,91.4,-4.0610566,14.656509,72.72333,0.0002852695,0.10460181,44.860603,-93.34186,818.3302
9.003,1.7183306,21.261671,1076.75,1.8641136,-4.5,1.625967,87.8,0,91.4,-3.916019,14.87436,72.55335,0.00036192161,0.13057263,44.860603,-93.34186,818.3302
9.251,2.147804,20.67107,1090.75,2.4854848,-5.5,1.734453,87.8,0,91.4,-4.2060943,15.866791,76.40081,0.0005481054,0.19117069,44.860603,-93.34186,818.3302
9.501,2.3761783,20.375769,1095.25,2.4854848,-5.5,1.567755,87.8,0,91.4,-4.351132,14.341836,68.7742,0.0006461092,0.2221571,44.860603,-93.34186,818.3302
9.751,3.2692425,19.194565,1100.75,3.1068559,-5.5,1.426194,87.8,0,91.4,-4.931283,13.0300665,62.171593,0.00090590573,0.30301917,44.860603,-93.34186,818.3302
10.001,4.025106,18.603964,1102.75,3.7282271,-4.5,1.390473,87.8,0,91.4,-5.221359,12.699823,60.485977,0.0011927554,0.38864228,44.860603,-93.34186,818.3302
10.251,4.290978,17.71806,1092.25,3.7282271,-4,1.304478,87.8,0,91.4,-5.6564717,11.912934,57.28366,0.0013501922,0.43474346,44.860603,-93.34186,818.3302
10.501,4.618863,17.71806,1026.5,4.3495984,-4.5,1.414287,87.8,5.490196,91.4,-5.6564717,12.911798,66.06354,0.0016845035,0.52955115,44.860603,-93.34186,818.3302
10.752,3.4309323,22.738176,1054.75,4.3495984,-10,1.903797,87.8,7.0588236,91.4,-3.1908302,17.382397,86.555405,0.0020170643,0.6154845,44.860573,-93.341866,817.98114
11.001,3.0769086,23.32878,1182.5,4.3495984,-3,2.110185,87.8,8.235294,91.4,-2.9007547,19.382385,86.08751,0.0022332612,0.6671506,44.860573,-93.341866,817.98114
