Time (sec), Instant fuel economy (MPG), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Barometric pressure (inHg), Catalyst temperature (Bank 1 Sensor 1) (°F), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Engine oil temperature (°F), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel (gal), Trip Fuel Economy (MPG), Average Trip CO2 Rate (lb/mile), Latitude (deg), Longitude (deg), Bearing (deg)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.058117,-92.95471,347.34375
0.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.058113,-92.954704,105.46875
1.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.058113,-92.954704,-1
2.963,0,20,82.4,8.268428,1599.75,0,29.5301,680.36,5.882353,62.6,0,73.4,66.2,0,-10.442718,8.920006,29.285124,0,0.0001707476,0,0,45.058113,-92.95469,-1
3.961,0,20,82.4,8.268428,1600.75,0,29.5301,681.62,5.882353,62.6,0,73.4,66.2,0.76309866,-10.442718,9.004384,29.543678,0,0.0006463687,0,0,45.05811,-92.95469,-1
4.964,0,20,82.4,8.268428,1600.75,0,29.5301,681.62,5.882353,62.6,0,73.4,66.2,0.76309866,-10.442718,9.004384,29.543678,0,0.0006463687,0,0,45.058105,-92.95468,-1
5.964,0,20.392157,82.4,7.973127,1598.75,0,29.5301,682.16,5.882353,62.6,0,73.4,66.2,0.7363051,-10.587755,8.920006,29.303442,0,0.00079245184,0,0,45.0581,-92.95467,-1
21.958,0,20.392157,82.4,7.973127,1596.25,0,29.5301,686.48,5.882353,62.6,0,73.4,66.2,0.73458016,-10.587755,8.751248,28.794079,0,0.0032145751,0,0,45.058113,-92.95463,-1
22.961,0,20.392157,82.4,7.973127,1596.25,0,29.5301,686.48,5.882353,62.6,0,73.4,66.2,0.73458016,-10.587755,8.751248,28.794079,0,0.0032145751,0,0,45.05812,-92.95463,-1
23.963,0,20.392157,82.4,7.973127,1596.25,0,29.5301,686.48,5.882353,62.6,0,73.4,66.2,0.73458016,-10.587755,8.751248,28.794079,0,0.0032145751,0,0,45.058132,-92.95463,-1
24.963,0,20.392157,82.4,7.973127,1596.25,0,29.5301,686.48,5.882353,62.6,0,73.4,66.2,0.73458016,-10.587755,8.751248,28.794079,0,0.0032145751,0,0,45.058136,-92.954636,-1
25.963,0,20.392157,82.4,7.973127,1596.25,0,29.5301,686.48,5.882353,62.6,0,73.4,66.2,0.73458016,-10.587755,8.751248,28.794079,0,0.0032145751,0,0,45.058144,-92.954636,-1
26.969,0,20,82.4,7.677826,1591.75,0,29.5301,687.38,5.882353,62.6,0,73.4,66.2,0.7070413,-10.732793,8.425789,27.8016,0,0.004071443,0,0,45.058144,-92.954636,-1
27.960,0,20,82.4,7.677826,1591.75,0,29.5301,687.38,5.882353,62.6,0,73.4,66.2,0.7070413,-10.732793,8.425789,27.8016,0,0.004071443,0,0,45.058144,-92.954636,-1
28.965,0,20,82.4,7.677826,1591.75,0,29.5301,687.38,5.882353,62.6,0,73.4,66.2,0.7070413,-10.732793,8.425789,27.8016,0,0.004071443,0,0,45.058144,-92.954636,-1
29.970,0,20,82.4,7.677826,1591.75,0,29.5301,687.38,5.882353,62.6,0,73.4,66.2,0.7070413,-10.732793,8.425789,27.8016,0,0.004071443,0,0,45.058144,-92.954636,-1
