Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Ignition timing advance for #1 cylinder (deg), Mass air flow rate (lb/min), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.501,0,0,0,0,0,2.190888,0,0,0,0,20.003647,0,0,0,0,0,0
0.752,0,0,0,0,0,2.190888,0,0,0,0,20.003647,0,0,0,0,0,0
1.001,0,0,0,0,0,2.190888,0,0,0,0,20.003647,0,0,0,44.860577,-93.341896,831.3021
1.252,0,0,0,0,0,2.190888,0,0,0,0,20.003647,0,0,0,44.860577,-93.341896,831.3021
1.502,0,0,0,0,0,2.190888,0,0,0,0,20.003647,0,0,0,44.860577,-93.341896,831.3021
1.751,0,19.194565,1572.75,0,-11,2.208087,95,0,96.8,-5.0763206,20.16068,67.3255,0,0,44.860577,-93.341896,831.3021
2.001,0,19.489866,1570.25,0,-11.5,2.304666,95,0,96.8,-4.931283,21.040554,70.375656,0,0,44.860577,-93.341896,831.3021
2.252,0,19.194565,1561.5,0,-11.5,2.239839,95,0,96.8,-5.0763206,20.448713,68.77935,0,0,44.860577,-93.341896,831.3021
2.501,0,19.489866,1561,0,-11,2.223963,95,0,96.8,-4.931283,20.305635,68.319984,0,0,44.860577,-93.341896,831.3021
2.750,0,18.899263,1571,0,-11.5,2.223963,95,0,96.8,-5.221359,20.303772,67.87887,0,0,44.860577,-93.341896,831.3021
3.002,0,18.899263,1570.5,0,-11.5,2.078433,95,0,96.8,-5.221359,18.97515,63.457264,0,0,44.860577,-93.341896,831.3021
3.250,0,18.899263,1572.5,0,-11.5,2.190888,95,0,96.8,-5.221359,20.001812,66.80559,0,0,44.860577,-93.341896,831.3021
3.502,0,19.194565,1556.25,0,-11.5,2.223963,95,0,96.8,-5.0763206,20.303772,68.522224,0,0,44.860577,-93.341896,831.3021
3.751,0,18.603964,1578.5,0,-11,2.14326,95,0,96.8,-5.3663964,19.56699,65.10487,0,0,44.860577,-93.341896,831.3021
4.002,0,18.603964,1573,0,-11.5,2.190888,95,0,96.8,-5.3663964,19.999977,66.77822,0,0,44.860577,-93.341896,831.3021
4.252,0,19.489866,1546.5,0,-11.5,2.208087,95,0,96.8,-4.931283,20.15883,68.46199,0,0,44.860577,-93.341896,831.3021
4.501,0,18.603964,1556.25,0,-11,2.157813,95,0,96.8,-5.3663964,19.699852,66.484085,0,0,44.860577,-93.341896,831.3021
4.751,0,18.899263,1533,0,-11,2.239839,95,0,96.8,-5.221359,20.446836,70.0516,0,0,44.860577,-93.341896,831.3021
5.002,0,18.899263,1562.5,0,-11,2.175012,95,0,96.8,-5.221359,19.856873,66.74594,0,0,44.860573,-93.341896,834.6042
5.252,0,18.603964,1568.75,0,-11,2.126061,95,0,96.8,-5.3663964,19.409971,64.98382,0,0,44.860573,-93.341896,834.6042
5.501,0,18.308662,1576.75,0,-11,2.126061,95,0,96.8,-5.511434,19.409971,64.654106,0,0,44.860573,-93.341896,834.6042
