Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Ignition timing advance for #1 cylinder (deg), Mass air flow rate (lb/min), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.254,0,0,0,0,0,3.154032,0,0,0,0,28.736881,0,0,0,0,0,0
0.501,0,24.805285,1632.25,0,-15.5,3.234735,71.6,0,73.4,-2.3206038,29.47218,94.83304,0,0,0,0,0
0.752,0,24.805285,1632.25,0,-15.5,3.234735,71.6,0,73.4,-2.3206038,29.47218,94.83304,0,0,0,0,0
1.001,0,24.805285,1632.25,0,-15.5,3.234735,71.6,0,73.4,-2.3206038,29.47218,94.83304,0,0,45.05804,-92.954735,924.86316
1.252,0,24.214682,1627,0,-17,3.091851,71.6,0,73.4,-2.4656415,28.170341,90.936584,0,0,45.05804,-92.954735,924.86316
1.502,0,24.214682,1627,0,-17,3.091851,71.6,0,73.4,-2.4656415,28.170341,90.936584,0,0,45.05804,-92.954735,924.86316
1.751,0,24.805285,1614.75,0,-15.5,3.091851,71.6,0,73.4,-2.175566,28.170341,91.62646,0,0,45.05804,-92.954735,924.86316
2.001,0,23.91938,1630.25,0,-16,3.070683,71.6,0,73.4,-2.6106794,27.977476,90.13395,0,0,45.058052,-92.95473,921.5673
2.255,0,24.214682,1618.5,0,-16,2.988657,71.6,0,73.4,-2.4656415,27.230124,88.36311,0,0,45.058052,-92.95473,921.5673
2.501,0,24.214682,1628,0,-16,3.050838,71.6,0,73.4,-2.4656415,27.796665,89.6752,0,0,45.058052,-92.95473,921.5673
2.751,0,23.91938,1624.25,0,-16,2.988657,71.6,0,73.4,-2.6106794,27.230124,88.05029,0,0,45.058052,-92.95473,921.5673
3.002,0,24.214682,1606,0,-15,2.927799,71.6,0,73.4,-2.4656415,26.675638,87.237526,0,0,45.058064,-92.95472,911.27686
3.252,0,24.214682,1609.5,0,-15.5,3.032316,71.6,0,73.4,-2.4656415,27.627909,90.155266,0,0,45.058064,-92.95472,911.27686
3.501,0,23.62408,1625.75,0,-15.5,3.011148,71.6,0,73.4,-2.755717,27.435043,88.631065,0,0,45.058064,-92.95472,911.27686
