# StartTime = 08/06/2024 03:03:57.0727 PM
Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Barometric pressure (inHg), Catalyst temperature (Bank 1 Sensor 1) (°F), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Intake air temperature bank 2  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Acceleration (ft/s²), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Bearing (deg)
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.34,26.08,0.00,0.00,0.00,44.86,-93.34,191.27
0.963,0.00,23.62,1533.75,0.00,29.83,533.66,12.16,82.40,0.00,91.40,0.00,0.00,-2.90,0.00,25.20,86.31,0.00,0.00,44.86,-93.34,191.27
1.970,0.00,23.33,1611.25,0.00,29.83,554.00,12.55,82.40,0.00,91.40,0.00,2.17,-3.19,0.00,26.79,87.32,0.00,0.00,44.86,-93.34,191.27
2.979,0.00,23.62,1612.25,0.00,29.83,560.48,12.55,82.40,0.00,91.40,0.00,2.20,-3.05,0.00,26.08,84.96,0.00,0.00,44.86,-93.34,191.27
4.967,0.00,22.74,1633.00,0.00,29.83,590.72,12.55,82.40,0.00,91.40,0.00,2.10,-3.48,0.00,25.56,82.20,0.00,0.00,44.86,-93.34,191.27
9.965,0.00,22.44,1567.75,0.00,29.83,627.80,11.76,82.40,0.00,91.40,0.00,2.09,-3.63,0.00,22.40,75.06,0.00,0.00,44.86,-93.34,191.27
10.969,0.00,24.51,1100.75,0.00,29.83,646.88,10.98,82.40,0.00,91.40,0.00,2.22,-2.61,0.00,23.72,113.17,0.00,0.00,44.86,-93.34,191.27
11.957,0.00,24.51,1100.75,0.00,29.83,646.88,10.98,82.40,0.00,91.40,0.00,2.22,-2.61,0.00,23.72,113.17,0.00,0.00,44.86,-93.34,195.43
12.962,0.00,24.51,1100.75,0.00,29.83,646.88,10.98,82.40,0.00,91.40,0.00,2.22,-2.61,0.00,23.72,113.17,0.00,0.00,44.86,-93.34,204.06
13.970,1.57,19.19,1109.75,1.86,29.83,665.06,6.67,82.40,7.45,91.40,0.00,1.22,-5.22,0.68,16.33,77.28,0.00,0.19,44.86,-93.34,215.48
14.976,1.57,19.19,1109.75,1.86,29.83,665.06,6.67,82.40,7.45,91.40,0.00,1.22,-5.22,0.68,16.33,77.28,0.00,0.19,44.86,-93.34,228.46
15.963,2.80,22.74,1750.75,4.97,29.83,685.40,4.71,82.40,0.00,91.40,0.00,1.46,-3.48,1.62,24.31,72.94,0.00,0.65,44.86,-93.34,243.03
16.976,2.80,22.74,1750.75,4.97,29.83,685.40,4.71,82.40,0.00,91.40,0.00,1.46,-3.48,1.62,24.31,72.94,0.00,0.65,44.86,-93.34,247.83
17.986,12.75,15.36,1463.75,8.08,29.83,700.70,5.49,82.40,3.53,91.40,0.00,1.55,-7.11,1.91,8.68,31.16,0.01,1.35,44.86,-93.34,240.40
18.975,12.75,15.36,1463.75,8.08,29.83,700.70,5.49,82.40,3.53,91.40,0.00,1.55,-7.11,1.91,8.68,31.16,0.01,1.35,44.86,-93.34,231.08
19.965,5.51,19.79,1789.00,8.08,29.83,710.06,5.88,82.40,1.96,91.40,0.00,1.67,-4.93,0.97,20.12,59.06,0.01,1.84,44.86,-93.34,228.12
20.961,5.51,19.79,1789.00,8.08,29.83,710.06,5.88,82.40,1.96,91.40,0.00,1.67,-4.93,0.97,20.12,59.06,0.01,1.84,44.86,-93.34,230.79
21.969,9.66,14.77,1602.00,9.32,29.83,717.80,7.84,82.40,4.31,91.40,0.00,1.52,-7.40,0.43,13.23,43.37,0.02,2.36,44.86,-93.34,239.08
22.978,13.45,12.99,1526.50,11.18,29.83,721.58,6.67,82.40,0.00,91.40,0.00,1.20,-8.27,1.19,11.40,39.24,0.03,2.88,44.86,-93.34,248.61
23.973,13.51,11.81,1422.00,11.18,29.83,725.00,7.45,82.40,0.00,91.40,0.00,1.04,-8.85,0.77,11.35,41.92,0.03,3.04,44.86,-93.34,261.02
24.963,12.64,13.29,1400.00,11.18,29.83,726.62,10.59,82.40,4.31,91.40,0.00,1.09,-8.12,0.00,12.14,45.53,0.03,3.25,44.86,-93.34,265.31
25.981,12.48,12.40,1516.25,12.43,29.83,733.46,7.45,82.40,1.96,91.40,0.00,1.31,-8.56,0.83,13.66,47.31,0.04,3.65,44.86,-93.34,266.25
26.989,13.82,12.99,1441.00,12.43,29.83,735.08,6.67,82.40,0.00,91.40,0.00,1.14,-8.27,0.83,12.33,44.95,0.04,3.87,44.86,-93.34,268.05
27.960,15.20,12.40,1350.75,12.43,29.83,737.96,6.67,82.40,0.00,91.40,0.00,1.03,-8.56,0.00,11.21,43.59,0.04,4.02,44.86,-93.34,269.21
28.958,15.20,12.40,1350.75,12.43,29.83,737.96,6.67,82.40,0.00,91.40,0.00,1.03,-8.56,0.00,11.21,43.59,0.04,4.02,44.86,-93.34,269.90
29.968,13.43,12.70,1336.25,11.81,29.83,740.66,7.06,82.40,0.00,91.40,0.00,0.99,-8.41,-0.67,12.05,47.38,0.04,4.17,44.86,-93.34,270.39
30.973,13.43,12.70,1336.25,11.81,29.83,740.66,7.06,82.40,0.00,91.40,0.00,0.99,-8.41,-0.67,12.05,47.38,0.04,4.17,44.86,-93.34,270.66
31.973,15.11,11.52,1346.75,11.18,29.83,747.50,5.49,82.40,0.00,91.40,0.00,0.89,-8.99,-0.90,10.15,39.57,0.05,4.55,44.86,-93.34,271.61
32.984,15.11,11.52,1346.75,11.18,29.83,747.50,5.49,82.40,0.00,91.40,0.00,0.89,-8.99,-0.90,10.15,39.57,0.05,4.55,44.86,-93.34,270.33
33.969,19.82,9.45,1275.75,11.18,29.83,750.56,5.49,82.40,0.00,91.40,0.00,0.73,-10.01,-0.23,7.74,31.86,0.06,5.10,44.86,-93.34,269.84
34.978,16.88,9.74,1247.75,9.32,29.83,751.82,5.10,82.40,0.00,91.40,0.00,0.72,-9.86,-0.83,7.57,31.86,0.06,5.38,44.86,-93.34,270.63
35.973,14.20,9.45,1169.25,8.08,29.83,753.26,5.10,82.40,0.00,91.40,0.00,0.66,-10.01,-1.21,7.80,35.04,0.07,5.57,44.86,-93.34,269.11
36.964,12.38,10.04,1125.50,6.84,29.83,753.62,5.49,82.40,0.00,91.40,0.00,0.68,-9.72,-1.79,7.57,35.33,0.07,5.62,44.86,-93.34,269.06
37.971,11.01,10.63,1107.00,6.21,29.83,754.34,5.49,82.40,0.00,91.40,0.00,0.69,-9.43,-1.88,7.74,36.72,0.07,5.68,44.86,-93.34,268.60
38.964,2.48,24.51,2015.50,5.59,29.83,755.96,12.55,82.40,6.27,91.40,0.00,1.56,-2.61,-0.68,30.91,80.55,0.07,5.59,44.86,-93.34,270.56
39.977,2.48,24.51,2015.50,5.59,29.83,755.96,12.55,82.40,6.27,91.40,0.00,1.56,-2.61,-0.68,30.91,80.55,0.07,5.59,44.86,-93.34,270.46
40.964,4.48,15.95,1937.25,8.70,29.83,757.58,12.94,82.40,9.80,91.40,0.00,1.85,-6.82,3.45,26.63,72.20,0.07,5.55,44.86,-93.34,272.37
41.988,4.48,15.95,1937.25,8.70,29.83,757.58,12.94,82.40,9.80,91.40,0.00,1.85,-6.82,3.45,26.63,72.20,0.07,5.55,44.86,-93.34,272.20
42.987,3.85,27.76,2455.25,10.56,29.83,762.26,16.86,82.40,9.41,91.40,0.00,3.10,-1.02,3.88,37.58,80.39,0.08,5.36,44.86,-93.34,271.68
43.976,3.85,27.76,2455.25,10.56,29.83,762.26,16.86,82.40,9.41,91.40,0.00,3.10,-1.02,3.88,37.58,80.39,0.08,5.36,44.86,-93.34,271.87
44.979,6.05,19.19,1983.00,18.02,29.83,770.00,5.88,82.40,0.00,91.40,0.00,2.72,-5.22,3.39,40.86,108.23,0.09,5.47,44.86,-93.34,271.79
45.988,17.22,14.47,1617.75,20.51,29.83,773.60,6.67,82.40,0.78,91.40,0.00,1.66,-7.54,3.12,16.33,53.01,0.10,6.03,44.86,-93.34,271.11
46.970,24.55,10.93,1507.00,20.51,29.83,775.76,5.88,82.40,1.18,91.40,0.00,1.02,-9.28,0.75,11.45,39.91,0.11,6.28,44.86,-93.34,270.50
47.969,22.35,11.81,1400.00,19.88,29.83,776.66,5.88,82.40,0.78,91.40,0.00,1.03,-8.85,-0.60,12.20,45.76,0.11,6.45,44.86,-93.34,267.50
48.989,30.53,8.56,1547.25,19.88,29.83,777.38,5.10,82.40,0.00,91.40,0.00,0.69,-10.44,-0.60,8.93,30.31,0.12,6.62,44.86,-93.34,263.96
49.984,41.73,8.56,1149.00,19.88,29.83,779.36,13.73,82.40,6.67,91.40,0.00,0.76,-10.44,0.00,6.53,29.86,0.12,6.93,44.86,-93.34,260.53
50.984,23.91,10.63,1643.50,20.51,29.83,781.34,5.49,82.40,0.00,91.40,0.00,1.20,-9.43,0.62,11.76,37.58,0.13,7.19,44.86,-93.34,259.14
51.974,23.91,10.63,1643.50,20.51,29.83,781.34,5.49,82.40,0.00,91.40,0.00,1.20,-9.43,0.62,11.76,37.58,0.13,7.19,44.86,-93.34,258.06
52.968,23.91,10.63,1643.50,20.51,29.83,781.34,5.49,82.40,0.00,91.40,0.00,1.20,-9.43,0.62,11.76,37.58,0.13,7.19,44.86,-93.34,256.37
53.969,36.67,8.27,1110.25,20.51,29.83,782.78,4.71,82.40,2.35,91.40,0.00,0.78,-10.59,0.62,7.67,36.27,0.14,7.37,44.86,-93.34,255.76
54.969,36.67,8.27,1110.25,20.51,29.83,782.78,4.71,82.40,2.35,91.40,0.00,0.78,-10.59,0.62,7.67,36.27,0.14,7.37,44.86,-93.35,257.27
55.973,36.67,8.27,1110.25,20.51,29.83,782.78,4.71,82.40,2.35,91.40,0.00,0.78,-10.59,0.62,7.67,36.27,0.14,7.37,44.86,-93.35,259.49
56.972,40.06,7.68,1188.50,19.26,29.83,783.14,4.71,82.40,0.00,91.40,0.00,0.49,-10.88,-0.31,6.59,29.14,0.15,8.07,44.86,-93.35,262.97
57.972,40.06,7.68,1188.50,19.26,29.83,783.14,4.71,82.40,0.00,91.40,0.00,0.49,-10.88,-0.31,6.59,29.14,0.15,8.07,44.86,-93.35,271.08
58.967,23.60,9.45,1238.75,14.29,29.83,782.06,5.49,82.40,0.00,91.40,0.00,0.71,-10.01,-1.82,8.30,35.21,0.17,8.80,44.86,-93.35,271.08
59.966,22.16,9.45,1220.75,12.43,29.83,781.52,4.31,82.40,0.00,91.40,0.00,0.68,-10.01,-3.19,7.69,33.08,0.17,8.88,44.86,-93.35,271.08
60.970,22.48,8.56,1190.00,9.94,29.83,780.98,4.31,82.40,0.00,91.40,0.00,0.60,-10.44,-3.80,6.06,26.76,0.18,8.96,44.86,-93.35,271.08
61.974,20.01,7.97,1129.00,8.70,29.83,780.80,4.71,82.40,0.00,91.40,0.00,0.55,-10.73,-3.03,5.96,27.74,0.18,9.02,44.86,-93.35,271.52
62.968,14.29,9.15,1001.00,6.21,29.83,780.08,43.14,82.40,16.08,91.40,0.00,0.60,-10.15,-3.00,5.96,31.28,0.18,9.05,44.86,-93.35,271.52
63.972,3.90,20.97,2114.25,8.70,29.83,780.44,12.94,82.40,7.84,91.40,0.00,2.46,-4.35,1.88,30.61,76.03,0.18,8.77,44.86,-93.35,271.52
64.979,3.48,27.46,2491.00,10.56,29.83,781.52,42.35,82.40,16.47,91.40,0.00,3.35,-1.16,4.49,41.63,87.76,0.18,8.61,44.86,-93.35,317.17
65.984,2.51,35.44,3150.00,13.67,29.83,782.42,23.92,82.40,16.47,91.40,0.00,5.09,2.76,4.96,74.73,124.61,0.19,8.31,44.86,-93.35,0.46
