Time (sec), Instant fuel economy (MPG), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Barometric pressure (inHg), Catalyst temperature (Bank 1 Sensor 1) (°F), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Engine oil temperature (°F), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel (gal), Trip Fuel Economy (MPG), Average Trip CO2 Rate (lb/mile), Latitude (deg), Longitude (deg), Bearing (deg)
34.928,0,45.490196,82.4,15.650953,954.25,0,29.5301,705.38,6.27451,60.8,0,73.4,64.4,0.91352326,-6.816774,10.382349,57.14359,0.00012074186,0.006981952,0.017293423,1133.138,45.058086,-92.95467,-1
35.984,0,40.784313,82.4,15.060351,1016,0,29.5301,706.82,6.27451,60.8,0,73.4,64.4,0.82909226,-7.106849,10.212283,52.791405,0.00012074186,0.0071616163,0.016859582,1162.2966,45.058086,-92.95468,-1
36.941,0,40.784313,82.4,15.060351,1016,0,29.5301,706.82,6.27451,60.8,0,73.4,64.4,0.82909226,-7.106849,10.212283,52.791405,0.00012074186,0.0071616163,0.016859582,1162.2966,45.05808,-92.95468,-1
37.971,0,40.784313,82.4,15.060351,1016,0,29.5301,706.82,6.27451,60.8,0,73.4,64.4,0.82909226,-7.106849,10.212283,52.791405,0.00012074186,0.0071616163,0.016859582,1162.2966,45.05808,-92.95467,-1
38.967,0,40.784313,82.4,15.355652,1006.5,0,29.5301,712.58,6.27451,60.8,0,73.4,64.4,0.90005195,-6.9618115,10.211348,53.284805,0.00012074186,0.007364659,0.016394766,1195.2494,45.058075,-92.95467,-1
39.969,0,40.784313,82.4,15.355652,1006.5,0,29.5301,712.58,6.27451,60.8,0,73.4,64.4,0.90005195,-6.9618115,10.211348,53.284805,0.00012074186,0.007364659,0.016394766,1195.2494,45.058075,-92.95468,-1
40.923,0,40.784313,82.4,15.355652,1006.5,0,29.5301,712.58,6.27451,60.8,0,73.4,64.4,0.90005195,-6.9618115,10.211348,53.284805,0.00012074186,0.007364659,0.016394766,1195.2494,45.058075,-92.95468,-1
41.976,0,40.784313,82.4,15.355652,1008.75,0,29.5301,721.4,5.490196,60.8,0,73.4,64.4,0.89163613,-6.9618115,10.210725,53.16271,0.00012074186,0.007925778,0.015234073,1286.3163,45.058083,-92.95468,-1
42.923,0,40.784313,82.4,15.355652,1008.75,0,29.5301,721.4,5.490196,60.8,0,73.4,64.4,0.89163613,-6.9618115,10.210725,53.16271,0.00012074186,0.007925778,0.015234073,1286.3163,45.058083,-92.95468,-1
43.970,0,40.784313,82.4,15.355652,1008.75,0,29.5301,721.4,5.490196,60.8,0,73.4,64.4,0.89163613,-6.9618115,10.210725,53.16271,0.00012074186,0.007925778,0.015234073,1286.3163,45.058086,-92.95469,-1
44.934,0,36.47059,82.4,12.993244,1000.5,0,29.5301,729.86,5.882353,60.8,0,73.4,64.4,0.7561479,-8.122113,9.078094,47.655346,0.00012074186,0.008536846,0.014143615,1385.4899,45.05809,-92.95469,-1
45.981,0,36.47059,82.4,12.993244,1000.5,0,29.5301,729.86,5.882353,60.8,0,73.4,64.4,0.7561479,-8.122113,9.078094,47.655346,0.00012074186,0.008536846,0.014143615,1385.4899,45.058094,-92.9547,-1
46.928,0,36.47059,82.4,12.993244,1000.5,0,29.5301,729.86,5.882353,60.8,0,73.4,64.4,0.7561479,-8.122113,9.078094,47.655346,0.00012074186,0.008536846,0.014143615,1385.4899,45.058094,-92.954704,-1
47.965,0,40,82.4,13.583846,1003.5,0,29.5301,737.24,5.882353,60.8,0,75.2,64.4,0.784053,-7.832038,9.007683,47.144363,0.00012074186,0.009014737,0.013393831,1463.0492,45.058094,-92.954704,-1
48.932,0,40,82.4,13.583846,1003.5,0,29.5301,737.24,5.882353,60.8,0,75.2,64.4,0.784053,-7.832038,9.007683,47.144363,0.00012074186,0.009014737,0.013393831,1463.0492,45.05809,-92.954704,-1
49.981,0,40,82.4,13.583846,1003.5,0,29.5301,737.24,5.882353,60.8,0,75.2,64.4,0.784053,-7.832038,9.007683,47.144363,0.00012074186,0.009014737,0.013393831,1463.0492,45.05809,-92.954704,-1
50.935,0,35.686275,82.4,13.288545,1000,0,29.5301,744.62,5.882353,60.8,0,75.2,64.4,0.7693083,-7.9770756,9.009608,47.31948,0.00012074186,0.009652222,0.0125092305,1566.51,45.058086,-92.95471,-1
51.975,0,35.686275,82.4,13.288545,1000,0,29.5301,744.62,5.882353,60.8,0,75.2,64.4,0.7693083,-7.9770756,9.009608,47.31948,0.00012074186,0.009652222,0.0125092305,1566.51,45.058086,-92.95471,-1
52.932,0,35.686275,82.4,13.288545,1000,0,29.5301,744.62,5.882353,60.8,0,75.2,64.4,0.7693083,-7.9770756,9.009608,47.31948,0.00012074186,0.009652222,0.0125092305,1566.51,45.058086,-92.95471,-1
53.981,0,35.686275,82.4,13.288545,1000,0,29.5301,744.62,5.882353,60.8,0,75.2,64.4,0.7693083,-7.9770756,9.009608,47.31948,0.00012074186,0.009652222,0.0125092305,1566.51,45.058086,-92.95471,-1
54.929,0,40,82.4,13.288545,1002.25,0,29.5301,750.74,6.27451,60.8,0,75.2,64.4,0.7666251,-7.9770756,8.923273,46.76083,0.00012074186,0.010206388,0.011830028,1656.4486,45.058086,-92.95471,-1
55.988,0,40,82.4,13.288545,1002.25,0,29.5301,750.74,6.27451,60.8,0,75.2,64.4,0.7666251,-7.9770756,8.923273,46.76083,0.00012074186,0.010206388,0.011830028,1656.4486,45.058086,-92.95471,-1
56.941,0,40,82.4,13.288545,1002.25,0,29.5301,750.74,6.27451,60.8,0,75.2,64.4,0.7666251,-7.9770756,8.923273,46.76083,0.00012074186,0.010206388,0.011830028,1656.4486,45.058086,-92.95471,-1
57.971,0,39.60784,82.4,14.76505,1007,0,29.5301,756.86,6.27451,60.8,0,75.2,64.4,0.8537222,-7.251887,9.938309,51.834282,0.00012074186,0.010915476,0.01106153,1771.5303,45.058075,-92.954704,-1
58.932,0,39.60784,82.4,14.76505,1007,0,29.5301,756.86,6.27451,60.8,0,75.2,64.4,0.8537222,-7.251887,9.938309,51.834282,0.00012074186,0.010915476,0.01106153,1771.5303,45.058075,-92.9547,-1
59.981,0,39.60784,82.4,14.76505,1007,0,29.5301,756.86,6.27451,60.8,0,75.2,64.4,0.8537222,-7.251887,9.938309,51.834282,0.00012074186,0.010915476,0.01106153,1771.5303,45.05808,-92.9547,-1
60.933,0,35.686275,82.4,13.288545,1003.5,0,29.5301,762.62,5.882353,60.8,0,75.2,64.4,0.7719915,-7.9770756,8.752584,45.80923,0.00012074186,0.011525008,0.01047651,1870.4545,45.058086,-92.9547,-1
61.985,0,35.686275,82.4,13.288545,1003.5,0,29.5301,762.62,5.882353,60.8,0,75.2,64.4,0.7719915,-7.9770756,8.752584,45.80923,0.00012074186,0.011525008,0.01047651,1870.4545,45.058086,-92.954704,-1
62.931,0,35.686275,82.4,13.288545,1003.5,0,29.5301,762.62,5.882353,60.8,0,75.2,64.4,0.7719915,-7.9770756,8.752584,45.80923,0.00012074186,0.011525008,0.01047651,1870.4545,45.058086,-92.95471,-1
63.999,0,38.82353,82.4,12.993244,1001.75,0,29.5301,766.58,5.490196,60.8,0,75.2,64.4,0.7522126,-8.122113,8.670045,45.45651,0.00012074186,0.012101724,0.009977245,1964.0527,45.058083,-92.95471,-1
64.934,0,38.82353,82.4,12.993244,1001.75,0,29.5301,766.58,5.490196,60.8,0,75.2,64.4,0.7522126,-8.122113,8.670045,45.45651,0.00012074186,0.012101724,0.009977245,1964.0527,45.058083,-92.954735,270.81406
65.976,0,38.82353,82.4,12.993244,1001.75,0,29.5301,766.58,5.490196,60.8,0,75.2,64.4,0.7522126,-8.122113,8.670045,45.45651,0.00012074186,0.012101724,0.009977245,1964.0527,45.058086,-92.95475,269.6408
66.941,0,38.82353,82.4,12.993244,1001.75,0,29.5301,766.58,5.490196,60.8,0,75.2,64.4,0.7522126,-8.122113,8.670045,45.45651,0.00012074186,0.012101724,0.009977245,1964.0527,45.058083,-92.95478,262.89926
67.969,3.3741183,30.980392,82.4,11.516739,887.25,1.8641136,29.5301,770.18,5.098039,60.8,0,75.2,64.4,0.66557115,-8.847302,7.575036,44.84074,0.0016681768,0.012541276,0.13301492,147.32059,45.05808,-92.95481,266.04794
68.942,3.3741183,30.980392,82.4,11.516739,887.25,1.8641136,29.5301,770.18,5.098039,60.8,0,75.2,64.4,0.66557115,-8.847302,7.575036,44.84074,0.0016681768,0.012541276,0.13301492,147.32059,45.058083,-92.954834,275.99826
69.982,3.3741183,30.980392,82.4,11.516739,887.25,1.8641136,29.5301,770.18,5.098039,60.8,0,75.2,64.4,0.66557115,-8.847302,7.575036,44.84074,0.0016681768,0.012541276,0.13301492,147.32059,45.05809,-92.95485,298.28677
70.922,8.725516,42.7451,82.4,14.469749,1186.5,4.9709697,29.5301,773.6,9.411765,60.8,8.235294,75.2,64.4,0.7406493,-7.3969245,7.8112874,34.57713,0.006619415,0.01311471,0.5047321,38.82423,45.05809,-92.95485,-1
