# StartTime = 08/07/2024 03:11:42.0327 PM
Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Barometric pressure (inHg), Catalyst temperature (Bank 1 Sensor 1) (°F), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Intake air temperature bank 2  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Acceleration (ft/s²), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Bearing (deg)
0.000,2.89,12.11,1030.50,1.86,29.53,666.68,4.71,78.80,0.00,82.40,0.00,0.00,-8.56,1.11,8.84,45.05,0.00,1.15,44.86,-93.34,182.22
1.004,2.89,12.11,1030.50,1.86,29.53,666.68,4.71,78.80,0.00,82.40,0.00,0.00,-8.56,1.11,8.84,45.05,0.00,1.15,44.86,-93.34,192.02
2.010,2.89,12.11,1030.50,1.86,29.53,666.68,4.71,78.80,0.00,82.40,0.00,0.00,-8.56,1.11,8.84,45.05,0.00,1.15,44.86,-93.34,205.07
3.003,10.32,8.56,1211.25,6.21,29.53,687.20,5.10,78.80,3.92,82.40,0.00,0.51,-10.30,1.98,8.26,35.81,0.01,5.95,44.86,-93.34,216.88
4.032,10.32,8.56,1211.25,6.21,29.53,687.20,5.10,78.80,3.92,82.40,0.00,0.51,-10.30,1.98,8.26,35.81,0.01,5.95,44.86,-93.34,226.10
5.003,10.32,8.56,1211.25,6.21,29.53,687.20,5.10,78.80,3.92,82.40,0.00,0.51,-10.30,1.98,8.26,35.81,0.01,5.95,44.86,-93.34,231.16
6.012,3.78,12.40,1501.25,6.84,29.53,698.00,5.88,78.80,0.00,82.40,0.00,0.87,-8.41,1.05,24.78,86.70,0.01,4.83,44.86,-93.34,235.22
6.996,3.78,12.40,1501.25,6.84,29.53,698.00,5.88,78.80,0.00,82.40,0.00,0.87,-8.41,1.05,24.78,86.70,0.01,4.83,44.86,-93.34,238.37
7.992,17.26,8.27,1102.50,8.70,29.53,705.20,13.73,78.80,7.06,82.40,0.00,0.72,-10.44,0.77,6.91,32.91,0.02,6.32,44.86,-93.34,240.28
9.010,17.26,8.27,1102.50,8.70,29.53,705.20,13.73,78.80,7.06,82.40,0.00,0.72,-10.44,0.77,6.91,32.91,0.02,6.32,44.86,-93.34,243.08
10.005,4.32,16.24,1886.00,9.32,29.53,712.58,6.27,78.80,0.00,82.40,0.00,1.03,-6.53,0.80,29.55,82.30,0.02,5.64,44.86,-93.34,242.04
