Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Hard Brake Count, Latitude (deg), Longitude (deg), Bearing (deg)
35.010,0,11.81204,778.75,0,3.9215686,86,0,127.4,0.5281195,-8.702264,4.72265,31.850906,0,0,0,44.886433,-93.30925,-1
36.012,0,11.81204,777.5,0,3.5294118,86,0,127.4,0.5301639,-8.702264,4.662258,31.494158,0,0,0,44.886433,-93.30925,-1
37.018,0,11.516739,774,0,3.9215686,86,0,127.4,0.51657754,-8.847302,4.72265,32.04637,0,0,0,44.886433,-93.30924,-1
37.998,0,11.516739,774.25,0,3.9215686,86,0,127.4,0.5134216,-8.847302,4.6018662,31.21669,0,0,0,44.886433,-93.30924,-1
39.010,0,11.516739,769.5,0,3.9215686,86,0,127.4,0.5135877,-8.847302,4.72265,32.23378,0,0,0,44.886433,-93.30925,-1
39.996,0,11.516739,772.5,0,3.9215686,86,0,127.4,0.5157471,-8.847302,4.7709637,32.437077,0,0,0,44.886433,-93.30924,-1
41.017,0,11.81204,775.75,0,3.9215686,86,0,127.4,0.5264159,-8.702264,4.72265,31.974081,0,0,0,44.886433,-93.30924,-1
42.002,0,11.81204,771.25,0,3.9215686,86,0,127.4,0.5286306,-8.702264,4.662258,31.749378,0,0,0,44.88643,-93.30924,-1
42.998,0,11.81204,774.5,0,3.9215686,86,0,127.4,0.5255641,-8.702264,4.7709637,32.353313,0,0,0,44.886425,-93.30925,-1
43.996,0,9.154331,787.5,0,3.137255,86,0,127.4,0.40533173,-10.007604,3.538968,23.602615,0,0,0,44.88643,-93.30924,-1
45.015,0,8.85903,735.75,0,3.137255,86,0,127.4,0.3958341,-10.152641,3.4664977,24.745413,0,0,0,44.88643,-93.30924,-1
46.002,0,9.449632,736.25,0,3.137255,86,0,127.4,0.40109825,-9.862566,3.538968,25.245583,0,0,0,44.886425,-93.30925,-1
46.994,0,9.449632,717,0,3.137255,86,0,127.4,0.39128545,-9.862566,3.3940272,24.861668,0,0,0,44.886425,-93.30924,-1
48.000,0,9.154331,702,0,3.137255,86,0,127.4,0.3747008,-10.007604,3.2611651,24.398872,0,0,0,44.886425,-93.30924,-1
48.994,0,9.449632,702.5,0,3.137255,86,0,127.4,0.38269925,-9.862566,3.3336353,24.923317,0,0,0,44.88643,-93.309235,-1
50.010,0,12.402642,745.75,0,3.9215686,86,0,127.4,0.5037238,-8.412189,4.662258,32.835007,0,0,0,44.886425,-93.30924,-1
51.006,0,12.402642,771.25,0,3.9215686,86,0,127.4,0.53359663,-8.412189,4.843434,32.983162,0,0,0,44.88643,-93.309235,-1
52.016,0,11.81204,784.25,0,3.9215686,86,0,127.4,0.525053,-8.702264,4.7709637,31.951088,0,0,0,44.886433,-93.309235,-1
53.016,0,11.516739,782.75,0,3.9215686,86,0,127.4,0.5215606,-8.847302,4.72265,31.68814,0,0,0,44.886436,-93.309235,-1
54.005,0,11.516739,783,0,3.9215686,86,0,127.4,0.51840466,-8.847302,4.662258,31.272934,0,0,0,44.88644,-93.309235,-1
55.009,0,11.516739,784,0,3.9215686,86,0,127.4,0.5207301,-8.847302,4.6018662,30.828472,0,0,0,44.886448,-93.30923,-1
56.006,0,11.81204,777,0,3.9215686,86,0,127.4,0.5293121,-8.702264,4.662258,31.514423,0,0,0,44.88645,-93.309235,-1
57.017,0,11.81204,773.25,0,3.9215686,86,0,127.4,0.5325489,-8.702264,4.6018662,31.257061,0,0,0,44.886448,-93.309235,-1
58.002,0,11.81204,774,0,3.9215686,86,0,127.4,0.526927,-8.702264,4.72265,32.04637,0,0,0,44.88644,-93.309235,-1
58.997,0,11.516739,772.25,0,3.9215686,86,0,127.4,0.5122589,-8.847302,4.662258,31.708265,0,0,0,44.886444,-93.309235,-1
60.014,0,11.221438,776.75,0,3.9215686,86,0,127.4,0.50106615,-8.99234,4.662258,31.524567,0,0,0,44.88644,-93.30923,-1
61.021,0,11.516739,771.25,0,3.9215686,86,0,127.4,0.51607925,-8.847302,4.662258,31.749378,0,0,0,44.88644,-93.30922,-1
61.999,0,11.516739,775.5,0,3.9215686,86,0,127.4,0.5142521,-8.847302,4.6018662,31.166372,0,0,0,44.886436,-93.30922,-1
63.006,0,11.516739,772.5,0,3.9215686,86,0,127.4,0.512425,-8.847302,4.6018662,31.287407,0,0,0,44.886433,-93.30922,-1
64.012,0,11.221438,773,0,3.9215686,86,0,129.2,0.5017136,-8.99234,4.6018662,31.26717,0,0,0,44.88643,-93.30922,-1
65.014,0,11.81204,778.25,0,3.9215686,86,0,129.2,0.52675664,-8.702264,4.72265,31.871368,0,0,0,44.886425,-93.30923,-1
66.011,0,11.81204,771,0,3.9215686,86,0,129.2,0.525053,-8.702264,4.5414743,30.936884,0,0,0,44.886425,-93.309235,-1
67.007,0,11.516739,777.5,0,3.9215686,86,0,129.2,0.5134216,-8.847302,4.6018662,31.086203,0,0,0,44.88642,-93.309235,-1
68.008,0,11.516739,777,0,3.9215686,86,0,129.2,0.50976735,-8.847302,4.72265,31.922642,0,0,0,44.88642,-93.30923,-1
69.018,0,11.516739,773.5,0,3.9215686,86,0,129.2,0.5142521,-8.847302,4.7709637,32.39514,0,0,0,44.88643,-93.30923,-1
70.000,0,11.221438,776.75,0,3.9215686,86,0,129.2,0.5060833,-8.99234,4.662258,31.524567,0,0,0,44.88643,-93.30923,-1
71.007,0,11.516739,774,0,3.9215686,86,0,129.2,0.51508266,-8.847302,4.72265,32.04637,0,0,0,44.886433,-93.30922,-1
72.011,0,11.516739,780.75,0,3.9215686,86,0,129.2,0.5142521,-8.847302,4.6018662,30.9568,0,0,0,44.886436,-93.30921,-1
73.009,0,11.81204,776.75,0,3.9215686,86,0,129.2,0.52266794,-8.702264,4.6018662,31.116219,0,0,0,44.88644,-93.30922,-1
74.002,0,11.81204,771,0,3.9215686,86,0,129.2,0.5293121,-8.702264,4.843434,32.99386,0,0,0,44.886444,-93.30921,-1
74.994,0,11.81204,776,0,3.9215686,86,0,129.2,0.5260752,-8.702264,4.662258,31.555035,0,0,0,44.886448,-93.309204,-1
76.012,0,11.81204,776,0,3.9215686,86,0,129.2,0.52846026,-8.702264,4.662258,31.555035,0,0,0,44.886448,-93.309204,-1
77.014,0,11.81204,772.75,0,3.9215686,86,0,129.2,0.5281195,-8.702264,4.662258,31.687748,0,0,0,44.88645,-93.30921,-1
78.007,0,11.81204,777.5,0,3.9215686,86,0,129.2,0.5286306,-8.702264,4.72265,31.902113,0,0,0,44.88645,-93.309204,-1
78.999,0,11.516739,768.5,0,3.9215686,86,0,129.2,0.5135877,-8.847302,4.6018662,31.450256,0,0,0,44.886456,-93.309204,-1
80.006,0,11.81204,773.5,0,3.9215686,86,0,129.2,0.5236901,-8.702264,4.7709637,32.39514,0,0,0,44.886456,-93.30921,-1
81.014,0,11.81204,778.75,0,3.9215686,86,0,129.2,0.5260752,-8.702264,4.662258,31.443605,0,0,0,44.88645,-93.309204,-1
82.001,0,11.81204,775,0,3.9215686,86,0,129.2,0.5265863,-8.702264,4.662258,31.59575,0,0,0,44.886448,-93.30922,-1
82.995,0,11.81204,770.75,0,3.9215686,86,0,129.2,0.526927,-8.702264,4.5414743,30.946918,0,0,0,44.886448,-93.30922,-1
84.012,0,11.516739,777.75,0,3.9215686,86,0,129.2,0.51209277,-8.847302,4.7709637,32.218117,0,0,0,44.886444,-93.30923,-1
85.025,0,11.221438,782.5,0,3.9215686,86,0,129.2,0.50317013,-8.99234,4.662258,31.292917,0,0,0,44.886448,-93.30923,-1
86.001,0,11.516739,778.5,0,3.9215686,86,0,129.2,0.512425,-8.847302,4.72265,31.861134,0,0,0,44.886448,-93.309235,-1
87.010,0,11.516739,772.25,0,3.9215686,86,0,129.2,0.5130894,-8.847302,4.6018662,31.297537,0,0,0,44.886448,-93.30923,-1
88.004,0,11.516739,777.75,0,3.9215686,86,0,129.2,0.5142521,-8.847302,4.662258,31.484034,0,0,0,44.886444,-93.30923,-1
89.032,0,11.81204,771.75,0,3.9215686,86,0,129.2,0.5286306,-8.702264,4.662258,31.728807,0,0,0,44.886444,-93.309235,-1
