# StartTime = 08/06/2024 06:26:12.0367 AM
Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Barometric pressure (inHg), Catalyst temperature (Bank 1 Sensor 1) (°F), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Intake air temperature bank 2  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Acceleration (ft/s²), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Bearing (deg)
31.006,4.30,40.75,3074.50,22.99,29.53,631.40,68.63,60.80,48.24,66.20,0.00,3.86,5.51,3.97,73.33,125.27,0.09,8.34,45.04,-92.99,260.17
32.015,2.25,61.13,3574.00,27.96,29.53,640.76,27.84,60.80,47.84,66.20,0.00,10.84,15.52,6.01,170.70,250.85,0.10,6.99,45.04,-92.99,261.40
33.006,3.04,52.56,3851.50,35.42,29.53,645.80,68.63,60.80,48.24,66.20,0.00,10.84,11.31,9.93,159.94,218.10,0.11,6.30,45.04,-92.99,261.59
34.009,2.46,58.17,4083.00,41.01,29.53,656.60,68.63,60.80,43.53,66.20,0.00,12.93,14.07,10.92,228.48,293.91,0.12,5.57,45.03,-92.99,261.59
35.006,3.44,50.79,5048.25,50.33,29.53,673.88,68.63,60.80,31.76,66.20,0.00,13.90,10.44,8.38,200.38,208.47,0.14,5.15,45.03,-92.99,261.58
36.003,3.59,47.25,4962.75,55.30,29.53,686.12,25.88,60.80,9.41,66.20,0.00,13.76,8.70,8.13,211.25,223.56,0.15,4.94,45.03,-92.99,261.44
37.020,13.16,28.05,4090.00,59.03,29.53,691.88,14.12,60.80,0.00,62.60,0.00,8.03,-0.73,8.37,61.50,78.97,0.17,5.20,45.03,-92.99,262.30
38.015,81.71,5.91,3035.75,60.27,29.53,706.82,5.88,60.80,0.00,62.60,0.00,1.14,-11.60,1.31,10.11,17.50,0.19,5.89,45.03,-92.99,266.69
39.014,85.97,6.20,2744.25,59.03,29.53,714.56,5.49,60.80,0.00,62.60,0.00,1.09,-11.46,-1.24,9.41,18.02,0.20,6.23,45.03,-92.99,271.08
40.024,32.54,18.90,2603.25,58.41,29.53,717.98,68.63,60.80,48.63,62.60,0.00,2.99,-5.22,-1.83,24.61,49.66,0.21,6.55,45.03,-92.99,275.89
41.023,8.18,38.09,3893.00,58.41,29.53,725.00,68.63,60.80,32.94,62.60,0.00,5.72,4.21,-0.59,97.89,132.07,0.23,6.63,45.03,-92.99,273.00
