Time (sec),Instant fuel economy (MPG),Intake manifold absolute pressure (inHg),Engine RPM (RPM),Vehicle speed (MPH),Relative throttle position (%),Ambient air temperature (°F),Fuel type,Relative accelerator pedal position (%),Mass air flow rate (lb/min),Boost (psi),Engine Power (hp),Trip Distance (miles),Trip Fuel Economy (MPG),Hard Brake Count,Latitude (deg),Longitude (deg),Bearing (deg)
33.004,1.3996052,26.28179,1907.0,3.1068559,16.470589,71.6,1,8.627451,1.6845139,-1.5954151,30.436047,0.009818869,2.3633454,0,45.036076,-92.98493,89.5608
34.007,2.577274,25.395885,2110.25,6.835083,14.117647,71.6,1,8.627451,2.7939568,-2.0305283,36.362675,0.010981781,2.3871973,0,45.036076,-92.98489,89.5608
35.0,3.429917,33.07371,2367.25,12.4274235,33.72549,71.6,1,16.470589,4.2616177,1.7404529,49.678688,0.015377111,2.6875103,0,45.035995,-92.98485,181.14958
36.003,2.9121068,37.207928,2546.0,14.912909,26.27451,71.6,1,16.470589,5.0814214,3.770981,70.21465,0.017929748,2.7107558,0,45.035927,-92.984856,181.14958
37.012,4.607773,40.160934,2022.25,21.747992,21.960785,71.6,1,10.196078,5.869895,5.221359,64.71438,0.025148122,2.9600956,0,45.03584,-92.98488,181.14966
38.007,6.9938326,30.120703,1795.0,24.233477,9.019608,71.6,1,0.0,3.5140307,0.29007548,47.508698,0.029536054,3.2547326,0,45.035725,-92.98489,181.14966
39.023,63.830406,9.449632,1272.0,26.09759,3.9215686,71.6,1,0.0,0.79483694,-9.862566,5.6059012,0.03864454,4.167873,0,45.03561,-92.9849,180.95804
40.01,90.87646,6.791923,1208.5,26.09759,3.137255,71.6,1,0.0,0.49840853,-11.167906,3.93751,0.043934744,4.707046,0,45.0355,-92.98492,180.0
41.007,91.57744,5.90602,1196.5,24.233477,3.137255,71.6,1,0.0,0.4125295,-11.603019,3.6282725,0.053448796,5.6645145,0,45.035393,-92.984924,179.72098
42.006,79.048874,5.315418,1183.25,21.126621,3.137255,71.6,1,0.0,0.36315033,-11.893094,3.6644347,0.06106222,6.408753,0,45.035297,-92.98492,179.72098
43.016,68.09604,5.610719,1203.75,18.019764,3.9215686,71.6,1,5.882353,0.38931352,-11.748056,3.6282725,0.06694933,6.965063,0,45.035217,-92.984924,179.72098
43.993,19.34518,14.76505,1397.25,17.398394,48.235294,71.6,1,12.156863,1.0253611,-7.251887,12.331305,0.069539666,7.1290746,0,45.03515,-92.98491,179.45245
45.008,5.922821,30.416002,1905.25,18.641136,68.62745,71.6,1,16.862745,2.451782,0.43511322,43.153538,0.07421304,7.05905,0,45.035103,-92.98507,223.3598
46.008,4.356985,41.04684,2536.5,22.990734,68.62745,71.6,1,33.333332,5.02553,5.6564717,72.35015,0.08172291,6.676214,0,45.03507,-92.98521,260.10623
47.008,3.4761841,47.83876,3029.75,30.44719,34.117645,71.6,1,19.607843,8.12293,8.99234,120.09283,0.091840394,6.0511613,0,45.035053,-92.985374,260.1664
48.002,3.7877686,47.24816,3043.75,33.554043,29.80392,71.6,1,19.607843,8.258427,8.702264,121.46023,0.09670822,5.8740664,0,45.035038,-92.98559,261.4046
49.0,4.7845736,44.885754,3098.0,37.282272,24.313726,71.6,1,17.647058,7.8817577,7.541962,106.839485,0.10555792,5.7651873,0,45.03502,-92.98582,261.4046
50.017,6.1499515,39.570335,3212.5,42.253242,20.0,69.8,1,15.686275,7.2320347,4.931283,94.20219,0.120144136,5.7684083,0,45.034992,-92.98607,261.5919
51.003,6.4484506,39.275032,3253.75,44.117355,20.0,69.8,1,15.294118,7.2788925,4.7862453,93.80517,0.1274117,5.7982864,0,45.034966,-92.98633,261.21597
52.003,4.847033,53.15418,3444.0,47.84558,28.235294,69.8,1,16.470589,10.255911,11.603019,135.34384,0.14498192,5.7613096,0,45.034935,-92.98661,261.24332
53.028,6.40358,38.68443,3220.5,51.57381,20.392157,69.8,1,15.686275,7.686081,4.49617,110.42795,0.15630263,5.8063054,0,45.034904,-92.986916,261.89667
54.006,49.323402,14.469749,1873.25,55.302036,5.098039,69.8,1,3.5294118,2.2480345,-7.3969245,15.3730755,0.17710477,6.232041,0,45.034878,-92.987236,264.66168
55.014,109.44901,7.677826,1671.0,55.302036,7.8431373,69.8,1,9.411765,0.8297354,-10.732793,6.927905,0.18797152,6.591558,0,45.03485,-92.98756,266.69324
55.999,17.301584,32.48311,2051.25,55.302036,68.62745,69.8,1,21.960785,3.1969972,1.4503773,43.825603,0.20708647,7.0183063,0,45.034855,-92.98787,272.59402
57.002,10.966822,38.979733,2258.75,55.92341,68.62745,69.8,1,29.019608,4.6127834,4.6412077,69.917435,0.21904089,7.14675,0,45.034878,-92.98819,275.88654
58.005,8.483551,48.724667,2676.75,56.544777,68.62745,69.8,1,27.843138,6.349253,9.427453,91.38764,0.23069417,7.1904507,0,45.034912,-92.98852,282.5925
59.007,5.574452,49.90587,2847.5,58.408894,35.686275,69.8,1,18.039215,7.7066393,10.007604,143.66449,0.24427411,7.095512,0,45.034958,-92.98886,281.58102
59.995,5.319078,49.61057,3922.25,62.13712,68.62745,69.8,1,25.09804,8.908184,9.862566,160.1723,0.27313933,6.996301,0,45.035004,-92.98921,281.93073
61.011,4.570663,51.382374,4146.25,64.001236,29.80392,69.8,1,20.392157,11.626662,10.732793,191.99141,0.28392252,6.8568826,0,45.03505,-92.989586,281.42172
